name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Engineering For Kids - After-School Enrichment Program,"Weekly after-school engineering classes for elementary students. Hands-on projects in robotics, structures, aerospace, and more. Small class sizes with certified instructors.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Robotics, Science",K-5,Paid,In-person,8-12 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Engineering For Kids - Full-Day Summer Camp,"Week-long full-day engineering camp with multiple themed projects. Topics include robotics, architecture, aerospace, chemical engineering, and video game design.",https://www.engineeringforkids.com/camps/,Engineering For Kids,Camp,"Engineering, Robotics, Science, Technology",1-8,Paid,In-person,1 week (full day 9am-4pm),None,High,Summer registration,Medium,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,Medium,True,Teacher
Engineering For Kids - Half-Day Summer Camp,Morning or afternoon engineering camp sessions. Focused hands-on projects in specific engineering disciplines. Perfect for younger students or combined with other activities.,https://www.engineeringforkids.com/camps/,Engineering For Kids,Camp,"Engineering, Robotics, Science",K-5,Paid,In-person,1 week (half day 9am-12pm or 1pm-4pm),None,High,Summer registration,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,Medium,True,Teacher
LEGO Robotics Engineering Program,"Build and program LEGO robots using EV3 and WeDo platforms. Learn engineering design process, programming logic, and problem-solving through robotic challenges.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Robotics, Engineering, Programming",2-8,Paid,In-person,8 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Architecture and Structures Engineering,"Design and build bridges, towers, and buildings. Learn about structural engineering, load distribution, and architectural design through hands-on construction projects.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Architecture, Design",1-6,Paid,In-person,6-8 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Aerospace Engineering Program,"Explore flight, rocketry, and space exploration. Design and launch rockets, build gliders and airplanes, learn about aerodynamics and propulsion systems.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Aerospace, Physics",2-8,Paid,In-person,6-8 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Video Game Design Engineering,Create video games while learning programming concepts. Use block-based coding and game design software to build interactive games and animations.,https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Computer Science, Programming, Game Design",3-8,Paid,In-person,8 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,Required,Regional,High,True,Teacher
Chemical Engineering and Science,"Hands-on chemistry experiments and chemical engineering projects. Learn about reactions, states of matter, polymers, and materials science through safe experiments.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Chemistry, Science",2-6,Paid,In-person,6 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Mechanical Engineering and Machines,"Build machines, gears, pulleys, and mechanical systems. Learn about simple machines, mechanical advantage, and engineering design through hands-on construction.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Mechanical Engineering, Physics",2-7,Paid,In-person,6-8 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Electrical Engineering and Circuits,"Build circuits and electronic devices. Learn about electricity, conductors, LED lights, switches, and basic electronics through hands-on circuit projects.",https://www.engineeringforkids.com/programs/,Engineering For Kids,Afterschool Program,"Engineering, Electrical Engineering, Electronics",3-8,Paid,In-person,6 weeks (1 hour/week),None,High,Session start dates,Medium,Limited,Optional,Materials,$100-$500,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
