name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
CS First,"Free computer science curriculum for grades 4-8 using Scratch block-based coding. Project-based learning with themed units including game design, storytelling, and animation. Includes video tutorials, lesson plans, and teacher resources. Students create interactive projects while learning computational thinking. No prior coding experience required.",https://csfirst.withgoogle.com/,Google CS Education,Computer Science Program,Computer Science,4-8,Free,Hybrid,8-10 hours per unit,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult
Google Code Next,"Free in-person coding program for Black and Latinx high school students. Year-long courses in web development, mobile apps, and computer science fundamentals. Industry mentors and Google engineers support students. Located in select cities. Focus on building technical skills and career pathways in tech.",https://codenext.withgoogle.com/,Google CS Education,Computer Science Program,Computer Science,9-12,Free,In-person,Academic year,None,High,Rolling,None,False,False,None,Free,True,True,True,High,False,True,Basic,Select cities,Optional,True,Professional
Applied Digital Skills,"Free curriculum teaching practical digital skills through project-based video lessons. Students create real-world projects using Google tools. Topics include digital citizenship, productivity, data analysis, and more. Self-paced learning for grades 6-12. Teacher dashboard and classroom management tools included.",https://applieddigitalskills.withgoogle.com/,Google CS Education,Computer Science Program,"Computer Science, Digital Literacy",6-12,Free,Hybrid,2-5 hours per project,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult
Explore Machine Learning,"Introduction to machine learning and artificial intelligence for middle and high school students. Hands-on activities exploring ML concepts, ethics, and applications. Uses Teachable Machine and other accessible tools. No coding experience required. Includes teacher guides and student activities.",https://edu.google.com/computer-science/,Google CS Education,Computer Science Program,"Computer Science, Artificial Intelligence, Machine Learning",6-12,Free,Hybrid,4-6 hours,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult
Google Computer Science Summer Institute (CSSI),"Intensive 3-week summer program for graduating high school seniors entering university. Learn programming, web development, and product design from Google engineers. Completely free including travel, housing, and meals. Focus on students from historically underrepresented groups in tech. Competitive application process.",https://buildyourfuture.withgoogle.com/programs/computer-science-summer-institute,Google CS Education,Computer Science Program,Computer Science,12,Free,Residential,3 weeks,None,High,Annual-Spring,None,False,False,None,Free,True,True,True,High,True,False,Basic,Select locations,Optional,True,Professional
Google Educator Training: CS,"Professional development for teachers to integrate computer science into their classrooms. Free online courses covering CS pedagogy, curriculum implementation, and classroom management. Earn badges and certification. Access to educator community and resources. Self-paced learning for K-12 teachers.",https://edu.google.com/teacher-center/,Google CS Education,Teacher Training,Computer Science,K-12,Free,Online,Self-paced,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,None
Google Computational Thinking Course,"Curriculum for grades 3-8 developing computational thinking skills without computers. Hands-on activities teaching decomposition, pattern recognition, abstraction, and algorithms. Can be used as CS fundamentals or cross-curricular. Includes lesson plans, worksheets, and teacher guides.",https://edu.google.com/resources/programs/exploring-computational-thinking/,Google CS Education,Computer Science Program,Computer Science,3-8,Free,School-based,6-8 hours,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,None,International,Optional,True,Adult
Google AI Explorers,"Interactive curriculum introducing artificial intelligence concepts to middle and high school students. Explore AI applications, ethics, and societal impacts. Hands-on activities with machine learning models. Includes case studies and real-world applications. Accessible to students without coding background.",https://edu.google.com/computer-science/,Google CS Education,Computer Science Program,"Computer Science, Artificial Intelligence",6-12,Free,Hybrid,5-7 hours,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult
Google Code with Google,"Collection of free coding resources and projects for students of all ages. Includes Hour of Code activities, coding challenges, and project-based learning. Multiple programming languages and platforms. Self-directed learning with scaffolded support. Activities range from beginner to advanced.",https://edu.google.com/code-with-google/,Google CS Education,Computer Science Program,Computer Science,K-12,Free,Online,Flexible,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,None
Google Applied Computing Series,"Advanced computer science curriculum for high school students with prior coding experience. Topics include data structures, algorithms, mobile development, and user experience design. College-level content taught with Google tools. Includes comprehensive teacher materials and student resources.",https://edu.google.com/computer-science/,Google CS Education,Computer Science Program,Computer Science,10-12,Free,School-based,Semester or year,Medium,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult
Google Tech Exchange,"Computer science enrichment program for university students from historically underrepresented groups. While primarily for college students, offers mentorship and career pathway information valuable for high school planning. Connect with Google engineers and learn about tech careers.",https://buildyourfuture.withgoogle.com/programs/tech-exchange,Google CS Education,Computer Science Program,Computer Science,11-12,Free,Hybrid,Varies,Medium,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Google Computer Science Education Resources,"Comprehensive library of free CS teaching materials, lesson plans, and activities for K-12 educators. Curriculum maps aligned to standards. Video tutorials, assessment tools, and differentiation strategies. Supports various CS frameworks including AP CS Principles and AP CS A.",https://edu.google.com/computer-science/,Google CS Education,Computer Science Program,Computer Science,K-12,Free,Hybrid,Flexible,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult
