name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Artificial Intelligence Learning Path,"Comprehensive learning path covering AI fundamentals, machine learning concepts, and practical applications. Students learn about neural networks, AI ethics, and real-world AI implementations. Suitable for high school students with no prior experience. Earn digital credentials upon completion.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Artificial Intelligence, Computer Science, Machine Learning",9-12,Free,Online,15-20 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Blockchain Learning Path,"Explore blockchain technology fundamentals, cryptocurrency concepts, and distributed ledger systems. Learn how blockchain is transforming industries and prepare for future blockchain-related careers. Includes hands-on activities and real-world case studies. Free digital credentials available.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Blockchain Technology, Computer Science, Cryptography",9-12,Free,Online,12-15 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Cloud Computing Learning Path,"Introduction to cloud computing concepts, cloud service models (IaaS, PaaS, SaaS), and major cloud platforms. Students learn about cloud architecture, deployment models, and cloud security. Prepares students for cloud-related careers and certifications. Earn digital badges.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Cloud Computing, Computer Science, Information Technology",9-12,Free,Online,15-20 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Cybersecurity Fundamentals,"Learn essential cybersecurity concepts including threat identification, network security, cryptography, and security best practices. Understand common vulnerabilities and how to protect systems and data. Perfect for students interested in cybersecurity careers. Includes interactive simulations.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Cybersecurity, Computer Science, Information Security",9-12,Free,Online,10-15 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Data Science Foundations,"Introduction to data science concepts, data analysis techniques, and data visualization. Students learn about statistical thinking, data cleaning, and interpreting data patterns. Includes practical exercises with real datasets. Suitable for beginners with interest in data careers.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Tech Skills Program,"Data Science, Statistics, Computer Science",9-12,Free,Online,12-18 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Design Thinking Learning Path,"Master design thinking methodology for creative problem-solving. Learn to empathize with users, define problems, ideate solutions, prototype, and test. Develops critical thinking and innovation skills applicable across all industries. Includes collaborative projects and case studies.",https://skillsbuild.org/students,IBM SkillsBuild,Tech Skills Program,"Design Thinking, Innovation, Problem Solving",9-12,Free,Online,8-12 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Professional Skills Development,"Build essential workplace skills including communication, collaboration, time management, and professional etiquette. Learn how to write effective emails, conduct presentations, and work in teams. Prepares students for internships and future careers. Earn professional skills credentials.",https://skillsbuild.org/students,IBM SkillsBuild,Career Readiness,"Career Readiness, Professional Development, Communication",9-12,Free,Online,10-15 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Web Development Basics,"Learn web development fundamentals including HTML, CSS, and JavaScript basics. Create responsive web pages and understand web design principles. Hands-on projects guide students through building their first websites. Perfect for aspiring web developers.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Web Development, Computer Science, Programming",9-12,Free,Online,15-20 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Quantum Computing Introduction,"Explore the fascinating world of quantum computing. Learn quantum mechanics basics, quantum algorithms, and quantum computers capabilities. Understand how quantum computing will revolutionize technology. Suitable for curious students interested in cutting-edge technology.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Quantum Computing, Physics, Computer Science",9-12,Free,Online,8-10 hours,Basic,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
UX Design Fundamentals,"Introduction to user experience design principles and practices. Learn user research methods, wireframing, prototyping, and usability testing. Understand how to create user-centered designs for digital products. Includes hands-on design projects and industry tools.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"UX Design, Design Thinking, Digital Design",9-12,Free,Online,12-15 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
IT Support Fundamentals,"Learn essential IT support skills including troubleshooting, hardware basics, operating systems, and customer service. Understand networking fundamentals and common IT problems. Prepares students for entry-level IT support roles and certifications.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Online Course,"Information Technology, Computer Science, Technical Support",9-12,Free,Online,10-15 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Agile Methodology,"Master Agile project management principles and practices. Learn about Scrum, sprints, user stories, and iterative development. Understand how modern tech teams collaborate and deliver projects. Valuable for students pursuing careers in technology and project management.",https://skillsbuild.org/students/course-catalog,IBM SkillsBuild,Career Readiness,"Project Management, Software Development, Agile",9-12,Free,Online,6-8 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
Job Readiness Skills,"Comprehensive preparation for entering the workforce. Learn resume writing, interview techniques, networking strategies, and professional presence. Includes mock interviews, resume reviews, and career exploration activities. Essential for students preparing for internships and jobs.",https://skillsbuild.org/students,IBM SkillsBuild,Career Readiness,"Career Readiness, Professional Development, Job Skills",9-12,Free,Online,8-12 hours,None,Medium,None,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,False,None
