name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
HelloPurr - First App Tutorial,"Create your first mobile app with MIT App Inventor by building HelloPurr, a simple app that displays an image and plays a sound when touched. Learn basic app components and event handling.",http://appinventor.mit.edu/explore/ai2/hellopurr,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",4-12,Free,Online,30-45 minutes,None,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
TalkToMe - Text-to-Speech App,"Build an app that converts typed text into spoken words using text-to-speech functionality. Learn about user interface design, text input components, and device capabilities.",http://appinventor.mit.edu/explore/ai2/talktome,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",5-12,Free,Online,45-60 minutes,None,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
PaintPot - Drawing App,"Create a digital painting app where users can draw on the screen using different colors and tools. Introduction to canvas components, touch events, and graphics programming.",http://appinventor.mit.edu/explore/ai2/paintpot,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",5-12,Free,Online,1-1.5 hours,None,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
BallBounce - Animation and Games,"Build an interactive ball bouncing game with collision detection and score keeping. Learn animation, sprite components, collision detection, and game logic programming.",http://appinventor.mit.edu/explore/ai2/ballbounce,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",6-12,Free,Online,2-3 hours,Basic,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
MoleMash - Touch and Timer Game,"Create a whack-a-mole style game with moving targets, timers, and scoring. Learn about random positioning, timer components, and game state management.",http://appinventor.mit.edu/explore/ai2/molemash,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",6-12,Free,Online,2-3 hours,Basic,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
Xylophone - Music and Sound App,"Build a virtual xylophone that plays musical notes when keys are touched. Explore sound components, multiple audio files, and creating interactive musical interfaces.",http://appinventor.mit.edu/explore/ai2/xylophone,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",5-12,Free,Online,1.5-2 hours,Basic,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
AndroidMash - Accelerometer Game,"Create an advanced game using device sensors like the accelerometer to control game objects. Learn sensor programming, physics simulation, and advanced game mechanics.",http://appinventor.mit.edu/explore/ai2/androidmash,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",8-12,Free,Online,3-4 hours,Medium,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
MapIt - GPS and Mapping App,"Build an app that uses GPS location services and displays maps with markers. Learn about location sensors, web APIs, and integrating external mapping services.",http://appinventor.mit.edu/explore/ai2/mapit,MIT App Inventor,Online Tutorial,"Computer Science, Mobile App Development",8-12,Free,Online,3-4 hours,Medium,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
Hour of Code - Pet Selfie App,One-hour coding activity where students create a pet photo app with customizable features. Perfect introduction to mobile app development and visual programming concepts.,http://appinventor.mit.edu/hour-of-code/,MIT App Inventor,Hour of Code,"Computer Science, Mobile App Development",4-12,Free,Online,1 hour,None,High,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
Hour of Code - Logo Turtle Graphics,Create geometric art and patterns using turtle graphics programming. Introduction to computational thinking through visual programming and mathematical concepts.,http://appinventor.mit.edu/hour-of-code/logo,MIT App Inventor,Hour of Code,"Computer Science, Mobile App Development",3-10,Free,Online,1 hour,None,High,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
MIT App Inventor Master Trainer Course,Comprehensive professional development course for educators to learn App Inventor and integrate mobile app development into their curriculum. Includes pedagogy and assessment strategies.,http://appinventor.mit.edu/teach/master-trainer/,MIT App Inventor,Programming Course,"Computer Science, Mobile App Development",6-12,Free,Online,4-6 weeks,Basic,High,Scheduled cohorts,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
Creative Computing with MIT App Inventor,Extended curriculum unit combining computer science concepts with creative expression through mobile app development. Includes multiple projects and assessment rubrics.,http://appinventor.mit.edu/teach/curriculum/,MIT App Inventor,Programming Course,"Computer Science, Mobile App Development",6-12,Free,Online,8-12 weeks,None,Medium,Self-paced,None,False,Any,None,Free,True,True,True,Medium,True,False,Basic,National,None,False,None
