name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Virtual Guest Program,"Since 2020, NASA has invited you, the public, to be virtual guests at launches and milestone events. As a virtual guest, you have access to curated resources, schedule changes, and mission specific information delivered straight to your inbox. Following each activity, guests are sent a stamp for their virtual guest passport! All resources, participation, and registration are FREE. Select your opportunities. Join us!",https://www.nasa.gov/nasa-virtual-guest-program/,NASA,Federal Program,Rocket Engineering,6-12,Free,Virtual,2 weeks,Medium,High,Varies by session,,False,Any,"Travel, Equipment",Free,True,True,False,High,True,False,High-speed-required,National,Required,False,Professional
NASA Internship Programs,"At NASA, we explore the extraordinary every day and our work is more than just a profession—it’s a lifelong pursuit and a passion. NASA offers students challenging projects and on-the-job experiences, building confidence, essential technical skills, and career readiness, all essential for the nation’s workforce. NASA’s Office of STEM Engagement provides, annually, more than 2,000 students the opportunity to impact  the agency’s mission through a hands-on internship.",https://www.nasa.gov/learning-resources/internship-programs/,NASA,Internship,Engineering,9-12,Free,Virtual,2 weeks,Medium,High,Varies by session,,False,Any,"Travel, Equipment",Free,True,True,True,High,True,True,High-speed-required,Select-regions,Required,True,Professional
NASA Launches 2026 Lunabotics Challenge,"As college students across the country embark upon the academic year, NASA is giving them something else to look forward to – the agency’s 2026 Lunabotics Challenge. Teams interested in participating can submit their applications and supporting materials through NASA’s Stem Gateway portal beginning Monday, Sept. 8.",https://www.nasa.gov/learning-resources/for-colleges-universities/nasa-launches-2026-lunabotics-challenge/,NASA,Competition,"Rocket Engineering, Computer Science",6-12,Free,Virtual,2 weeks,Medium,High,Varies by session,,False,Any,"Travel, Equipment",Free,True,True,True,High,True,False,High-speed-required,National,Required,True,Professional
NASA Student Launch Challenge,"Design, build, test, and launch high-powered rockets for NASA Student Launch challenge. Middle and high school teams compete in engineering design aligned with NASA research.",https://www.nasa.gov/learning-resources/nasa-student-launch/,NASA,Competition,"Rocket Engineering, Aerospace Engineering",6-12,Free,NASA Centers,8 months (September-April),Medium,High,September application,,False,Any,Travel,Free,True,True,False,High,False,True,Basic,Select-regions,,True,Professional
NASA TechRise Student Challenge,Develop science or technology experiment ideas for NASA TechRise flight vehicles. Teams design experiments that fly on suborbital flights or high-altitude balloons.,https://www.futureengineers.org/nasatechrise,NASA,Competition,"Engineering, Space Science, Computer Science",6-12,Free,Virtual,4-6 months,Medium,High,November submission,,False,Any,,Free,True,True,False,High,True,False,High-speed-required,National,,True,Professional
Human Exploration Rover Challenge (HERC),Engineer and test human-powered vehicles designed for otherworldly surfaces. Teams navigate obstacle courses and complete mission tasks with NASA engineers.,https://www.nasa.gov/learning-resources/rover-challenge/,NASA,Competition,"Engineering, Space Science, Robotics",6-12,Free,NASA Centers,6-8 months,Medium,High,January registration,,False,Any,Travel,Free,True,True,False,High,False,True,Basic,Select-regions,,True,Professional
NASA App Development Challenge,Coding challenge where NASA presents technical problems to high school students seeking contributions to deep space exploration missions.,https://www.nasa.gov/learning-resources/app-development-challenge/,NASA,Competition,"Computer Science, Space Science",9-12,Free,Virtual,3-4 months,Advanced,High,Spring submission,,False,Any,,Free,True,True,False,High,True,False,High-speed-required,National,,True,Professional
NASA USRP High School Internships,Hands-on STEM internships at NASA centers for high school students. Work with NASA scientists and engineers on authentic research projects.,https://www.nasa.gov/learning-resources/internship-programs/,NASA,Internship,"Aerospace Engineering, Earth Science, Space Science",9-12,Free,NASA Centers,8-10 weeks (summer),High,High,February applications,,False,Any,Travel,Free,True,True,False,High,False,True,Basic,Select-regions,Optional,False,Professional
Artemis Student Challenges,Design solutions for lunar exploration challenges aligned with NASA Artemis missions. Students tackle real problems for Moon exploration.,https://www.nasa.gov/learning-resources/artemis-student-challenges/,NASA,Competition,"Space Science, Engineering, Robotics",6-12,Free,Virtual,3-5 months,Medium,High,Rolling challenges,,False,Any,,Free,True,True,False,High,True,False,High-speed-required,National,,True,Professional
NASA GLOBE Student Research,Conduct environmental observations and research projects connected to NASA Earth science missions. Collect real scientific data for NASA research.,https://www.globe.gov/do-globe/student-research,NASA,Federal Program,"Earth Science, Environmental Science",K-12,Free,Virtual,Ongoing participation,,High,Year-round enrollment,,False,Any,,Free,True,True,False,High,True,False,High-speed-required,National,,False,Professional
