name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
RISE Germany - Research Internships in Science and Engineering,"Prestigious 10-12 week summer research internship program for undergraduates at top German universities and research institutions. High school students entering college may apply. Work one-on-one with PhD advisors on cutting-edge research projects. Stipend provided covering living expenses. Housing assistance and German language course included. Research fields include physics, chemistry, biology, computer science, engineering, and mathematics. Develop international research experience and cultural competency. Strong academic record required (3.5+ GPA). Application includes transcripts, essays, and letters of recommendation.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Physics, Chemistry, Biology, Computer Science, Engineering, Mathematics",12,Free,In-person,10-12 weeks,High,High,December,Low,Stipend-provided,Not required,Travel,Paid-Program,True,True,True,High,True,True,Medium,International,Low,True,Professional
Boston University RISE Practicum,"6-week intensive summer research program at Boston University for rising high school seniors. Students conduct original research in life sciences, physical sciences, or engineering. Work in university laboratories with faculty mentors and graduate students. Residential program with housing and meals provided. Daily research, seminars, and scientific writing workshops. Produce research poster and presentation. Competitive admissions requiring strong STEM grades and passion for research. Program fee with need-based financial aid available. College credit option.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Life Sciences, Physical Sciences, Engineering, Laboratory Research",11-12,Paid,In-person,6 weeks,High,High,March,High,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,National,Low,True,Professional
MIT RISE - Research in Science and Engineering,"7-week summer research program at MIT for underrepresented high school students. Conduct research in engineering, computer science, or life sciences. Work with MIT faculty on authentic research projects. Program completely free including housing, meals, and stipend. Academic enrichment workshops and college preparation sessions. Focus on increasing diversity in STEM research. Strong preference for students from underrepresented minorities, women, first-generation college students, and low-income backgrounds. Minimum 3.0 GPA required.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Engineering, Computer Science, Life Sciences, Research Methods",11-12,Free,In-person,7 weeks,Medium,High,January,None,Fully-funded,Preferred,None,Paid-Program,True,True,True,High,True,True,Medium,National,Low,True,Professional
Stanford RISE Summer Research Program,"8-week residential research program at Stanford University for high school juniors and seniors. Students work in Stanford research labs conducting biomedical, engineering, or computational research. One-on-one mentorship from graduate students and faculty. Weekly seminars on research skills, graduate school applications, and scientific careers. Housing and meals provided. Research presentation at end of summer. Need-based financial aid available reducing barriers. Preference for students from underrepresented backgrounds in STEM.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Biomedical Research, Engineering, Computational Science, Laboratory Science",11-12,Paid,In-person,8 weeks,High,High,February,Medium,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,National,Low,True,Professional
Caltech RISE Research Program,"10-week summer research immersion at Caltech for exceptional high school students. Work full-time in Caltech research laboratories on projects in physics, chemistry, biology, or engineering. Stipend provided along with housing. Weekly seminars and research group meetings. Opportunity to present at research conferences. Highly competitive admissions emphasizing academic excellence and research potential. Strong letters of recommendation and prior research experience valued. Produce publication-quality research.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Physics, Chemistry, Biology, Engineering, Astronomy",11-12,Free,In-person,10 weeks,High,High,January,Low,Stipend-provided,Not required,Housing-provided,Paid-Program,True,True,True,High,True,True,Medium,National,Low,True,Professional
NIH RISE Summer Research Program,"8-week summer research internship at National Institutes of Health for high school students interested in biomedical research. Work alongside NIH scientists on health-related research projects. Stipend provided. Commuter program in Bethesda, MD area. Research areas include cancer biology, neuroscience, genetics, immunology, and public health. Weekly seminars and career development workshops. Produce research poster. Priority for local students and those from disadvantaged backgrounds. Strong science grades required.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Biomedical Research, Cancer Biology, Neuroscience, Genetics, Immunology, Public Health",11-12,Free,In-person,8 weeks,High,High,March,Low,Stipend-provided,Preferred,Commuter,Paid-Program,True,True,True,High,False,True,Medium,Regional,Medium,True,Professional
UC Berkeley RISE Research Internship,"6-week summer research program at UC Berkeley for California high school students. Conduct research in life sciences, physical sciences, or engineering with Berkeley faculty. Residential option available or commuter. Research project culminating in poster presentation. College credit offered. Financial aid available for students with demonstrated need. Focus on preparing students for college-level research. Laboratory safety training and research ethics workshops included.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Life Sciences, Physical Sciences, Engineering, Environmental Science",10-12,Paid,In-person,6 weeks,Medium,High,March,Medium,Available,Optional,Variable,$1000+,True,True,True,High,True,True,Medium,State,Low,True,Professional
Carnegie Mellon RISE Computer Science Research,"7-week summer research program focusing on computer science and robotics at Carnegie Mellon University. High school students work on AI, machine learning, human-computer interaction, or robotics projects. Mentored by CMU faculty and PhD students. Residential program with housing and meals. Weekly tech talks and professional development. Produce working prototype or research paper. Program fee with need-based scholarships available. Preference for women and underrepresented minorities in CS.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Computer Science, Artificial Intelligence, Machine Learning, Robotics, Human-Computer Interaction",11-12,Paid,In-person,7 weeks,High,High,February,High,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,High,National,Low,True,Professional
Columbia RISE Biomedical Research,"8-week summer biomedical research program at Columbia University Medical Center for NYC-area high school students. Work in medical research laboratories studying disease mechanisms, drug development, or public health. Mentored by Columbia faculty and medical students. Commuter program with stipend. Weekly seminars on careers in medicine and research. Hospital tours and clinical exposure. Focus on students from underserved communities. Minimum 3.0 GPA in science courses.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Biomedical Research, Medicine, Drug Development, Public Health, Clinical Research",10-12,Free,In-person,8 weeks,Medium,High,March,None,Stipend-provided,Preferred,Commuter,Paid-Program,True,True,True,High,False,True,Medium,Regional,Medium,True,Professional
University of Washington RISE Engineering Research,"6-week engineering research program for Pacific Northwest high school students. Conduct research in mechanical, electrical, civil, or biomedical engineering at UW. Faculty-mentored projects addressing real-world engineering challenges. Mix of residential and commuter options. Weekly design workshops and professional development. Build engineering portfolio. Financial aid available. Emphasis on recruiting women and minorities into engineering fields.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Biomedical Engineering",10-12,Paid,In-person,6 weeks,Medium,High,March,Medium,Available,Optional,Variable,$500-$1000,True,True,True,High,True,True,Medium,Regional,Low,True,Professional
Yale RISE Summer Research Program,"8-week residential research experience at Yale University for high school students. Research in biological sciences, chemistry, physics, or environmental science. Work alongside Yale researchers on ongoing projects. Housing, meals, and stipend provided. Scientific communication workshops and graduate school preparation. Research symposium at program end. Highly selective admissions. Priority for underrepresented minorities and first-generation college-bound students. Strong academic record required.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Biological Sciences, Chemistry, Physics, Environmental Science",11-12,Free,In-person,8 weeks,High,High,February,None,Fully-funded,Preferred,None,Paid-Program,True,True,True,High,True,True,Medium,National,Low,True,Professional
University of Michigan RISE Research Fellows,"7-week summer research fellowship at University of Michigan for Midwest high school students. Research in natural sciences, engineering, or mathematics. Close mentorship from U-M faculty and graduate students. Residential program with housing and meals. Weekly research seminars and career panels. Develop research proposal, conduct experiments, and present findings. Need-based financial aid available. Focus on students from rural and underserved urban areas.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Natural Sciences, Engineering, Mathematics, Research Methods",11-12,Paid,In-person,7 weeks,High,High,February,Medium,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,Regional,Low,True,Professional
Georgia Tech RISE Engineering and Computing,"6-week summer research program at Georgia Institute of Technology for high school students interested in engineering and computer science. Work on research projects in robotics, cybersecurity, materials science, or sustainable engineering. Faculty mentorship and hands-on laboratory work. Residential program in Atlanta. College credit option. Financial aid available for Georgia residents and students with demonstrated need. Team-based and individual research projects.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Engineering, Computer Science, Robotics, Cybersecurity, Materials Science",10-12,Paid,In-person,6 weeks,Medium,High,March,Medium,Available,Optional,Housing-included,$1000+,True,True,True,Medium,True,True,High,Regional,Low,True,Professional
