name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Online Programs,"The Johns Hopkins Center for Talented Youth’s online programs are designed to challenge and inspire academically advanced students, providing opportunities to explore beyond their traditional school curriculum. From space colonization and crime scene investigation to creative writing and competitive math, our virtual classrooms will expand your knowledge and spark your curiosity. Led by expert instructors who are skilled at engaging bright learners, CTY’s online programs offer courses year-round",https://cty.jhu.edu/programs/online,Johns Hopkins CTY,Academic Program,"Mathematics, Engineering, Language Arts",2-12,"$3,000-$7,500",Online,6-12 weeks,High,High,Rolling admissions,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,True,True,Medium,True,True,High-speed-required,National,Required,True,Adult
On-Campus Summer Programs,"Just because school is out for summer doesn’t mean the learning stops. The Johns Hopkins Center for Talented Youth is more than a summer camp: Our on-campus summer courses bring together advanced learners from around the world to explore the arts and sciences, bioethics, engineering, public health, and more. Choose from more than 70 in-person summer courses that are all taught by expert instructors. CTY’s on-campus programs allow young scholars to expand their knowledge surrounded by a community",https://cty.jhu.edu/programs/on-campus,Johns Hopkins CTY,Academic Program,"Engineering, Philosophy",2-12,"$3,000-$7,500",Residential,session 1,High,High,Rolling admissions,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,True,True,Medium,False,True,Basic,National,Required,True,Adult
Online Programs Courses,Johns Hopkins UniversityEst. 1876 America’s First Research University,https://cty.jhu.edu/programs/online/courses,Johns Hopkins CTY,Academic Program,Interdisciplinary,2-12,"$3,000-$7,500",Online,12 weeks,High,High,Rolling admissions,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,True,True,Medium,True,True,High-speed-required,National,Required,True,Adult
On-Campus Summer Programs Courses,Johns Hopkins UniversityEst. 1876 America’s First Research University,https://cty.jhu.edu/programs/on-campus/courses,Johns Hopkins CTY,Academic Program,Interdisciplinary,2-12,"$3,000-$7,500",Residential,"3 weeks (June 22-29)",High,High,Rolling admissions,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,True,True,Medium,False,True,Basic,National,Required,True,Adult
Advanced Mathematics: Calculus BC,"An intensive online course covering differential and integral calculus topics equivalent to AP Calculus BC, designed for mathematically gifted students.",https://cty.jhu.edu/programs/online/courses/math/calculus-bc,Johns Hopkins CTY,Academic Program,Mathematics,9-12,"$2,400",Online,12 weeks,High,High,Rolling admissions,High,True,Middle+,,$2000+,False,False,False,Medium,True,False,High-speed-required,National,Optional,True,Adult
Computer Science: Data Structures and Algorithms,"Explore fundamental computer science concepts including data structures, algorithms, and computational thinking through hands-on programming projects.",https://cty.jhu.edu/programs/online/courses/computer-science/data-structures,Johns Hopkins CTY,Academic Program,Computer Science,8-12,"$2,200",Online,10 weeks,High,High,Rolling admissions,High,True,Middle+,,$2000+,False,False,False,Medium,True,False,High-speed-required,National,Optional,True,Adult
Physics: Mechanics and Waves,"Advanced study of classical mechanics, oscillations, and wave phenomena with mathematical modeling and laboratory simulations.",https://cty.jhu.edu/programs/online/courses/physics/mechanics,Johns Hopkins CTY,Academic Program,Physics,9-12,"$2,500",Online,12 weeks,High,High,Rolling admissions,High,True,Middle+,,$2000+,False,False,False,Medium,True,False,High-speed-required,National,Optional,True,Adult
Biomedical Engineering,"Hands-on exploration of biomedical engineering principles including biomaterials, medical device design, and tissue engineering in a laboratory setting.",https://cty.jhu.edu/programs/on-campus/courses/engineering/biomedical,Johns Hopkins CTY,Summer Program,"Engineering, Biology",9-12,"$6,800",Residential,3 weeks (June-July),High,High,March 1,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,False,False,Medium,False,True,Basic,National,Optional,True,Adult
Neuroscience,"Investigate the structure and function of the nervous system through laboratory experiments, brain dissections, and research projects.",https://cty.jhu.edu/programs/on-campus/courses/science/neuroscience,Johns Hopkins CTY,Summer Program,"Biology, Psychology",8-12,"$6,500",Residential,3 weeks (July),High,High,March 1,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,False,False,Medium,False,True,Basic,National,Optional,True,Adult
Robotics Engineering,"Design, build, and program robots while learning engineering principles, programming concepts, and problem-solving strategies.",https://cty.jhu.edu/programs/on-campus/courses/engineering/robotics,Johns Hopkins CTY,Summer Program,"Engineering, Computer Science",6-10,"$5,900",Residential,3 weeks (June),High,High,March 1,Prohibitive,True,Middle+,"Travel, Transportation",$2000+,False,False,False,Medium,False,True,Basic,National,Optional,True,Adult
