name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Osmo - Tangram,"Classic tangram puzzle game with physical pieces and digital feedback. Arrange geometric shapes to match on-screen puzzles. Develops spatial reasoning, problem-solving, and geometric thinking through 500+ puzzles with progressive difficulty.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Mathematics, Geometry, Spatial Reasoning, Problem Solving",PreK-5,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,Medium,True,False,Basic,International,Medium,False,Parent
Osmo - Numbers,"Hands-on math game using physical number tiles and on-screen challenges. Build number sense, addition, subtraction, and counting through interactive gameplay. Features multiple difficulty levels adapting to ages 5-10 with over 50 games.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Mathematics, Arithmetic, Number Sense, Problem Solving",K-4,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,Medium,True,False,Basic,International,Medium,False,Parent
Osmo - Words,"Spelling and vocabulary game with letter tiles. Guess words based on visual clues and place physical letters to spell answers. Builds literacy, vocabulary, and spelling skills for ages 5-12 with hundreds of word challenges.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Literacy, Vocabulary, Language Arts, Spelling",K-6,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,Medium,True,False,Basic,International,Medium,False,Parent
Osmo - Coding Awbie,"Introduction to coding using physical coding blocks. Guide Awbie character through adventures by arranging command blocks. Teaches sequencing, loops, and problem-solving to ages 5-10 through 60+ coding puzzles.",https://www.playosmo.com/en/coding/,Osmo,Learning Platform,"Computer Science, Programming, Computational Thinking, Logic",K-4,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,High,True,False,Basic,International,Medium,False,Parent
Osmo - Coding Jam,"Advanced coding game creating musical compositions. Use coding blocks to program beats, melodies, and harmonies. Combines programming fundamentals with music theory for ages 5-12. Develop computational thinking while making music.",https://www.playosmo.com/en/coding/,Osmo,Learning Platform,"Computer Science, Programming, Music, Audio Engineering",K-6,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,High,True,False,Basic,International,Medium,False,Parent
Osmo - Coding Duo,"Cooperative coding game for two players using physical blocks. Solve coding challenges together teaching teamwork, communication, and programming logic. Ages 5-10 develop collaborative problem-solving through 60+ puzzles.",https://www.playosmo.com/en/coding/,Osmo,Learning Platform,"Computer Science, Programming, Teamwork, Communication",K-4,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,High,True,False,Basic,International,Medium,True,Parent
Osmo - Pizza Co.,"Math and entrepreneurship game running virtual pizza business. Calculate change, manage toppings, and handle orders using physical coins and bills. Ages 5-12 develop money math, fractions, and business skills through gameplay.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Mathematics, Business, Economics, Money Math",K-6,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,Medium,True,False,Basic,International,Medium,False,Parent
Osmo - Masterpiece,"Digital drawing and art game with physical drawing. Transform photos into line drawings and trace with real paper and markers. Develop artistic skills, visual perception, and fine motor control for ages 5-12.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Art, Design, Visual Arts, Fine Motor Skills",K-6,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,High,True,False,Basic,International,Medium,False,Parent
Osmo - Monster,"Creative drawing game bringing drawings to life. Draw characters, objects, and scenery with physical materials while digital monster interacts. Ages 3-8 develop creativity, imagination, and artistic expression.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Art, Creativity, Design, Imagination",PreK-2,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,High,True,False,Basic,International,High,False,Parent
Osmo - Newton,"Physics puzzle game using real-world objects. Guide falling balls to targets by placing physical items like pencils, toys, or hands. Ages 5-12 learn physics concepts, cause-and-effect, and creative problem-solving through 60+ levels.",https://www.playosmo.com/en/shopping/games/,Osmo,Learning Platform,"Physics, Engineering, Problem Solving, Creativity",K-6,Paid,Home,Self-paced,None,Low,Rolling,High,Not available,Not required,Hardware,$100-$500,True,True,True,Medium,True,False,Basic,International,Medium,False,Parent
