name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Physics Bowl,"Annual 45-minute, 40-question timed multiple choice competition testing physics knowledge. Covers mechanics, electricity and magnetism, waves, optics, modern physics, and more. Two divisions: Division 1 for students in first physics course, Division 2 for advanced students. Administered at participating high schools. Top students recognized nationally and regionally.",https://www.aapt.org/programs/physicsbowl/,American Association of Physics Teachers,Physics Competition,Physics,9-12,75,School-based,45 minutes,Medium,Medium,Annual-March,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
F=ma Exam (USA Physics Olympiad Qualifier),"First round of USA Physics Olympiad competition. 75-minute, 25-question exam focusing on mechanics and problem-solving. Tests conceptual understanding and mathematical skills. Free online exam for all students. Top 400 students advance to USAPhO semifinal round. Gateway to International Physics Olympiad.",https://www.aapt.org/physicsteam/,American Association of Physics Teachers,Physics Competition,Physics,9-12,Free,Online,75 minutes,High,Medium,Annual-January,None,False,False,Low,Free,False,True,False,Medium,True,False,High-speed-required,National,Optional,True,Adult
USA Physics Olympiad (USAPhO),"Second round of physics olympiad for top F=ma performers. Two 90-minute free-response exams with challenging physics problems requiring detailed solutions. Tests deep understanding of mechanics, electricity and magnetism, thermodynamics, waves, and modern physics. Top 20 students invited to Physics Team Training Camp.",https://www.aapt.org/physicsteam/,American Association of Physics Teachers,Physics Competition,Physics,10-12,Free,School-based,3 hours,High,Medium,Annual-March,None,False,False,Low,Free,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
US Physics Team Training Camp,"Two-week intensive residential training for top 20 USAPhO students. Advanced physics lectures, problem-solving sessions, and laboratory work. Theoretical and experimental exams to select 5-member US Physics Team for International Physics Olympiad. Fully funded including travel, room, and board. Held at university campus.",https://www.aapt.org/physicsteam/,American Association of Physics Teachers,Training Program,Physics,10-12,Free,Residential,2 weeks,High,Medium,Invitation-only,None,False,False,Low,Free,False,True,False,Medium,True,True,Basic,National,Optional,True,Professional
International Physics Olympiad (IPhO),"International physics competition for top 5 US Physics Team members. Compete against students from 90+ countries. Five-hour theoretical exam and five-hour experimental exam covering all physics topics. Held in different country each year. Prestigious gold, silver, and bronze medals awarded. Fully funded international travel.",https://www.aapt.org/physicsteam/,American Association of Physics Teachers,International Competition,Physics,11-12,Free,International,2 weeks,High,Medium,Invitation-only,None,False,False,Low,Free,False,True,False,Medium,True,True,Basic,International,Optional,True,Professional
Physics Bowl Division 1,"Division for students in their first physics course (typically physics or honors physics). 40 multiple choice questions in 45 minutes covering fundamental physics concepts. Tests mechanics, waves, electricity, magnetism, and modern physics at introductory level. Great introduction to physics competitions.",https://www.aapt.org/programs/physicsbowl/,American Association of Physics Teachers,Physics Competition,Physics,9-11,75,School-based,45 minutes,Medium,Medium,Annual-March,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
Physics Bowl Division 2,"Advanced division for students who have completed honors or AP physics courses. 40 challenging multiple choice questions in 45 minutes. Covers advanced topics including calculus-based mechanics, electromagnetism, optics, thermodynamics, and quantum physics. Competitive division for experienced physics students.",https://www.aapt.org/programs/physicsbowl/,American Association of Physics Teachers,Physics Competition,Physics,10-12,75,School-based,45 minutes,High,Medium,Annual-March,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult
Physics Olympiad Online Resources,"Free preparation materials for F=ma and USAPhO including past exams, solutions, and study guides. Online problem sets and video tutorials. Recommended textbooks and study plans. Self-paced learning resources for olympiad preparation. Community forums for problem discussion.",https://www.aapt.org/physicsteam/,American Association of Physics Teachers,Study Resources,Physics,9-12,Free,Online,Self-paced,Medium,Medium,Rolling,None,False,False,Low,Free,False,True,False,Medium,True,False,High-speed-required,National,Optional,True,None
High School Physics Photo Contest,"Annual photo contest showcasing physics phenomena captured by high school students. Submit original photographs demonstrating physics principles with written explanations. Categories include mechanics, waves, optics, and modern physics. Judged by physics educators. Awards and recognition for creative physics photography.",https://www.aapt.org/programs/contests/,American Association of Physics Teachers,Physics Contest,Physics,9-12,Free,Online,Project-based,Basic,Medium,Annual-Spring,None,False,False,Low,Free,False,True,False,Medium,True,False,High-speed-required,National,Optional,False,Adult
Physics Bowl Preparation Programs,School-based preparation programs for Physics Bowl competition. After-school study sessions and practice exams. Review of physics concepts and problem-solving strategies. Teacher-led instruction and peer collaboration. Many schools offer dedicated physics competition teams and clubs.,https://www.aapt.org/programs/physicsbowl/,American Association of Physics Teachers,Study Program,Physics,9-12,Free,School-based,2-4 hours per week,Medium,Medium,Rolling,None,False,False,Low,Free,False,True,False,Medium,True,False,None,National,Optional,True,Adult
