name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Beast Academy Online - Full Program,"Comprehensive online math program for grades 2-5 featuring interactive lessons, adaptive practice, and engaging problem-solving challenges. Covers all elementary math topics with comic book style instruction and gamified learning.",https://beastacademy.com/online,Beast Academy,Learning Platform,Mathematics,2-5,Paid,Online,Self-paced (3-5 hours/week),None,Low,Rolling,Medium,False,Not required,Subscription,$100-$500,False,True,True,Medium,True,False,Required,International,Medium,False,None
Beast Academy Grade 2 Curriculum,"Second grade math curriculum covering place value, addition, subtraction, measurement, and problem-solving strategies. Features comic book guide and practice workbooks with challenging puzzles.",https://beastacademy.com/curriculum,Beast Academy,Learning Platform,Mathematics,2,Freemium,Online,Self-paced (academic year),None,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Medium,False,None
Beast Academy Grade 3 Curriculum,"Third grade math covering multiplication, division, fractions, area, perimeter, and logic puzzles. Advanced problem-solving with engaging comic characters and progressively challenging exercises.",https://beastacademy.com/curriculum,Beast Academy,Learning Platform,Mathematics,3,Freemium,Online,Self-paced (academic year),Low,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Medium,False,None
Beast Academy Grade 4 Curriculum,"Fourth grade math featuring advanced multiplication, division, fractions, decimals, factors, multiples, and algebra basics. Rigorous problem-solving with strategic thinking emphasis.",https://beastacademy.com/curriculum,Beast Academy,Learning Platform,Mathematics,4,Freemium,Online,Self-paced (academic year),Low,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Medium,False,None
Beast Academy Grade 5 Curriculum,"Fifth grade math covering advanced fractions, decimals, percents, integers, ratios, exponents, and pre-algebra concepts. Challenging problems preparing students for middle school math.",https://beastacademy.com/curriculum,Beast Academy,Learning Platform,Mathematics,5,Freemium,Online,Self-paced (academic year),Medium,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Medium,False,None
Beast Academy Books - Complete Series,Physical comic book style math textbooks and practice workbooks for grades 2-5. Engaging characters teach problem-solving strategies with progressively difficult exercises and puzzles.,https://beastacademy.com/books,Beast Academy,Learning Platform,Mathematics,2-5,Paid,Hybrid,Self-paced (academic year),None,Low,Rolling,Medium,False,Not required,Books,$100-$500,False,True,True,Medium,True,False,None,International,High,False,None
Beast Academy Practice - Problem Solving,"Adaptive online practice system with thousands of problems across all elementary topics. Features hints, video solutions, and personalized learning paths based on student performance.",https://beastacademy.com/online,Beast Academy,Learning Platform,"Mathematics, Problem Solving",2-5,Paid,Online,Self-paced (flexible),None,Low,Rolling,Medium,False,Not required,Subscription,$100-$500,False,True,True,Medium,True,False,Required,International,Low,False,None
Beast Academy Puzzles & Games,"Interactive math puzzles, logic games, and brain teasers designed to develop critical thinking and mathematical reasoning. Includes strategy games, number puzzles, and geometry challenges.",https://beastacademy.com/online,Beast Academy,Learning Platform,"Mathematics, Logic",2-5,Paid,Online,Self-paced (flexible),None,Low,Rolling,Medium,False,Not required,Subscription,$100-$500,False,True,True,Medium,True,False,Required,International,Low,False,None
Beast Academy Parent Dashboard,"Comprehensive parent portal with progress tracking, performance analytics, topic mastery reports, and time-on-task monitoring. Helps parents support their child's math learning journey.",https://beastacademy.com/online,Beast Academy,Learning Platform,Mathematics,2-5,Paid,Online,Monitoring,None,Medium,Rolling,Medium,False,Not required,Subscription,$100-$500,False,True,True,Medium,True,False,Required,International,High,False,None
Beast Academy Free Trial,"Free one-month trial of Beast Academy Online with full access to all grade levels, practice problems, and features. No credit card required to start.",https://beastacademy.com/online,Beast Academy,Learning Platform,Mathematics,2-5,Free,Online,1 month trial,None,Low,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Medium,False,None
