rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Pioneer Academics - Biomedical Science and Medicine,Other,Engineering,High,Online,11-12,0.762,https://pioneeracademics.com/subjects/,"Research in biomedical sciences exploring disease mechanisms, treatments, or medical technology. Work with medical school professor on topics like cancer biology, immunology, or drug development. Stud..."
2,Stanford Pre-Collegiate Biomedical Sciences,Summer Program,Biology,High,Residential,10-12,0.733,https://summerinstitutes.spcs.stanford.edu/,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, research methods, and ethical issues in biomedicine. Visit Stanford medical facilities and research labs..."
3,Columbia RISE Biomedical Research,Research Opportunity,Engineering,Low,In-person,11-12,0.651,https://www.riseprograms.org/programs,"8-week summer biomedical research program at Columbia University Medical Center for NYC-area high school students. Work in medical research laboratories studying disease mechanisms, drug development, ..."
4,PLTW Biomedical Science - Medical Interventions,Other,Engineering,Medium,School-based,9-12,0.616,https://www.pltw.org/our-programs/pltw-biomedical-science/pltw-biomedical-science-courses/medical-interventions,"Students investigate medical interventions and follow patient cases to learn about diagnosis, treatment, and prevention of disease using current medical technologies. This Biomedical Program focuses o..."
5,Stanford Pre-Collegiate Medical Sciences,Summer Program,Biology,High,Residential,10-12,0.610,https://summerinstitutes.spcs.stanford.edu/,"Introduction to medical careers and healthcare through lectures, simulations, and clinical observation. Learn anatomy, physiology, and medical ethics. Interact with Stanford medical students and physi..."
6,Bold.org - Biomedical Science Scholarship,Scholarship,Biology,Low,Virtual,11-12,0.607,https://bold.org/scholarships/science/,"$1,000-$5,000 scholarship for students interested in biomedical sciences, medical research, or healthcare. Open to students pursuing biology, biochemistry, genetics, or pre-medicine. Essay describing ..."
7,"Biomedical Sciences Scholarship - $7,000",Scholarship,Biology,Low,Online,11-12,0.598,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students interested in biomedical research, medicine, or healthcare sciences. Essay on healthcare innovation or medical research interest required. This Scholarship focuses on Biomedic..."
8,Boston University School of Medicine - RISE Practicum,Internship,Engineering,Low,In-Person,11-12,0.581,https://www.bumc.bu.edu/rise/practicum/,"Research internship for underrepresented minority high school students interested in biomedical careers. Six-week program includes laboratory research, clinical shadowing, and career development works..."
9,NYLF Biomedical Science,Other,Biology,High,Regional,10-12,0.574,https://www.nylf.org/,"Program exploring intersection of medicine, biology, and technology. Students learn about biomedical research, biotechnology, genetic engineering, and medical innovations. Includes laboratory work, re..."
10,NYLF Medicine,Other,Biology,High,Regional,10-12,0.548,https://www.nylf.org/programs/medicine,"Nine-day leadership development program exploring medical careers and healthcare systems. Students participate in hands-on medical simulations, interact with healthcare professionals, visit medical fa..."
11,Weill Cornell Medicine - Summer High School Research Program,Internship,Engineering,Low,In-Person,11-12,0.537,https://weill.cornell.edu/education/high-school-summer-research,"Biomedical research internship at Weill Cornell Medical College in New York City. Students conduct research in areas including cardiovascular medicine, genetics, neurology, and global health. This Int..."
12,UC San Francisco - High School Biomedical Research Internship,Internship,Biology,Low,In-Person,11-12,0.530,https://graduate.ucsf.edu/high-school-intern-program,"Summer research program at UCSF for Bay Area high school students interested in biomedical sciences. Students conduct hands-on research in laboratories focused on precision medicine, stem cell researc..."
13,NYLF Advanced Medicine & Health Care,Other,Health Sciences,High,Regional,10-12,0.523,https://www.nylf.org/,"Advanced medical leadership program for students serious about healthcare careers. Deep dive into medical specialties, surgical simulations, patient diagnosis, and healthcare leadership. Meet physicia..."
14,University of Michigan Medical School - Summer Research Opportunity,Internship,Biology,Low,In-Person,11-12,0.503,https://medicine.umich.edu/education/high-school-programs/summer-research,"Biomedical research internship at U-M for Michigan high school students. Interns work in medical school laboratories on diverse projects including stem cell research, neuroscience, and precision medic..."
15,Raising Student Voice - Biomedical Innovation Competition,Competition,Biology,Low,Hybrid,9-12,0.497,https://www.raisingstudentvoice.com/competitions/biomedical,"Competition focused on biomedical engineering and health sciences. Students develop medical devices, health technologies, or biological research projects. This Competition focuses on Biomedical Engine..."
16,University of Pittsburgh School of Medicine - Summer Research Program,Internship,Engineering,Low,In-Person,11-12,0.487,https://www.medschool.pitt.edu/high-school-research,"Biomedical research internship for local high school students at Pitt Med. Students work in laboratories conducting research in neuroscience, infectious diseases, regenerative medicine, and other biom..."
17,Johns Hopkins School of Medicine - Summer Biomedical Research Program for HS,Internship,Engineering,Low,In-Person,11-12,0.474,https://www.hopkinsmedicine.org/som/education-programs/high-school-summer-research,"Rigorous 8-week research experience at Johns Hopkins for exceptional high school students. Interns work in medical school laboratories conducting research in areas like neuroscience, genetics, public ..."
18,Scholly - Biomedical Science Scholarship,Scholarship,Biology,Low,Virtual,11-12,0.472,https://myscholly.com/stem-scholarships/,"$1,500-$5,000 scholarship for students interested in biomedical sciences and healthcare. Open to students pursuing biology, biochemistry, or pre-medicine. Essay describing disease or medical condition..."
19,Stanford Medicine - Summer Research Program for High School Students,Internship,Biology,Low,In-Person,11-12,0.471,https://med.stanford.edu/summer-research-program-high-school.html,Intensive 8-week biomedical research program where high school students work in Stanford Medical School laboratories. Students conduct independent research projects under faculty mentorship and presen...
20,Mayo Clinic - High School Summer Research Program,Internship,Engineering,Low,In-Person,11-12,0.461,https://college.mayo.edu/academics/high-school-programs/summer-research-program,Prestigious biomedical research internship at Mayo Clinic for motivated high school students. Interns work alongside physician-scientists and researchers on projects in areas like cardiovascular resea...
