name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
CS50: Introduction to Computer Science,"Harvard University's introduction to computer science and programming. Learn to think algorithmically and solve problems efficiently. Topics include algorithms, data structures, web development, and more. No prior experience required. Self-paced with free audit option.",https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science,edX,Online Course,Computer Science,9-12,Free,Online,10-20 hours per week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
AP Computer Science A: Java Programming,"Purdue University course covering Java programming for AP Computer Science A exam preparation. Object-oriented programming, data structures, algorithms, and software design. Aligned with College Board AP curriculum. Excellent for high school students.",https://www.edx.org/learn/computer-science/purdue-university-ap-computer-science-a-java-programming,edX,Online Course,Computer Science,9-12,Free,Online,8-10 hours per week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Introduction to Python Programming,"Georgia Tech course introducing Python programming fundamentals. Learn variables, conditionals, loops, functions, and object-oriented programming. Designed for beginners with no prior coding experience. Hands-on coding exercises and projects.",https://www.edx.org/learn/python/georgia-institute-of-technology-computing-in-python-i-fundamentals-and-procedural-programming,edX,Online Course,Computer Science,9-12,Free,Online,9-10 hours per week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Introduction to Biology: The Secret of Life,"MIT course exploring fundamental principles of biology. Topics include biochemistry, genetics, molecular biology, recombinant DNA, genomics, and medicine. Taught by MIT professors. Excellent preparation for advanced biology studies.",https://www.edx.org/learn/biology/massachusetts-institute-of-technology-introduction-to-biology-the-secret-of-life,edX,Online Course,Biology,10-12,Free,Online,12-16 hours per week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Introduction to Engineering and Design,"Explore engineering design process through hands-on projects. Learn problem-solving, prototyping, and teamwork. Covers mechanical, electrical, and civil engineering fundamentals. Suitable for students considering engineering careers.",https://www.edx.org/learn/engineering,edX,Online Course,Engineering,9-12,Free,Online,6-8 hours per week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Calculus 1A: Differentiation,"MIT course covering single-variable calculus differentiation. Learn limits, continuity, derivatives, and applications. First part of MIT's three-part calculus series. Interactive problem sets and animations. Excellent AP Calculus preparation.",https://www.edx.org/learn/calculus/massachusetts-institute-of-technology-calculus-1a-differentiation,edX,Online Course,Mathematics,11-12,Free,Online,6-10 hours per week,High,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Calculus 1B: Integration,"MIT course covering integration techniques and applications. Definite and indefinite integrals, Fundamental Theorem of Calculus, applications to geometry and science. Second part of MIT's calculus series.",https://www.edx.org/learn/calculus/massachusetts-institute-of-technology-calculus-1b-integration,edX,Online Course,Mathematics,11-12,Free,Online,6-10 hours per week,High,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Introduction to Chemistry: Reactions and Ratios,"Duke University course covering fundamental chemistry concepts. Atomic structure, chemical reactions, stoichiometry, and the periodic table. Hands-on problem-solving and real-world applications. Great preparation for AP Chemistry.",https://www.edx.org/learn/chemistry/duke-university-introduction-to-chemistry-reactions-and-ratios,edX,Online Course,Chemistry,9-12,Free,Online,5-7 hours per week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
Introduction to Environmental Science,"Dartmouth College course exploring environmental challenges and solutions. Topics include climate change, biodiversity, sustainability, and conservation. Interdisciplinary approach combining biology, chemistry, physics, and social sciences.",https://www.edx.org/learn/environmental-science,edX,Online Course,Environmental Science,9-12,Free,Online,4-6 hours per week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
AP Physics 1: Mechanics,"Rice University course covering classical mechanics for AP Physics 1 exam. Kinematics, Newton's laws, energy, momentum, rotational motion, and waves. Algebra-based physics with hands-on problem-solving.",https://www.edx.org/learn/physics/rice-university-ap-physics-1-mechanics,edX,Online Course,Physics,10-12,Free,Online,8-10 hours per week,Medium,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional
