name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Polygence - Core Research Program,"One-on-one research mentorship program pairing high school students ages 13-18 with PhD and Masters-level mentors. Students explore academic interests through personalized research projects in any subject area. Work directly with expert mentor over 10-14 weeks conducting original research. Choose between research paper, literature review, creative project, or other deliverables. Flexible scheduling with weekly 1-hour sessions. Access to 300+ mentors from top universities worldwide. Develop research skills, critical thinking, and academic writing. Perfect for college applications and intellectual growth. Rolling admissions year-round.",https://www.polygence.org/programs,Polygence,Mentorship,"All STEM Fields, Science, Technology, Engineering, Mathematics",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Research Paper Track,"Traditional academic research track culminating in scholarly research paper. Work with mentor to develop research question, conduct literature review, and analyze findings. Learn academic writing conventions and citation styles. Produce 3,000-7,000 word research paper suitable for publication or competition submission. Topics span all disciplines including biology, computer science, physics, psychology, engineering, and more. Mentor provides feedback on drafts and guides research methodology. Ideal for students interested in scientific inquiry and academic careers.",https://www.polygence.org/programs,Polygence,Mentorship,"Research Methods, Academic Writing, Scientific Inquiry, All STEM Fields",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Passion Project Track,"Creative project track for students who want to explore interests through hands-on work. Develop website, mobile app, documentary, podcast, art installation, or other creative deliverable. Mentor guides project planning, execution, and presentation. Combine technical skills with personal interests. Examples include developing AI chatbot, creating science education videos, designing engineering prototype, or building data visualization. More flexible format allowing creative expression while developing practical skills. Perfect for entrepreneurial and creative students.",https://www.polygence.org/programs,Polygence,Mentorship,"Project-Based Learning, Technology, Engineering, Creative Application, Innovation",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Literature Review Track,"Comprehensive survey of existing research in chosen field. Work with mentor to identify research gap, find relevant sources, and synthesize findings. Learn systematic review methods and critical analysis of academic literature. Produce structured literature review evaluating current state of knowledge. Develop skills in academic database searching, source evaluation, and scholarly writing. Ideal for students beginning research journey or exploring field before empirical study. Excellent foundation for future original research.",https://www.polygence.org/programs,Polygence,Mentorship,"Research Methods, Literature Analysis, Critical Thinking, Academic Writing",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Computer Science and AI Projects,"One-on-one mentorship in computer science, artificial intelligence, and machine learning. Build software applications, train neural networks, or explore computational theory. Projects can include developing web apps, creating machine learning models, building games, or analyzing algorithms. Mentors with expertise in Python, Java, C++, and AI frameworks. Learn software engineering best practices and computer science fundamentals. Develop portfolio-worthy projects for college applications and internships.",https://www.polygence.org/programs,Polygence,Mentorship,"Computer Science, Artificial Intelligence, Machine Learning, Software Development, Programming",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Biotechnology and Life Sciences,"Research mentorship in biology, biotechnology, and life sciences. Explore topics like genetics, molecular biology, neuroscience, or ecology. Projects may involve computational biology, bioinformatics analysis, or theoretical research. Work with PhD mentors from top biology programs. Topics can include CRISPR applications, disease mechanisms, synthetic biology, or evolutionary studies. Learn biological research methods and scientific thinking. Produce research suitable for science competitions and journals.",https://www.polygence.org/programs,Polygence,Mentorship,"Biology, Biotechnology, Genetics, Neuroscience, Life Sciences, Bioinformatics",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Engineering and Design,"One-on-one mentorship in engineering disciplines and design thinking. Explore mechanical, electrical, chemical, or biomedical engineering. Projects may involve CAD modeling, circuit design, materials analysis, or engineering optimization. Work with engineering professors and industry professionals. Learn design process from problem identification to solution testing. Develop engineering portfolio showcasing technical skills and problem-solving abilities.",https://www.polygence.org/programs,Polygence,Mentorship,"Engineering, Mechanical Engineering, Electrical Engineering, Design, Problem Solving",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Physics and Mathematics,"Research mentorship in physics, mathematics, and related fields. Explore theoretical physics, applied mathematics, astrophysics, or computational physics. Projects may involve mathematical modeling, physics simulations, or theoretical analysis. Work with mentors from prestigious physics and math programs. Topics can include quantum mechanics, cosmology, number theory, or mathematical physics. Develop rigorous analytical thinking and problem-solving skills.",https://www.polygence.org/programs,Polygence,Mentorship,"Physics, Mathematics, Astrophysics, Mathematical Modeling, Theoretical Science",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Environmental Science and Sustainability,"Research mentorship in environmental science, climate change, and sustainability. Explore ecology, conservation, renewable energy, or environmental policy. Projects may involve data analysis, climate modeling, or sustainability solutions. Work with mentors specializing in environmental sciences. Topics can include biodiversity, carbon emissions, green technology, or environmental justice. Develop research addressing pressing environmental challenges.",https://www.polygence.org/programs,Polygence,Mentorship,"Environmental Science, Climate Science, Ecology, Sustainability, Conservation",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
Polygence - Chemistry and Materials Science,"One-on-one research in chemistry and materials science. Explore organic chemistry, physical chemistry, or nanotechnology. Projects may involve computational chemistry, materials analysis, or chemical research. Work with chemistry PhD mentors. Topics can include drug design, catalysis, polymer science, or green chemistry. Learn chemical thinking and research methodology. Produce research suitable for chemistry competitions.",https://www.polygence.org/programs,Polygence,Mentorship,"Chemistry, Materials Science, Nanotechnology, Chemical Engineering, Organic Chemistry",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,None,False,Professional
