name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Sphero BOLT Coding Activities,"Learn coding with Sphero BOLT programmable robot. Block-based and JavaScript coding lessons for middle school. LED matrix programming, sensors, and advanced robotics.",https://edu.sphero.com/,Sphero Education,Learning Platform,"Robotics, Coding, Engineering, Computer Science",6-12,Free,Hybrid,Variable,None,High,Rolling,High,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Optional,True,Teacher
Sphero Mini Edu Elementary Coding,"Introduction to coding for elementary students using Sphero Mini robot. Face-drive, block coding, and simple programming concepts through play-based learning.",https://edu.sphero.com/,Sphero Education,Learning Platform,"Robotics, Coding, Computer Science",K-5,Free,Hybrid,Variable,None,High,Rolling,Medium,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Optional,True,Teacher
Sphero RVR Robot Programming,"Advanced robotics with Sphero RVR programmable robot. Python, JavaScript, Scratch, and sensor programming for high school. Build autonomous vehicles and custom projects.",https://edu.sphero.com/,Sphero Education,Learning Platform,"Robotics, Engineering, Programming, Computer Science",7-12,Free,Hybrid,Variable,Low,High,Rolling,High,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Optional,True,Teacher
Sphero SPRK+ STEAM Lessons,"STEAM curriculum for middle school using Sphero SPRK+ robot. Cross-curricular activities integrating art, math, science, and coding.",https://edu.sphero.com/,Sphero Education,Curriculum,"Robotics, Coding, Art, Mathematics, Science",5-8,Free,Hybrid,Variable,None,High,Rolling,High,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Optional,True,Teacher
Sphero Edu App - Beginner Activities,"Free beginner coding activities in Sphero Edu app. Draw mode, block coding, and text coding progressions. No robot required for some activities.",https://edu.sphero.com/,Sphero Education,Learning Platform,"Computer Science, Coding, Programming",K-8,Free,Online,30-60 minutes per activity,None,High,Rolling,None,Not applicable,Not required,Optional Hardware,Free,False,True,True,Medium,True,False,Required,International,Optional,True,None
Sphero Edu App - JavaScript Programming,Learn JavaScript programming through Sphero Edu app. Text-based coding for advanced students. Includes API documentation and project examples.,https://edu.sphero.com/,Sphero Education,Learning Platform,"Computer Science, Programming, JavaScript",8-12,Free,Online,Self-paced,Medium,High,Rolling,Medium,Not applicable,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Low,True,None
littleBits Electronic Building Kits for Kids,"Magnetic electronic building blocks for K-8. Learn circuits, electronics, and invention through snap-together modules. STEAM activities and invention challenges.",https://sphero.com/pages/education,Sphero Education,Learning Platform,"Electronics, Engineering, Invention, STEAM",K-8,Free,Hybrid,Variable,None,High,Rolling,Medium,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Basic,International,Optional,True,Teacher
littleBits Code Kit Programming,"Learn coding and electronics together with littleBits Code Kit. Block-based programming for physical computing projects. Sensors, motors, and outputs.",https://sphero.com/pages/education,Sphero Education,Learning Platform,"Electronics, Coding, Engineering, Physical Computing",3-8,Free,Hybrid,Variable,None,High,Rolling,Medium,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Optional,True,Teacher
Sphero Computer Science Foundations Course,"Complete computer science curriculum for middle school. Sequencing, loops, functions, variables, and algorithms using Sphero robots. Standards-aligned lessons.",https://edu.sphero.com/,Sphero Education,Curriculum,"Computer Science, Programming, Algorithms",6-8,Free,Hybrid,12-16 weeks,None,High,Rolling,High,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Sphero STEAM Lesson Library,"Library of cross-curricular STEAM lessons using Sphero robots. Math, science, art, and social studies integration. Teacher guides and student worksheets.",https://edu.sphero.com/,Sphero Education,Curriculum,"STEAM, Mathematics, Science, Art, Engineering",K-12,Free,Hybrid,Variable,None,High,Rolling,Medium,False,Not required,Hardware,Free,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
