name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
National Ocean Sciences Bowl Competition,"Academic competition testing high school students' knowledge of ocean sciences. Teams of four students compete in quiz bowl-style matches covering oceanography, marine biology, chemistry, physics, geology, technology, policy, and current events. Competition begins at regional level with winners advancing to nationals.",https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Marine Science, Environmental Science, Chemistry, Physics",9-12,Free to Low-cost (typically $0-100 per team),Regional in-person competition,"4-6 months (September-February, 5-10 hours/week)",Medium,High,October-November (regional registration varies),Low,Not typically needed,"Team-based, school-sponsored",Low,Free,NOAA outreach to underserved communities,True,Limited,High,Limited,True,Basic,Regional (25+ competition sites),Optional,True,Adult
NOSB Regional Bowl Competitions,Initial competition level where teams compete in their geographic region. Multiple-round tournament featuring buzzer rounds and team challenges. Top teams from each regional bowl advance to National Finals. Hosted at universities and marine science institutions across the country. Format includes written exams and oral presentations.,https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Marine Science, Environmental Science",9-12,Free to Low-cost (regional hosting varies),Regional in-person competition,"1-2 days (competition weekend, January-February)",Medium,High,January-February (varies by region),Low,Some regions offer travel support,School-sponsored,Medium,Free,Regional outreach programs,True,Limited,High,Limited,True,None,Regional (25+ locations),Optional,True,Adult
NOSB National Finals Competition,"Championship competition for regional winning teams held in Washington, D.C. area. Multi-day event featuring intense buzzer rounds, team challenges, laboratory practicals, and field trips to marine science facilities. Teams compete for scholarships, awards, and national recognition. Includes networking with NOAA scientists and ocean professionals.",https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Marine Science, Environmental Science, Laboratory Skills",9-12,Travel costs covered by NOAA for winning teams,In-person national competition,4-5 days (late April),High,High,April (invitation-only),Low,Travel and lodging provided by NOAA,Fully funded for qualifying teams,None,Free,"National representation, NOAA diversity initiatives",True,Medium,High,True,True,None,National,Optional,True,Professional
NOSB Study Materials and Resource Library,"Comprehensive collection of study materials covering all ocean science topics tested in competition. Includes past competition questions, study guides, scientific papers, multimedia resources, and practice quizzes. Free online access to help teams prepare throughout the season. Updated annually with current ocean science topics.",https://nosb.org/study-materials/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Marine Science, Environmental Science",9-12,Free,Online,Self-paced (ongoing throughout season),Medium,Low,Available year-round,None,N/A,None,None,Free,Free access for all students,True,Limited,High,True,False,High-speed-required,National,None,False,None
NOSB Buzzer Round Format,"Timed quick-recall competition component where teams answer rapid-fire questions using electronic buzzers. Tests breadth of ocean science knowledge, quick thinking, and team strategy. Questions cover biological, chemical, physical, and geological oceanography. Teams practice buzzer technique and question recognition throughout season.",https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Marine Science, Quick Recall",9-12,Included in competition,Regional competition venue,Multiple rounds (5-7 minutes each),Medium,High,Competition day,Low,N/A,School-sponsored,None,Free,Equal playing field for all teams,True,Limited,High,Limited,True,None,Regional,Optional,True,Adult
NOSB Team Challenge,"Collaborative problem-solving component where teams work together to solve complex ocean science scenarios. Teams analyze data, apply scientific principles, and present solutions. Challenges include hands-on activities, data interpretation, experimental design, and real-world ocean policy issues. Emphasizes teamwork and critical thinking.",https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Data Analysis, Scientific Communication",9-12,Included in competition,Regional competition venue,30-45 minutes per challenge,Medium,High,Competition day,Low,N/A,School-sponsored,None,Free,Collaborative team environment,True,Limited,High,Limited,True,None,Regional,Optional,True,Adult
NOSB Coach Training and Support Resources,"Professional development and support for teachers and coaches leading NOSB teams. Includes webinars, coaching guides, question banks, competition strategies, and access to ocean science experts. Resources help coaches prepare students effectively regardless of their own ocean science background. Online community for coach networking.",https://nosb.org/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Science Education",9-12,Free,Online,Ongoing throughout season (optional),Low,Medium,Available year-round,None,N/A,None,None,Free,Support for all educators,True,Medium,High,True,False,High-speed-required,National,None,True,Professional
NOSB Current Events in Ocean Science,"Competition component focusing on contemporary ocean science issues including climate change, ocean acidification, marine conservation, pollution, sustainable fisheries, and emerging technologies. Requires teams to stay informed about recent scientific discoveries and policy developments. Connects classroom learning to real-world ocean challenges.",https://nosb.org/study-materials/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Environmental Science, Marine Policy, Science Communication",9-12,Free,Self-study and competition,Ongoing throughout season,Medium,Low,Tested during competition,None,N/A,None,None,Free,Global ocean issues,True,Limited,High,True,False,Basic,National,None,False,Adult
NOSB Laboratory Practical (National Finals),"Hands-on laboratory component at National Finals where teams conduct actual marine science experiments and data analysis. Tests practical skills in water chemistry, plankton identification, sediment analysis, and oceanographic measurements. Teams use real scientific equipment and apply laboratory techniques learned throughout the year.",https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Laboratory Science, Data Analysis",9-12,Included in National Finals,In-person national competition,2-3 hours (National Finals only),High,High,April (National Finals),Low,Fully funded for qualifying teams,Covered by NOAA,None,Free,Equal access to laboratory experience,True,Medium,High,True,True,None,National,Optional,True,Professional
NOSB Field Trips and Professional Networking,"Educational field trips and networking events at National Finals including visits to NOAA facilities, research vessels, marine laboratories, and aquariums. Students interact with ocean scientists, engineers, and policy makers. Opportunities to learn about marine careers, graduate programs, and ocean research pathways. Includes career fair and mentor meet-and-greets.",https://nosb.org/competition/,National Ocean Sciences Bowl,Ocean Science Competition,"Oceanography, Marine Biology, Career Development, Marine Science",9-12,Included in National Finals,In-person at various D.C. area facilities,2-3 days (during National Finals),Medium,High,April (National Finals),Low,Fully funded for qualifying teams,Covered by NOAA,None,Free,Exposure to marine science careers,True,High,High,True,True,None,National,Optional,True,Professional
