name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
"Cappex - $2,500 STEM Excellence Scholarship","$2,500 scholarship for high school students pursuing STEM degrees. Must maintain 3.0 GPA and demonstrate passion for science, technology, engineering, or mathematics through coursework and activities. Essay required on STEM career goals.",https://www.cappex.com/scholarships/stem/stem-excellence,Cappex,Scholarship,All STEM Fields,9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,June 30 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Cappex - Women in Engineering Scholarship,"$3,000 scholarship for female high school students planning to major in engineering. Must demonstrate interest in engineering through coursework, projects, or extracurricular activities. GPA 3.0+ required.",https://www.cappex.com/scholarships/engineering/women-engineering,Cappex,Scholarship,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 31 annually,None,N/A - This is financial aid,No,None,Free,True,True,False,Medium,True,No,High,National,No,Low,None
Cappex - Computer Science Future Leader Scholarship,"$5,000 scholarship for high school students pursuing computer science or software engineering. Must demonstrate coding skills through projects, competitions, or coursework. Portfolio or GitHub link encouraged.",https://www.cappex.com/scholarships/computer-science/future-leader,Cappex,Scholarship,"Computer Science, Software Engineering, Programming",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 30 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Cappex - Minority Students in STEM Scholarship,"$4,000 scholarship for underrepresented minority high school students pursuing STEM fields. Open to Black, Hispanic, Native American students. Must demonstrate financial need and academic achievement. Essay on diversity in STEM required.",https://www.cappex.com/scholarships/stem/minority-stem,Cappex,Scholarship,All STEM Fields,9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,July 15 annually,None,N/A - This is financial aid,Yes,None,Free,True,True,True,High,True,No,High,National,No,Low,None
Cappex - Biology and Life Sciences Scholarship,"$2,000 scholarship for students interested in biology, life sciences, or pre-medicine. Must have strong grades in science courses and demonstrate interest through research, volunteering, or extracurriculars.",https://www.cappex.com/scholarships/science/biology-life-sciences,Cappex,Scholarship,"Biology, Life Sciences, Pre-Medicine, Biomedical Sciences",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Cappex - Mathematics Scholar Award,"$3,500 scholarship for high school students with exceptional mathematics skills. Must have participated in math competitions or advanced coursework. GPA 3.5+ in mathematics required.",https://www.cappex.com/scholarships/stem/mathematics-scholar,Cappex,Scholarship,"Mathematics, Applied Mathematics, Statistics",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 31 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Cappex - Environmental Science Scholarship,"$2,500 scholarship for students passionate about environmental science and sustainability. Must submit essay on environmental challenges and solutions. Community service in environmental causes encouraged.",https://www.cappex.com/scholarships/science/environmental-science,Cappex,Scholarship,"Environmental Science, Ecology, Sustainability, Conservation",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,June 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Cappex - First Generation STEM Student Scholarship,"$4,500 scholarship for first-generation college students pursuing STEM degrees. Must demonstrate financial need and academic potential. Essay on challenges and goals as first-gen student required.",https://www.cappex.com/scholarships/stem/first-generation,Cappex,Scholarship,All STEM Fields,10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,July 31 annually,None,N/A - This is financial aid,Yes,None,Free,True,True,True,High,True,No,High,National,No,Low,None
Cappex - Mechanical Engineering Scholarship,"$3,000 scholarship for high school students planning to major in mechanical engineering. Must demonstrate understanding of mechanical systems through projects, internships, or coursework.",https://www.cappex.com/scholarships/engineering/mechanical-engineering,Cappex,Scholarship,"Mechanical Engineering, Engineering, Robotics",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Cappex - Chemistry Achievement Scholarship,"$2,000 scholarship for students with strong performance in chemistry. Must have GPA 3.3+ in chemistry courses and demonstrate interest in chemical sciences through research or projects.",https://www.cappex.com/scholarships/science/chemistry-achievement,Cappex,Scholarship,"Chemistry, Chemical Engineering, Biochemistry",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
