name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
MIT THINK Scholars Program,Year-long research mentorship program connecting high school students with MIT graduate student mentors. Students propose and execute original research projects in any STEM field. Virtual mentorship with monthly meetings and project guidance. Culminates in research presentation at MIT. Free program supporting independent student research.,https://think.mit.edu/,MIT,Mentorship,"All STEM Fields, Independent Research, Scientific Method",9-12,Free,Virtual,Academic year,Medium,High,January,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Professional
Stanford Pre-Collegiate Studies - Online High School,Part-time online courses and mentorship from Stanford faculty and graduate students. STEM courses with small class sizes and individualized attention. Students engage in project-based learning with mentorship. Flexible scheduling for advanced high school students. Financial aid available.,https://online.stanford.edu/,Stanford University,Mentorship,"Computer Science, Mathematics, Physics, Engineering",9-12,Paid,Virtual,Per course,Medium,High,Rolling,Medium,Available,Optional,Tuition,$1000+,True,True,True,High,True,False,Required,International,Low,True,Professional
Caltech Student-Faculty Programs,"Summer research mentorship connecting high school students with Caltech faculty labs. Students work on cutting-edge research projects in physics, chemistry, biology, or engineering. Full-time summer commitment with stipend. Highly competitive admissions emphasizing academic excellence.",https://www.caltech.edu/,Caltech,Mentorship,"Physics, Chemistry, Biology, Engineering, Astronomy",11-12,Free,In-person,8-10 weeks summer,High,High,February,Low,Stipend-provided,Not required,Housing,Paid-Program,True,True,True,High,False,True,Basic,National,Low,True,Professional
Johns Hopkins Center for Talented Youth (CTY) Online,"Advanced online STEM courses with instructor mentorship for gifted students. Small class sizes with personalized feedback and guidance. Courses in mathematics, computer science, and sciences. Year-round enrollment with flexible pacing.",https://cty.jhu.edu/,Johns Hopkins University,Mentorship,"Mathematics, Computer Science, Physics, Biology, Chemistry",7-12,Paid,Virtual,Per course,High,High,Rolling,Medium,Available,Optional,Tuition,$500-$1000,True,True,True,High,True,False,Required,International,Low,True,Professional
UC Berkeley BITES (Bioengineering Institute of Technology and Engineering for Students),"Free mentorship program pairing high school students with UC Berkeley bioengineering researchers. Students learn laboratory techniques, conduct research, and present findings. Year-long commitment with weekly meetings. Focus on underrepresented students in STEM.",https://bioegrad.berkeley.edu/,UC Berkeley,Mentorship,"Bioengineering, Biology, Engineering, Research",9-12,Free,In-person,Academic year,Medium,High,September,None,Not applicable,Not required,None,Free,True,True,True,High,False,True,Basic,Regional,Low,True,Professional
Carnegie Mellon AI Scholars Program,Virtual mentorship program teaching artificial intelligence and machine learning to high school students. Weekly online sessions with CMU faculty and graduate students. Hands-on projects applying AI to real-world problems. Free program with certificate upon completion.,https://www.cs.cmu.edu/,Carnegie Mellon University,Mentorship,"Artificial Intelligence, Machine Learning, Computer Science, Data Science",9-12,Free,Virtual,12 weeks,Medium,High,Various sessions,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Professional
Columbia Science Honors Program,Saturday enrichment program at Columbia University for high school students. Advanced STEM courses taught by Columbia faculty. Hands-on laboratories and research projects. Academic year program building college-level skills. Free to NYC metro area students.,https://www.columbia.edu/,Columbia University,Mentorship,"Biology, Chemistry, Physics, Mathematics, Computer Science",9-12,Free,In-person,"Saturdays, academic year",High,High,Spring,None,Not applicable,Not required,None,Free,True,True,True,High,False,True,Basic,Regional,Medium,True,Professional
University of Chicago Research in the Biological Sciences (RIBS),"Summer research program pairing students with UChicago biology faculty. Full-time laboratory research experience in molecular biology, genetics, or neuroscience. Students receive stipend and housing. Culminates in research symposium. Highly selective program.",https://www.uchicago.edu/,University of Chicago,Mentorship,"Biology, Molecular Biology, Genetics, Neuroscience",11-12,Free,In-person,8 weeks summer,High,High,February,None,Stipend-provided,Not required,None,Paid-Program,True,True,True,High,False,True,Basic,National,Low,True,Professional
Duke TIP Online Courses,"Advanced online STEM courses with instructor mentorship. Small classes with personalized feedback and college-prep curriculum. Mathematics, computer science, and science courses. Self-paced and instructor-led options available.",https://tip.duke.edu/,Duke University,Mentorship,"Mathematics, Computer Science, Physics, Engineering",7-12,Paid,Virtual,Per course,Medium,High,Rolling,Medium,Available,Optional,Tuition,$500-$1000,True,True,True,High,True,False,Required,International,Low,True,Professional
Northwestern University Center for Talent Development (CTD),Gifted education programs including online courses and summer programs with university faculty mentorship. Advanced STEM courses with personalized instruction. Virtual and in-person options. Year-round programming.,https://www.ctd.northwestern.edu/,Northwestern University,Mentorship,"Mathematics, Science, Engineering, Technology",7-12,Paid,Virtual,Per course,High,High,Rolling,Medium,Available,Optional,Tuition,$500-$1000,True,True,True,High,True,False,Required,International,Low,True,Professional
