name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
"Chegg - $10,000 STEM Excellence Scholarship","$10,000 scholarship for high school seniors pursuing STEM degrees. Must demonstrate academic excellence in STEM courses, participate in STEM extracurriculars, and submit essay on STEM career goals.",https://www.chegg.com/scholarships/stem-scholarships/stem-excellence-scholarship,Chegg,Scholarship,All STEM Fields,9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 30 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Women in Engineering Scholarship,"$5,000 scholarship for female high school students planning to major in engineering. Must demonstrate interest in engineering through coursework, projects, or extracurricular activities. Essay required on impact of women in engineering.",https://www.chegg.com/scholarships/engineering-scholarships/women-engineering,Chegg,Scholarship,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 31 annually,None,N/A - This is financial aid,No,None,Free,True,True,False,Medium,True,No,High,National,No,Low,None
Chegg - Computer Science Future Leaders Scholarship,"$7,500 scholarship for high school students interested in computer science and software development. Must have completed at least one programming course or demonstrate coding skills through projects. Two awards available.",https://www.chegg.com/scholarships/computer-science-scholarships/future-leaders,Chegg,Scholarship,"Computer Science, Programming, Software Development, IT",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Minority in STEM Scholarship,"$5,000 scholarship for Black, Hispanic/Latino, or Native American high school students pursuing STEM majors. Must demonstrate financial need and commitment to increasing diversity in STEM fields. GPA 3.0+ required.",https://www.chegg.com/scholarships/stem-scholarships/minority-stem,Chegg,Scholarship,All STEM Fields,9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,June 30 annually,None,N/A - This is financial aid,Yes,None,Free,True,True,True,High,True,No,High,National,No,Low,None
Chegg - Environmental Science Scholar Award,"$4,000 scholarship for high school students passionate about environmental science and sustainability. Must submit proposal for environmental project or research. Open to students in grades 10-12.",https://www.chegg.com/scholarships/science-scholarships/environmental-science,Chegg,Scholarship,"Environmental Science, Ecology, Sustainability, Biology",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Mathematics Achievement Scholarship,"$3,000 scholarship for high school students with exceptional mathematics skills. Must have GPA 3.5+ in math courses and participate in math competitions or clubs. Essay on importance of mathematics in STEM.",https://www.chegg.com/scholarships/stem-scholarships/mathematics-achievement,Chegg,Scholarship,"Mathematics, Statistics, Applied Mathematics",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Robotics and Automation Scholarship,"$6,000 scholarship for students involved in robotics teams or automation projects. Must describe robotics experience and future goals in engineering or computer science. Preference for FIRST Robotics participants.",https://www.chegg.com/scholarships/engineering-scholarships/robotics-automation,Chegg,Scholarship,"Robotics, Engineering, Computer Science, Automation",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - First Generation STEM Scholarship,"$5,000 scholarship specifically for first-generation college students pursuing STEM degrees. Must demonstrate financial need and academic achievement. Essay required on challenges and aspirations as first-gen student.",https://www.chegg.com/scholarships/stem-scholarships/first-generation,Chegg,Scholarship,All STEM Fields,9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,June 15 annually,None,N/A - This is financial aid,Yes,None,Free,True,True,True,High,True,No,High,National,No,Low,None
Chegg - Chemistry Innovation Scholarship,"$4,500 scholarship for high school students interested in chemistry and chemical engineering. Must have completed chemistry coursework and demonstrate interest through projects or research. Three awards available.",https://www.chegg.com/scholarships/science-scholarships/chemistry-innovation,Chegg,Scholarship,"Chemistry, Chemical Engineering, Biochemistry",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Cybersecurity Future Professionals Scholarship,"$8,000 scholarship for students interested in cybersecurity and information security. Must demonstrate interest through coursework, certifications, or competitions. Essay on importance of cybersecurity in modern world.",https://www.chegg.com/scholarships/computer-science-scholarships/cybersecurity,Chegg,Scholarship,"Cybersecurity, Computer Science, Information Technology, Network Security",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,February 28 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Biomedical Sciences Scholarship,"$5,500 scholarship for high school students planning to pursue biomedical sciences, pre-med, or health-related STEM fields. Must have strong science GPA and demonstrate commitment to healthcare.",https://www.chegg.com/scholarships/science-scholarships/biomedical-sciences,Chegg,Scholarship,"Biomedical Science, Biology, Pre-Medicine, Health Sciences",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 31 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Data Science and Analytics Scholarship,"$6,500 scholarship for students interested in data science, statistics, and analytics. Must demonstrate skills in data analysis, visualization, or programming. Portfolio or project examples encouraged.",https://www.chegg.com/scholarships/computer-science-scholarships/data-science,Chegg,Scholarship,"Data Science, Statistics, Computer Science, Mathematics",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 31 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Renewable Energy Scholarship,"$4,000 scholarship for students passionate about renewable energy and sustainable engineering. Must submit essay on the future of clean energy and personal commitment to sustainability.",https://www.chegg.com/scholarships/engineering-scholarships/renewable-energy,Chegg,Scholarship,"Renewable Energy, Environmental Engineering, Sustainability, Physics",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 30 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Aerospace Engineering Scholarship,"$7,000 scholarship for high school students interested in aerospace engineering, aviation, or space exploration. Must demonstrate interest through coursework, projects, or extracurricular activities.",https://www.chegg.com/scholarships/engineering-scholarships/aerospace,Chegg,Scholarship,"Aerospace Engineering, Mechanical Engineering, Physics, Aviation",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Women in Computer Science Scholarship,"$6,000 scholarship for female students pursuing computer science or software engineering. Must demonstrate coding skills and commitment to increasing female representation in tech. Two awards available.",https://www.chegg.com/scholarships/computer-science-scholarships/women-cs,Chegg,Scholarship,"Computer Science, Software Engineering, Programming, Technology",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,February 15 annually,None,N/A - This is financial aid,No,None,Free,True,True,False,Medium,True,No,High,National,No,Low,None
Chegg - Physics and Astronomy Scholarship,"$4,500 scholarship for students passionate about physics, astrophysics, or astronomy. Must have strong grades in physics and mathematics. Essay on physics concepts or astronomical phenomena required.",https://www.chegg.com/scholarships/science-scholarships/physics-astronomy,Chegg,Scholarship,"Physics, Astronomy, Astrophysics, Mathematics",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Rural STEM Student Scholarship,"$5,000 scholarship for high school students from rural communities pursuing STEM education. Must demonstrate how rural background shapes STEM perspective and goals. Preference for students with limited STEM resources.",https://www.chegg.com/scholarships/stem-scholarships/rural-stem,Chegg,Scholarship,All STEM Fields,9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,June 1 annually,None,N/A - This is financial aid,Yes,None,Free,True,True,True,High,True,No,High,National,No,Low,None
Chegg - Artificial Intelligence Scholarship,"$9,000 scholarship for students interested in artificial intelligence and machine learning. Must demonstrate understanding of AI concepts through projects, coursework, or competitions.",https://www.chegg.com/scholarships/computer-science-scholarships/artificial-intelligence,Chegg,Scholarship,"Artificial Intelligence, Machine Learning, Computer Science, Data Science",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,January 31 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Biotechnology Innovation Scholarship,"$5,000 scholarship for students interested in biotechnology, genetic engineering, or molecular biology. Must submit essay on biotech applications and ethical considerations.",https://www.chegg.com/scholarships/science-scholarships/biotechnology,Chegg,Scholarship,"Biotechnology, Genetics, Biology, Molecular Biology",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 15 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Civil Engineering Future Scholarship,"$5,500 scholarship for students interested in civil engineering, urban planning, or infrastructure development. Must demonstrate interest through projects or coursework.",https://www.chegg.com/scholarships/engineering-scholarships/civil-engineering,Chegg,Scholarship,"Civil Engineering, Construction, Urban Planning, Structural Engineering",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 30 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Game Development and Design Scholarship,"$4,000 scholarship for students interested in game development, game design, or interactive media. Must submit portfolio showing game projects or design work.",https://www.chegg.com/scholarships/computer-science-scholarships/game-development,Chegg,Scholarship,"Game Development, Computer Science, Design, Programming",9-12,Free to apply,Virtual,1-2 hours,Beginner,Low,February 28 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Marine Biology Scholarship,"$4,500 scholarship for students passionate about marine biology, oceanography, or aquatic sciences. Must demonstrate commitment to ocean conservation and marine research.",https://www.chegg.com/scholarships/science-scholarships/marine-biology,Chegg,Scholarship,"Marine Biology, Oceanography, Biology, Environmental Science",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,May 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Electrical Engineering Scholarship,"$6,000 scholarship for students interested in electrical engineering, electronics, or power systems. Must have completed physics and advanced mathematics courses.",https://www.chegg.com/scholarships/engineering-scholarships/electrical-engineering,Chegg,Scholarship,"Electrical Engineering, Electronics, Computer Engineering, Physics",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,April 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Low,True,No,High,National,No,Low,None
Chegg - Women in Mathematics Scholarship,"$5,000 scholarship for female students pursuing mathematics or statistics. Must demonstrate strong mathematical ability and commitment to increasing female representation in mathematics.",https://www.chegg.com/scholarships/stem-scholarships/women-mathematics,Chegg,Scholarship,"Mathematics, Statistics, Applied Mathematics, Data Science",10-12,Free to apply,Virtual,1-2 hours,Beginner,Low,March 15 annually,None,N/A - This is financial aid,No,None,Free,True,True,False,Medium,True,No,High,National,No,Low,None
