name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Python for Everybody Specialization,"University of Michigan specialization teaching Python programming fundamentals. Learn data structures, web scraping, databases, and data visualization. No prior programming experience required. Five-course series with hands-on projects. Excellent for beginners interested in coding.",https://www.coursera.org/specializations/python,Coursera,Online Course,Computer Science,9-12,Free,Online,8 months at 3 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Computer Science and Programming,"MIT course introducing computational problem-solving using Python. Learn algorithms, data structures, testing, and debugging. Covers programming fundamentals and computational thinking. Challenging but accessible to motivated high school students.",https://www.coursera.org/learn/cs-programming-java,Coursera,Online Course,Computer Science,10-12,Free,Online,6 weeks at 10-12 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Code Yourself! An Introduction to Programming,"University of Edinburgh course teaching programming basics using Scratch. Visual programming introduction perfect for beginners. Learn computational thinking, algorithms, and problem-solving. Fun, interactive approach to coding fundamentals.",https://www.coursera.org/learn/intro-programming,Coursera,Online Course,Computer Science,6-10,Free,Online,5 weeks at 3-5 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Calculus,"University of Sydney course covering limits, derivatives, and integration fundamentals. Preparation for AP Calculus or university mathematics. Clear explanations with worked examples. Suitable for advanced high school students.",https://www.coursera.org/learn/introduction-to-calculus,Coursera,Online Course,Mathematics,11-12,Free,Online,8 weeks at 8-10 hours/week,High,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Data Science,"IBM course introducing data science concepts and tools. Learn Python, data analysis, visualization, and machine learning basics. Hands-on labs using real datasets. Great for students interested in STEM careers.",https://www.coursera.org/learn/what-is-datascience,Coursera,Online Course,"Computer Science, Data Science",10-12,Free,Online,4 weeks at 2-3 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Chemistry: Reactions and Ratios,"Duke University chemistry course covering atomic structure, chemical reactions, and stoichiometry. Lab demonstrations and problem-solving practice. Excellent preparation for AP Chemistry or college chemistry.",https://www.coursera.org/learn/intro-chemistry,Coursera,Online Course,Chemistry,9-12,Free,Online,7 weeks at 4-6 hours/week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Physics,"University of Virginia course covering mechanics, energy, momentum, and basic physics principles. Algebra-based physics suitable for high school students. Clear explanations and problem-solving practice.",https://www.coursera.org/learn/phys-1,Coursera,Online Course,Physics,9-12,Free,Online,8 weeks at 6-8 hours/week,Medium,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Machine Learning,"Stanford University course by Andrew Ng introducing machine learning algorithms and applications. Learn supervised learning, neural networks, and best practices. Challenging but accessible to motivated students with math background.",https://www.coursera.org/learn/machine-learning,Coursera,Online Course,"Computer Science, Artificial Intelligence",11-12,Free,Online,11 weeks at 7-10 hours/week,High,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Biology,"MIT introductory biology course covering biochemistry, genetics, molecular biology, and cell biology. University-level content accessible to advanced high school students. Rich multimedia content and problem sets.",https://www.coursera.org/learn/biology,Coursera,Online Course,Biology,10-12,Free,Online,8 weeks at 6-8 hours/week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Web Design for Everybody,"University of Michigan specialization teaching HTML, CSS, JavaScript, and responsive design. Build real websites and portfolios. Five-course series from beginner to advanced. Great for students interested in web development.",https://www.coursera.org/specializations/web-design,Coursera,Online Course,Computer Science,9-12,Free,Online,6 months at 3-4 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Mathematics for Machine Learning,"Imperial College London specialization covering linear algebra, calculus, and statistics for machine learning. Strong math foundation for advanced CS topics. Suitable for students with precalculus background.",https://www.coursera.org/specializations/mathematics-machine-learning,Coursera,Online Course,"Mathematics, Computer Science",11-12,Free,Online,4 months at 6-8 hours/week,High,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Cybersecurity Fundamentals,"RIT course introducing cybersecurity principles, network security, and cryptography. Learn about threats, vulnerabilities, and security best practices. Hands-on labs and real-world scenarios.",https://www.coursera.org/learn/cyber-security-fundamentals,Coursera,Online Course,"Computer Science, Cybersecurity",10-12,Free,Online,4 weeks at 3-5 hours/week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Environmental Science,"Dartmouth course exploring environmental challenges including climate change, biodiversity, and sustainability. Interdisciplinary approach combining biology, chemistry, and social sciences. Great for environmentally-conscious students.",https://www.coursera.org/learn/environmental-science,Coursera,Online Course,Environmental Science,9-12,Free,Online,6 weeks at 4-6 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Robotics: Foundations,"University of Pennsylvania course introducing robotics concepts including kinematics, dynamics, and control. Learn robot programming and simulation. Great for students interested in engineering and automation.",https://www.coursera.org/learn/robotics-foundations,Coursera,Online Course,"Engineering, Robotics",10-12,Free,Online,5 weeks at 5-7 hours/week,Medium,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Game Design and Development,"Michigan State University specialization teaching game design principles and Unity development. Learn programming, graphics, and user experience design through game creation. Five-course series covering full game development pipeline.",https://www.coursera.org/specializations/game-development,Coursera,Online Course,Computer Science,9-12,Free,Online,5 months at 5-7 hours/week,Basic,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Statistics with R,"Duke University specialization teaching statistical concepts and R programming. Learn data analysis, probability, inference, and regression modeling. Five-course series with practical data projects.",https://www.coursera.org/specializations/statistics,Coursera,Online Course,"Mathematics, Statistics",10-12,Free,Online,7 months at 5-7 hours/week,Medium,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Introduction to Engineering,"Exploration of engineering disciplines including mechanical, electrical, civil, and computer engineering. Learn about design process, problem-solving, and engineering careers. Great for students considering engineering majors.",https://www.coursera.org/learn/engineering,Coursera,Online Course,Engineering,9-12,Free,Online,4 weeks at 3-5 hours/week,None,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
Algorithms Specialization,"Stanford University four-course specialization covering fundamental algorithms and data structures. Learn graph algorithms, greedy algorithms, dynamic programming, and more. Challenging content for advanced students.",https://www.coursera.org/specializations/algorithms,Coursera,Online Course,Computer Science,11-12,Free,Online,4 months at 8-10 hours/week,High,Medium,Rolling,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,International,None,True,Professional
