name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Coding Rooms - Introduction to Python (Elementary),"Beginner-friendly Python course for elementary students. Learn variables, basic input/output, simple loops, and fundamental programming concepts. Visual and interactive exercises with collaborative coding features.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Python",3-5,Freemium,Online,10-15 hours,None,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - Python Fundamentals (Middle School),"Comprehensive Python course for middle school students. Cover variables, data types, conditionals, loops, functions, lists, and dictionaries. Hands-on projects with real-time collaboration and teacher feedback.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Python",6-8,Freemium,Online,20-30 hours,None,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - Advanced Python Programming,"Advanced Python for high school students. Object-oriented programming, file handling, modules, libraries, APIs, and data structures. Prepare for AP Computer Science Principles and college-level programming.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Python, Software Engineering",9-12,Freemium,Online,30-40 hours,Medium,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - Introduction to Java,"Begin Java programming with syntax, variables, operators, control flow, and methods. Build console applications and learn object-oriented concepts. Aligned with AP Computer Science A curriculum.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Java",9-12,Freemium,Online,25-35 hours,Low,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - AP Computer Science A Prep,"Complete AP Computer Science A exam preparation course. Java programming covering all AP CSA topics: inheritance, polymorphism, recursion, data structures, algorithms, and searching/sorting. Practice AP-style questions.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Java, AP Test Prep",10-12,Freemium,Online,40-60 hours,Medium,High,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - AP Computer Science Principles,"AP CSP curriculum covering computational thinking, programming fundamentals, internet technologies, data analysis, and impact of computing. Language-agnostic concepts with Python implementation. Prepare for AP CSP exam.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, Computational Thinking, AP Test Prep",9-12,Freemium,Online,35-50 hours,Low,High,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - JavaScript for Beginners,"Introduction to JavaScript programming and web development. Learn variables, functions, DOM manipulation, events, and interactive web pages. Build browser-based projects and games.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, JavaScript, Web Development",7-12,Freemium,Online,20-30 hours,Low,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - HTML & CSS Web Fundamentals,"Web development foundations with HTML and CSS. Create structured web pages, style with CSS, responsive design basics, and portfolio projects. Visual introduction to web technologies.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Web Development, Design",6-12,Freemium,Online,15-20 hours,None,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - C++ Programming Fundamentals,"Introduction to C++ programming language. Learn syntax, pointers, memory management, standard library, and object-oriented programming. Strong foundation for systems programming and competitive coding.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Programming, C++",10-12,Freemium,Online,30-40 hours,Medium,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
Coding Rooms - Data Structures and Algorithms,"Computer science fundamentals covering arrays, linked lists, stacks, queues, trees, graphs, sorting, searching, and algorithm analysis. Essential for competitive programming and technical interviews.",https://www.codingrooms.com/curriculum,Coding Rooms,Learning Platform,"Computer Science, Algorithms, Data Structures, Problem Solving",10-12,Freemium,Online,40-50 hours,High,Medium,Rolling,Low,Limited,Optional,Premium Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Teacher
