name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
STEMfinity Free Elementary Science Activities,"Collection of free hands-on science activities for elementary grades. Includes experiments in physics, chemistry, biology, and earth science with minimal materials.",https://www.stemfinity.com/Free-STEM-Activities,STEMfinity,Learning Platform,"Science, Physics, Chemistry, Biology",K-5,Free,Hybrid,30-60 minutes per activity,None,Medium,None,None,Not applicable,Not required,Household Materials,Free,False,True,True,Medium,True,False,Required,National,Medium,False,None
STEMfinity Free Middle School STEM Challenges,"Engineering design challenges and STEM projects for middle school students. Downloadable activities covering robotics, coding, engineering, and mathematics.",https://www.stemfinity.com/Free-STEM-Activities,STEMfinity,Learning Platform,"Engineering, Robotics, Programming, Mathematics",6-8,Free,Hybrid,1-2 hours per challenge,None,Medium,None,None,Not applicable,Not required,Basic Materials,Free,False,True,True,Medium,True,False,Required,National,Low,False,None
STEMfinity Free High School STEM Labs,"Advanced STEM laboratory activities for high school. Physics, chemistry, biology, and engineering labs with detailed procedures and analysis questions.",https://www.stemfinity.com/Free-STEM-Activities,STEMfinity,Learning Platform,"Science, Physics, Chemistry, Biology, Engineering",9-12,Free,Hybrid,1-3 hours per lab,Low,Medium,None,None,Not applicable,Not required,Lab Materials,Free,False,True,True,Medium,True,False,Required,National,Low,False,Teacher
STEMfinity LEGO Education Resources,"Comprehensive LEGO robotics curriculum guides, lesson plans, and competition resources. Support for LEGO WeDo and EV3 platforms for all grade levels.",https://www.stemfinity.com/STEM-Education,STEMfinity,Curriculum,"Robotics, Engineering, Programming",K-12,Free,Hybrid,Variable,None,High,None,Medium,Not applicable,Not required,Equipment,Free,False,True,True,Medium,True,False,Required,National,Low,True,Teacher
STEMfinity VEX Robotics Curriculum,VEX robotics lesson plans and project guides for middle and high school. Competition prep materials and engineering notebooks templates.,https://www.stemfinity.com/STEM-Education,STEMfinity,Curriculum,"Robotics, Engineering, Programming",6-12,Free,Hybrid,Variable,Low,High,None,Medium,Not applicable,Not required,Equipment,Free,False,True,True,Medium,True,False,Required,National,Low,True,Teacher
STEMfinity Arduino Education Materials,"Arduino project guides and coding tutorials for students. Learn electronics, sensors, and microcontroller programming through hands-on projects.",https://www.stemfinity.com/STEM-Education,STEMfinity,Learning Platform,"Electronics, Programming, Engineering",7-12,Free,Hybrid,2-4 hours per project,Low,Medium,None,Low,Not applicable,Not required,Equipment,Free,False,True,True,Medium,True,False,Required,National,Low,False,Variable
STEMfinity FIRST Robotics Competition Prep,"Resources for teams preparing for FIRST robotics competitions. Strategy guides, engineering tips, and project management tools for FLL, FTC, and FRC.",https://www.stemfinity.com/STEM-Competitions,STEMfinity,Competition,"Robotics, Engineering, Programming",K-12,Free,Hybrid,Season-long,Low,High,Competition seasons,Medium,Not applicable,Not required,Equipment-Travel,Free,False,True,True,Medium,True,Variable,Required,National,Medium,True,Teacher
STEMfinity Science Fair Project Resources,"Complete science fair project guides from topic selection through presentation. Includes research methods, experimental design, and display tips for all grade levels.",https://www.stemfinity.com/STEM-Competitions,STEMfinity,Competition,"Science, Engineering, Research",K-12,Free,Hybrid,4-12 weeks,None,Medium,School fair dates,Low,Not applicable,Not required,Project Materials,Free,False,True,True,Medium,True,False,Required,National,Medium,False,Teacher
STEMfinity Math Competition Prep,"Practice problems and study guides for math competitions including MATHCOUNTS, AMC 8/10/12. Problem-solving strategies and competition tips.",https://www.stemfinity.com/STEM-Competitions,STEMfinity,Competition,"Mathematics, Problem Solving",6-12,Free,Online,Variable,Medium,Medium,Competition dates,Low,Not applicable,Not required,Competition Fees,Free,False,True,True,Medium,True,False,Required,National,Low,False,Teacher
STEMfinity Python Programming for Beginners,"Introductory Python programming lessons and projects for middle and high school students. Learn variables, loops, functions, and data structures.",https://www.stemfinity.com/STEM-Education,STEMfinity,Learning Platform,"Computer Science, Programming, Python",6-12,Free,Online,Self-paced,None,Medium,None,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Low,False,None
STEMfinity Scratch Coding Activities,"Block-based coding projects using Scratch for elementary and middle school. Create games, animations, and interactive stories while learning programming concepts.",https://www.stemfinity.com/Free-STEM-Activities,STEMfinity,Learning Platform,"Computer Science, Programming, Game Design",2-8,Free,Online,30-90 minutes per project,None,Medium,None,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Low,False,None
STEMfinity Web Development Basics,"Learn HTML, CSS, and JavaScript to build websites. Step-by-step tutorials for creating responsive web pages and interactive features.",https://www.stemfinity.com/STEM-Education,STEMfinity,Learning Platform,"Web Development, Computer Science, Programming",7-12,Free,Online,Self-paced,None,Medium,None,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Low,False,None
