name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
STEM Innovators High School Scholarship,"$3,000 scholarship for high school STEM innovators. For students with innovative projects, research, or achievements in science, technology, engineering, or mathematics.",https://www.unigo.com/scholarships/stem-innovators-hs,Unigo,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Engineering Future High School Award,"$2,500 scholarship for aspiring engineers. For high school students planning to pursue engineering with strong academic records.",https://www.unigo.com/scholarships/engineering-future-hs,Unigo,Scholarship,"Engineering, Mathematics, Physics",10-12,Free,Online,Variable (application),High,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Computer Science High School Scholarship,"$2,000 award for computer science students. Recognizing high school students with coding skills and tech projects.",https://www.unigo.com/scholarships/cs-hs,Unigo,Scholarship,"Computer Science, Programming, Software Development",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Women in STEM High School Leadership Scholarship,"$3,500 scholarship for female STEM leaders. Supporting girls demonstrating leadership in science and technology.",https://www.unigo.com/scholarships/women-stem-leadership-hs,Unigo,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Mathematics Excellence High School Scholarship,"$2,500 award for mathematics students. For high school students with exceptional math performance.",https://www.unigo.com/scholarships/math-excellence-hs,Unigo,Scholarship,"Mathematics, Statistics, Applied Math",9-12,Free,Online,Variable (application),High,Low,March 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Science Research High School Scholarship,"$3,000 scholarship for science researchers. Supporting high school students with original research projects.",https://www.unigo.com/scholarships/science-research-hs,Unigo,Scholarship,"Biology, Chemistry, Physics, Environmental Science",10-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Minority STEM Leaders High School Scholarship,"$2,500 award for underrepresented minorities in STEM. Supporting diverse students in science and engineering.",https://www.unigo.com/scholarships/minority-stem-hs,Unigo,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Technology Innovation High School Award,"$2,000 scholarship for tech innovators. For high school students with technology projects or inventions.",https://www.unigo.com/scholarships/tech-innovation-hs,Unigo,Scholarship,"Technology, Computer Science, Engineering",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Robotics High School Scholarship,"$2,500 scholarship for robotics students. For high school students in robotics clubs or competitions.",https://www.unigo.com/scholarships/robotics-hs,Unigo,Scholarship,"Robotics, Engineering, Computer Science",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Environmental Science High School Scholarship,"$2,500 award for environmental students. Supporting students passionate about conservation and sustainability.",https://www.unigo.com/scholarships/environmental-hs,Unigo,Scholarship,"Environmental Science, Biology, Ecology",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biology Excellence High School Award,"$2,000 scholarship for biology students. Recognizing excellence in biological sciences.",https://www.unigo.com/scholarships/biology-hs,Unigo,Scholarship,"Biology, Life Sciences, Biotechnology",9-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Chemistry Achievement High School Scholarship,"$2,500 scholarship for chemistry students. For high school students with strong chemistry performance.",https://www.unigo.com/scholarships/chemistry-hs,Unigo,Scholarship,"Chemistry, Chemical Engineering, Biochemistry",9-12,Free,Online,Variable (application),Variable,Low,February 28,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Physics High School Scholarship,"$3,000 award for physics students. Supporting high school students with strong physics backgrounds.",https://www.unigo.com/scholarships/physics-hs,Unigo,Scholarship,"Physics, Astronomy, Astrophysics",10-12,Free,Online,Variable (application),High,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
First Generation STEM High School Scholarship,"$2,500 scholarship for first-generation students. Supporting students whose parents did not attend college.",https://www.unigo.com/scholarships/first-gen-stem-hs,Unigo,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Considered,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Cybersecurity High School Award,"$2,000 scholarship for cybersecurity students. For high school students interested in information security.",https://www.unigo.com/scholarships/cybersecurity-hs,Unigo,Scholarship,"Cybersecurity, Computer Science, Information Technology",10-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biomedical Science High School Scholarship,"$3,500 scholarship for biomedical students. Supporting students interested in medical research.",https://www.unigo.com/scholarships/biomedical-hs,Unigo,Scholarship,"Biomedical Science, Biology, Chemistry",11-12,Free,Online,Variable (application),High,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Data Science High School Scholarship,"$2,500 award for data science students. For high school students with coding and analytics skills.",https://www.unigo.com/scholarships/data-science-hs,Unigo,Scholarship,"Data Science, Statistics, Computer Science",10-12,Free,Online,Variable (application),High,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Aerospace Engineering High School Scholarship,"$3,000 scholarship for aerospace students. For students passionate about aviation and space.",https://www.unigo.com/scholarships/aerospace-hs,Unigo,Scholarship,"Aerospace Engineering, Engineering, Physics",10-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Artificial Intelligence High School Award,"$3,500 scholarship for AI students. For high school students exploring machine learning.",https://www.unigo.com/scholarships/ai-hs,Unigo,Scholarship,"Artificial Intelligence, Computer Science, Mathematics",11-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Software Development High School Scholarship,"$2,000 award for software developers. For high school students with coding portfolios.",https://www.unigo.com/scholarships/software-dev-hs,Unigo,Scholarship,"Software Development, Computer Science, Programming",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Mechanical Engineering High School Scholarship,"$2,500 scholarship for mechanical engineering students. For students interested in design.",https://www.unigo.com/scholarships/mechanical-eng-hs,Unigo,Scholarship,"Mechanical Engineering, Engineering, Physics",10-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Electrical Engineering High School Award,"$3,000 scholarship for electrical engineering students. Recognizing electronics projects.",https://www.unigo.com/scholarships/electrical-eng-hs,Unigo,Scholarship,"Electrical Engineering, Engineering, Physics",9-12,Free,Online,Variable (application),Variable,Low,February 28,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Civil Engineering High School Scholarship,"$2,500 award for civil engineering students. For students interested in infrastructure.",https://www.unigo.com/scholarships/civil-eng-hs,Unigo,Scholarship,"Civil Engineering, Engineering, Mathematics",10-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Renewable Energy High School Scholarship,"$2,500 scholarship for renewable energy students. For students passionate about clean energy.",https://www.unigo.com/scholarships/renewable-energy-hs,Unigo,Scholarship,"Environmental Science, Engineering, Physics",9-12,Free,Online,Variable (application),Variable,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biotechnology High School Award,"$3,000 scholarship for biotechnology students. For students interested in genetic engineering.",https://www.unigo.com/scholarships/biotech-hs,Unigo,Scholarship,"Biotechnology, Biology, Chemistry",10-12,Free,Online,Variable (application),High,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Game Development High School Scholarship,"$2,000 award for game developers. For high school students creating video games.",https://www.unigo.com/scholarships/game-dev-hs,Unigo,Scholarship,"Game Development, Computer Science, Software Engineering",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Marine Biology High School Scholarship,"$2,500 scholarship for marine biology students. Supporting students interested in oceanography.",https://www.unigo.com/scholarships/marine-bio-hs,Unigo,Scholarship,"Marine Biology, Biology, Environmental Science",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Geology High School Award,"$2,000 scholarship for earth science students. For students studying geology.",https://www.unigo.com/scholarships/geology-hs,Unigo,Scholarship,"Geology, Earth Science, Environmental Science",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Rural STEM High School Scholarship,"$3,000 award for rural STEM students. Addressing STEM education gaps in rural areas.",https://www.unigo.com/scholarships/rural-stem-hs,Unigo,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Considered,None,Free,True,True,True,High,True,False,Required,Rural areas,Optional,False,None
