name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
STEM Leaders High School Scholarship,"$2,500 scholarship for high school STEM leaders. For students demonstrating academic excellence and leadership in science, technology, engineering, or mathematics.",https://www.chegg.com/scholarships/stem-leaders-hs,Zinch/Chegg,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Engineering Excellence High School Award,"$3,000 scholarship for aspiring engineers. For high school students with strong math and science backgrounds planning to pursue engineering degrees.",https://www.chegg.com/scholarships/engineering-excellence-hs,Zinch/Chegg,Scholarship,"Engineering, Mathematics, Physics",10-12,Free,Online,Variable (application),High,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Computer Science High School Scholarship,"$2,000 award for computer science students. Recognizing high school students with programming skills and technology projects.",https://www.chegg.com/scholarships/cs-hs,Zinch/Chegg,Scholarship,"Computer Science, Programming, Software Development",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Women in Technology High School Award,"$3,500 scholarship for female STEM students. Supporting girls pursuing careers in technology, engineering, and computer science.",https://www.chegg.com/scholarships/women-tech-hs,Zinch/Chegg,Scholarship,"Computer Science, Engineering, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Mathematics Excellence High School Scholarship,"$2,500 award for mathematics students. For high school students with outstanding math performance and problem-solving skills.",https://www.chegg.com/scholarships/math-excellence-hs,Zinch/Chegg,Scholarship,"Mathematics, Statistics, Applied Math",9-12,Free,Online,Variable (application),High,Low,March 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Science Research High School Scholarship,"$3,000 scholarship for science researchers. Supporting high school students conducting original research in any science field.",https://www.chegg.com/scholarships/science-research-hs,Zinch/Chegg,Scholarship,"Biology, Chemistry, Physics, Environmental Science",10-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Minority STEM High School Scholarship,"$2,500 award for underrepresented minorities in STEM. Supporting African American, Hispanic, and Native American students.",https://www.chegg.com/scholarships/minority-stem-hs,Zinch/Chegg,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Robotics High School Scholarship,"$2,000 scholarship for robotics students. For high school students participating in robotics competitions or building robotic systems.",https://www.chegg.com/scholarships/robotics-hs,Zinch/Chegg,Scholarship,"Robotics, Engineering, Computer Science",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Environmental Science High School Award,"$2,500 scholarship for environmental advocates. Supporting students passionate about conservation and sustainability.",https://www.chegg.com/scholarships/environmental-hs,Zinch/Chegg,Scholarship,"Environmental Science, Biology, Ecology",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biology High School Scholarship,"$2,000 award for biology students. Recognizing academic excellence in biological sciences and lab skills.",https://www.chegg.com/scholarships/biology-hs,Zinch/Chegg,Scholarship,"Biology, Life Sciences, Biotechnology",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Chemistry Achievement High School Scholarship,"$2,500 scholarship for chemistry students. For high school students with outstanding chemistry performance.",https://www.chegg.com/scholarships/chemistry-hs,Zinch/Chegg,Scholarship,"Chemistry, Chemical Engineering, Biochemistry",9-12,Free,Online,Variable (application),Variable,Low,February 28,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Physics High School Award,"$3,000 scholarship for physics students. Supporting high school students with strong physics grades and research interests.",https://www.chegg.com/scholarships/physics-hs,Zinch/Chegg,Scholarship,"Physics, Astronomy, Astrophysics",10-12,Free,Online,Variable (application),High,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
First Generation STEM High School Scholarship,"$2,500 award for first-generation students. Supporting students whose parents did not complete college degrees.",https://www.chegg.com/scholarships/first-gen-stem-hs,Zinch/Chegg,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",9-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Considered,None,Free,True,True,True,High,True,False,Required,National,Optional,False,None
Cybersecurity High School Scholarship,"$2,000 scholarship for cybersecurity students. For high school students interested in information security.",https://www.chegg.com/scholarships/cybersecurity-hs,Zinch/Chegg,Scholarship,"Cybersecurity, Computer Science, Information Technology",10-12,Free,Online,Variable (application),Variable,Low,March 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biomedical Science High School Award,"$3,500 scholarship for biomedical students. Supporting high school students interested in medical research.",https://www.chegg.com/scholarships/biomedical-hs,Zinch/Chegg,Scholarship,"Biomedical Science, Biology, Chemistry",11-12,Free,Online,Variable (application),High,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Data Science High School Scholarship,"$2,500 award for data science students. For high school students with coding and statistical analysis skills.",https://www.chegg.com/scholarships/data-science-hs,Zinch/Chegg,Scholarship,"Data Science, Statistics, Computer Science",10-12,Free,Online,Variable (application),High,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Aerospace Engineering High School Scholarship,"$3,000 scholarship for aerospace students. For students passionate about aviation and space exploration.",https://www.chegg.com/scholarships/aerospace-hs,Zinch/Chegg,Scholarship,"Aerospace Engineering, Engineering, Physics",10-12,Free,Online,Variable (application),Variable,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Artificial Intelligence High School Award,"$3,500 scholarship for AI students. For high school students exploring machine learning and neural networks.",https://www.chegg.com/scholarships/ai-hs,Zinch/Chegg,Scholarship,"Artificial Intelligence, Computer Science, Mathematics",11-12,Free,Online,Variable (application),High,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Software Development High School Scholarship,"$2,000 award for software developers. For high school students with coding portfolios and projects.",https://www.chegg.com/scholarships/software-dev-hs,Zinch/Chegg,Scholarship,"Software Development, Computer Science, Programming",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Mechanical Engineering High School Scholarship,"$2,500 scholarship for mechanical engineering students. For students interested in design and manufacturing.",https://www.chegg.com/scholarships/mechanical-eng-hs,Zinch/Chegg,Scholarship,"Mechanical Engineering, Engineering, Physics",10-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Electrical Engineering High School Award,"$3,000 scholarship for electrical engineering students. Recognizing electronics projects and circuit design.",https://www.chegg.com/scholarships/electrical-eng-hs,Zinch/Chegg,Scholarship,"Electrical Engineering, Engineering, Physics",9-12,Free,Online,Variable (application),Variable,Low,February 28,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Civil Engineering High School Scholarship,"$2,500 award for civil engineering students. For students interested in infrastructure and construction.",https://www.chegg.com/scholarships/civil-eng-hs,Zinch/Chegg,Scholarship,"Civil Engineering, Engineering, Mathematics",10-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Renewable Energy High School Scholarship,"$2,500 scholarship for renewable energy advocates. For students passionate about clean energy.",https://www.chegg.com/scholarships/renewable-energy-hs,Zinch/Chegg,Scholarship,"Environmental Science, Engineering, Physics",9-12,Free,Online,Variable (application),Variable,Low,May 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Biotechnology High School Award,"$3,000 scholarship for biotechnology students. For students interested in genetic engineering.",https://www.chegg.com/scholarships/biotech-hs,Zinch/Chegg,Scholarship,"Biotechnology, Biology, Chemistry",10-12,Free,Online,Variable (application),High,Low,April 1,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Game Development High School Scholarship,"$2,000 award for game developers. For high school students creating video games or interactive media.",https://www.chegg.com/scholarships/game-dev-hs,Zinch/Chegg,Scholarship,"Game Development, Computer Science, Software Engineering",9-12,Free,Online,Variable (application),Variable,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Marine Biology High School Scholarship,"$2,500 scholarship for marine biology students. Supporting students interested in oceanography.",https://www.chegg.com/scholarships/marine-bio-hs,Zinch/Chegg,Scholarship,"Marine Biology, Biology, Environmental Science",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Geology High School Award,"$2,000 scholarship for earth science students. For students studying geology or geophysics.",https://www.chegg.com/scholarships/geology-hs,Zinch/Chegg,Scholarship,"Geology, Earth Science, Environmental Science",9-12,Free,Online,Variable (application),Variable,Low,March 31,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Rural STEM High School Scholarship,"$3,000 award for rural STEM students. Addressing STEM education gaps in rural communities.",https://www.chegg.com/scholarships/rural-stem-hs,Zinch/Chegg,Scholarship,"Computer Science, Engineering, Mathematics, Science",9-12,Free,Online,Variable (application),Variable,Low,April 15,None,True,Considered,None,Free,True,True,True,High,True,False,Required,Rural areas,Optional,False,None
Web Development High School Scholarship,"$2,000 scholarship for web developers. For high school students with HTML, CSS, and JavaScript skills.",https://www.chegg.com/scholarships/web-dev-hs,Zinch/Chegg,Scholarship,"Web Development, Computer Science, Software Engineering",9-12,Free,Online,Variable (application),Variable,Low,April 30,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
Mobile App Development High School Award,"$2,500 scholarship for mobile app developers. For students creating iOS or Android applications.",https://www.chegg.com/scholarships/mobile-dev-hs,Zinch/Chegg,Scholarship,"Mobile Development, Computer Science, Software Engineering",10-12,Free,Online,Variable (application),High,Low,May 15,None,True,Not required,None,Free,False,True,True,Medium,True,False,Required,National,Optional,False,None
