name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Mystery Science - Kindergarten: Animal Superpowers,"Explore how animals use special features to survive. Video lessons on animal adaptations, camouflage, and defense mechanisms. Hands-on activities observing and comparing animal traits. 30-45 minute lessons with minimal materials.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Life Science, Biology, Zoology, Animal Adaptations",K,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - Kindergarten: Sunlight and Weather,"Investigate how sunlight affects Earth and weather patterns. Video-based exploration of day/night, seasons, and temperature. Simple outdoor observations and data collection. NGSS-aligned earth science for early learners.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Earth Science, Weather, Astronomy, Meteorology",K,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - Kindergarten: Pushes and Pulls,Explore forces through hands-on activities. Test how pushes and pulls affect motion using everyday objects. Video demonstrations of force concepts. Build understanding of physics through play-based learning.,https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Physics, Forces, Motion, Physical Science",K,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 1st Grade: Light and Sound,"Investigate how light travels and sounds are made. Hands-on exploration of shadows, reflection, vibration, and volume. Video lessons demonstrating wave properties. Simple experiments with flashlights and musical instruments.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Physics, Light, Sound, Waves, Physical Science",1,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 1st Grade: Plant and Animal Relationships,"Explore how plants and animals depend on each other. Study pollination, seed dispersal, and food chains. Video-based investigation of ecosystems. Outdoor observations of local plants and animals.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Life Science, Ecology, Biology, Interdependence",1,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
"Mystery Science - 1st Grade: Moon, Sun, and Stars","Observe patterns in the sky. Track moon phases, explore why we have day and night, and identify star patterns. Video lessons on space science. Simple observation journals and sky watching activities.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Astronomy, Space Science, Earth Science, Patterns",1,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 2nd Grade: Properties of Matter,"Investigate materials and their properties. Test solid, liquid, and gas states. Explore heating, cooling, and reversible changes. Video demonstrations of matter transformations with hands-on experiments.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Chemistry, Matter, Physical Science, Properties",2,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 2nd Grade: Plant Life Cycles,"Study how plants grow and reproduce. Plant seeds, observe germination, and track growth stages. Video lessons on pollination and seed formation. Document plant life cycles through drawings and journals.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Life Science, Botany, Biology, Plant Science",2,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 2nd Grade: Earth's Land and Water,"Explore Earth's diverse landscapes and water features. Study mountains, valleys, rivers, and oceans. Map local landforms and water sources. Video tours of geological formations and erosion processes.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Earth Science, Geology, Geography, Landforms",2,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 3rd Grade: Weather and Climate,"Investigate weather patterns and climate zones. Track temperature, precipitation, and wind over time. Video lessons on meteorology and climate science. Build weather instruments and analyze data.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Earth Science, Meteorology, Climate Science, Data Analysis",3,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 3rd Grade: Forces and Interactions,"Explore balanced and unbalanced forces. Investigate friction, magnetism, and gravity through experiments. Video demonstrations of force concepts. Design solutions using force principles.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Physics, Forces, Motion, Engineering",3,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 3rd Grade: Traits and Inheritance,Study how organisms inherit traits from parents. Observe variation in species and family resemblances. Video lessons on genetics basics. Create family tree diagrams showing inherited characteristics.,https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Life Science, Genetics, Biology, Heredity",3,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 3rd Grade: Fossils and Ancient Life,Discover how fossils form and what they reveal about ancient organisms. Create fossil models and study geological time. Video explorations of paleontology. Learn how scientists reconstruct ancient environments.,https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Paleontology, Geology, Earth Science, Evolution",3,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 4th Grade: Energy Transfer,"Investigate how energy moves and changes form. Explore kinetic and potential energy, heat transfer, and electrical circuits. Video lessons on energy concepts. Build simple machines and circuits.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Physics, Energy, Engineering, Physical Science",4,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 4th Grade: Waves and Information,"Study how waves transmit information. Explore light waves, sound waves, and digital communication. Video demonstrations of wave properties. Design devices that use waves to send signals.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Physics, Waves, Communication Technology, Engineering",4,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 4th Grade: Weathering and Erosion,"Investigate how Earth's surface changes over time. Model erosion processes using wind, water, and ice. Video lessons on geological changes. Map erosion patterns in local environment.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Earth Science, Geology, Erosion, Environmental Science",4,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 4th Grade: Animal Senses and Communication,"Explore how animals use senses to survive and communicate. Study echolocation, pheromones, and visual signals. Video lessons on animal behavior. Compare human and animal sensory systems.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Life Science, Zoology, Animal Behavior, Biology",4,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 5th Grade: Matter and Energy in Ecosystems,"Study how matter and energy flow through food webs. Investigate photosynthesis, decomposition, and nutrient cycling. Video lessons on ecosystem dynamics. Create food web models.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Life Science, Ecology, Energy Flow, Ecosystems",5,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 5th Grade: Earth's Systems,"Explore interactions between geosphere, hydrosphere, atmosphere, and biosphere. Study water cycle, rock cycle, and climate systems. Video lessons on Earth system science. Model system interactions.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Earth Science, Systems Thinking, Environmental Science, Geology",5,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 5th Grade: Space Systems,"Study Earth, Moon, and Sun interactions. Investigate seasons, eclipses, and tides. Video tours of solar system. Build scale models demonstrating orbital mechanics and astronomical phenomena.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Astronomy, Space Science, Physics, Earth Science",5,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
Mystery Science - 5th Grade: Structure and Properties of Matter,"Investigate particle theory and chemical changes. Test physical vs chemical changes, mixtures vs solutions. Video demonstrations of molecular behavior. Conduct experiments measuring mass and volume.",https://mysteryscience.com/school/overview,Mystery Science,Learning Platform,"Chemistry, Matter, Physical Science, Molecular Science",5,Freemium,Classroom,30-45 minutes,None,High,Rolling,Low,School-based,Optional,Materials,Free-Tier-Available,True,True,True,High,True,False,Required,National,Medium,False,Teacher
