name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Qubit by Qubit Introduction to Quantum Computing,"Free year-long quantum computing course for high school students partnered with IBM Quantum. Learn quantum mechanics fundamentals, quantum gates, algorithms, and applications. Hands-on programming with IBM Qiskit. Live classes with quantum computing professionals. No prior physics or advanced math required. Certificate upon completion.",https://www.qubitbyqubit.org/,The Coding School,Tech Program,"Quantum Computing, Physics, Computer Science",9-12,Free,Online,Academic year,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
Qubit by Qubit Advanced Quantum Computing,"Advanced quantum computing program for students who completed introductory course. Deep dive into quantum algorithms, error correction, and cutting-edge quantum research. Research projects with mentorship from quantum computing experts. Partnership with leading universities and quantum computing companies. Preparation for quantum computing careers.",https://www.qubitbyqubit.org/,The Coding School,Tech Program,"Quantum Computing, Physics, Computer Science",10-12,Free,Online,Academic year,Medium,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
The Coding School AI Scholars Program,"Free artificial intelligence education program for high school students. Learn machine learning, neural networks, computer vision, and natural language processing. Hands-on projects using Python and industry-standard tools. Mentorship from AI professionals. Department of Defense funded. Focus on ethics and responsible AI.",https://the-cs.org/programs,The Coding School,Tech Program,"Artificial Intelligence, Computer Science, Machine Learning",9-12,Free,Online,10-12 weeks,Basic,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
Coding School Summer Programs,"Intensive summer programs in quantum computing, AI, and emerging technologies. Multi-week courses with daily live sessions. Project-based learning with expert instructors. Build portfolio-worthy projects. Networking with peers nationwide. Various tracks for different experience levels. Most programs free.",https://the-cs.org/programs,The Coding School,Tech Program,"Quantum Computing, Artificial Intelligence, Computer Science",9-12,Free,Online,4-8 weeks,Basic,High,Annual-Spring,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
Quantum Computing Bootcamp,"Intensive bootcamp introducing quantum computing concepts and programming. Fast-paced curriculum covering qubits, quantum gates, superposition, and entanglement. Programming with Qiskit on IBM quantum computers. Final project presentations. Great for motivated students wanting quick immersion. Certificate provided.",https://www.qubitbyqubit.org/,The Coding School,Tech Program,"Quantum Computing, Physics",10-12,Free,Online,2-4 weeks,Basic,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
The Coding School School Partnerships,"Schools partner with The Coding School to bring quantum computing and AI education to their students. Curriculum, training, and support provided. Teachers receive professional development. Students access cutting-edge technology education. Scalable to reach entire schools or districts. Focus on equity and access.",https://the-cs.org/partnerships,The Coding School,School Partnership,"Quantum Computing, Artificial Intelligence, Computer Science",9-12,Free,Online,Academic year,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
Quantum Computing Research Projects,Guided research projects for advanced students in quantum computing. Work on real quantum computing problems with mentorship from researchers. Publish findings or present at conferences. Great for students pursuing STEM careers. Applications for prestigious programs like Regeneron or Intel ISEF. Limited spots.,https://www.qubitbyqubit.org/,The Coding School,Research Program,"Quantum Computing, Physics, Research",11-12,Free,Online,6-12 months,High,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
AI for Social Good Program,"Apply artificial intelligence to solve social problems. Students work on projects addressing healthcare, education, climate, or social justice. Learn ethical AI development. Partner with nonprofits and community organizations. Develop technical and social impact skills. Present solutions to stakeholders.",https://the-cs.org/programs,The Coding School,Tech Program,"Artificial Intelligence, Computer Science",9-12,Free,Online,8-10 weeks,Basic,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
Quantum Computing Competitions,Competitions and challenges for Qubit by Qubit students. Solve quantum computing problems and build quantum applications. Team and individual competitions. Prizes and recognition. Great for building skills and resume. Open to all program participants. Held throughout year.,https://www.qubitbyqubit.org/,The Coding School,Competition,Quantum Computing,9-12,Free,Online,Competition events,Medium,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
The Coding School Mentorship Network,"Connect with professionals in quantum computing, AI, and tech industries. One-on-one mentorship, career guidance, and networking opportunities. Learn about career paths from experts. College and career preparation. Access to exclusive events and workshops. Available to program alumni.",https://the-cs.org/programs,The Coding School,Mentorship Program,"Quantum Computing, Artificial Intelligence, Computer Science",10-12,Free,Online,Ongoing,None,High,Rolling,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,None,True,Professional
