name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
PLTW Launch - Modeling and Analysis,Students learn to model real-world phenomena and analyze relationships between variables using mathematical thinking and engineering design process to solve problems.,https://www.pltw.org/our-programs/pltw-launch/launch-modules/modeling-and-analysis,Project Lead The Way,Elementary Program,"Engineering, Mathematics",K-5,School-dependent,School-based,Module-based (10-15 hours),None,High,School enrollment,Low,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Launch - Structure and Function,"Students explore how the shape and structure of an object affects its function through building, testing, and refining design solutions for engineering challenges.",https://www.pltw.org/our-programs/pltw-launch/launch-modules/structure-and-function,Project Lead The Way,Elementary Program,"Engineering, Physics",K-5,School-dependent,School-based,Module-based (10-15 hours),None,High,School enrollment,Low,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Launch - Automation and Robotics,Students explore how machines help humans by programming robots to solve problems and complete tasks using computational thinking and engineering design.,https://www.pltw.org/our-programs/pltw-launch/launch-modules/automation-and-robotics,Project Lead The Way,Elementary Program,"Engineering, Computer Science, Robotics",K-5,School-dependent,School-based,Module-based (10-15 hours),None,High,School enrollment,Low,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Gateway - Design and Modeling,Students discover the design process and develop understanding of design principles using industry-standard 3D modeling software to create virtual designs.,https://www.pltw.org/our-programs/pltw-gateway/gateway-courses/design-and-modeling,Project Lead The Way,Middle School Program,"Engineering, Technology, Design",6-8,School-dependent,School-based,Semester course,Basic,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Gateway - Automation and Robotics,"Students explore mechanical systems, energy transfer, machine automation, and computer control systems while programming VEX Robotics equipment.",https://www.pltw.org/our-programs/pltw-gateway/gateway-courses/automation-and-robotics,Project Lead The Way,Middle School Program,"Engineering, Robotics, Computer Science",6-8,School-dependent,School-based,Semester course,Basic,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Gateway - Medical Detectives,"Students solve medical mysteries through hands-on projects and labs, learning about human body systems, genetics, and biomedical technologies.",https://www.pltw.org/our-programs/pltw-gateway/gateway-courses/medical-detectives,Project Lead The Way,Middle School Program,"Biomedical Science, Biology, Health Science",6-8,School-dependent,School-based,Semester course,Basic,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Gateway - Computer Science for Innovators and Makers,Students explore computer science concepts through programming while creating solutions to authentic problems using physical computing devices and sensors.,https://www.pltw.org/our-programs/pltw-gateway/gateway-courses/computer-science-innovators-and-makers,Project Lead The Way,Middle School Program,"Computer Science, Programming, Engineering",6-8,School-dependent,School-based,Semester course,Basic,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Engineering - Introduction to Engineering Design,"Students dig deep into the engineering design process while applying mathematical analysis, scientific principles, and engineering standards to solve engineering problems.",https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/introduction-engineering-design,Project Lead The Way,Engineering Program,"Engineering, Design, Mathematics",9-12,School-dependent,School-based,Full year course,Medium,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Engineering - Principles of Engineering,"Students explore engineering career paths while learning about mechanisms, strength of materials, and applied physics through hands-on projects and design challenges.",https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/principles-engineering,Project Lead The Way,Engineering Program,"Engineering, Physics, Materials Science",9-12,School-dependent,School-based,Full year course,Medium,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Engineering - Digital Electronics,"Students explore electronic circuits, digital logic, and programmable logic devices while learning to design and build electronic systems and devices.",https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/digital-electronics,Project Lead The Way,Engineering Program,"Engineering, Electronics, Computer Science",9-12,School-dependent,School-based,Full year course,Medium,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
PLTW Engineering - Aerospace Engineering,"Students explore the physics of flight and space travel while designing and testing model aircraft, rockets, and space systems using engineering principles.",https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/aerospace-engineering,Project Lead The Way,Engineering Program,"Aerospace Engineering, Physics, Mathematics",9-12,School-dependent,School-based,Full year course,Medium,High,School enrollment,Medium,False,Any,None,School-dependent,True,True,True,High,True,False,Basic,National,None,True,Adult
