file_source,name,description,reason_flagged,confidence_level,,Decision
acs_programs.csv,Adventures in Chemistry,"Chemistry exploration program for elementary students featuring experiments, games, and science activities. Introduces young students to chemistry concepts through hands-on activities. Available throu",Found: \bfor teachers,MEDIUM,,Remove
ams_student_programs.csv,AMS DataStreme Atmospheric Science Program,"Online professional development for educators teaching atmospheric science. While targeting teachers, enhances quality of meteorology education in classrooms. Provides current weather data, educationa",Found: \bfor educators,MEDIUM,,Remove
ashg_dna_day_programs.csv,ASHG DNA Day Student Activities,"Interactive genetics activities for DNA Day celebrations. Hands-on experiments, case studies, and problem-solving activities. Learn about DNA structure, inheritance, genetic disorders, and personalize",Found: \bfor teachers,MEDIUM,,Remove
ashg_dna_day_programs.csv,ASHG K-12 Genetics Education Resources Library,"Comprehensive online library of genetics teaching materials. Curated resources covering Mendelian genetics, molecular biology, genomics, and genetic medicine. Includes videos, simulations, readings, a",Found: \bfor educators,MEDIUM,,Remove
botball_programs.csv,Botball Educator Workshops,"Professional development for teachers and coaches starting Botball programs. Hands-on training with Botball kit and curriculum. Learn robot construction, programming, and game strategy. Receive curric",Found: \beducator workshop; Found: \bfor teachers,HIGH,,Remove
congress_app_challenge.csv,Congressional App Challenge Educator Support,Resources for teachers and advisors supporting student participants. Classroom integration guides and lesson plans. How to organize school app challenge programs. Mentorship resources and industry con,Found: \bfor teachers; Found: \bfor educators,HIGH,,Remove
ecybermission_programs.csv,eCYBERMISSION Team Advisor Resources,"Comprehensive resources for teachers and team advisors. Lesson plans, project guides, and judging rubrics. Training webinars and advisor community forums. Help with team formation and project developm",Found: \bfor teachers,MEDIUM,,Remove
envirothon_programs.csv,Envirothon Advisor Training,Professional development for teachers and team advisors. Workshops on environmental science topics and competition format. Field training sessions led by natural resource professionals. Curriculum int,Found: \bfor teachers,MEDIUM,,Remove
exploravision_programs.csv,ExploraVision Coach Training and Workshops,"Professional development for teachers and coaches guiding ExploraVision teams. Webinars and online resources explain competition format, judging criteria, project components, and coaching strategies. ",Found: \bfor teachers,MEDIUM,,Remove
future_city_competition.csv,Future City - Educator Curriculum and Resources,"Comprehensive curriculum materials and resources for teachers facilitating Future City teams. Includes lesson plans, engineering design activities, project management guides, rubrics, and timeline tem",Found: \bfor teachers,MEDIUM,,Remove
google_cs_edu_programs.csv,Google Educator Training: CS,"Professional development for teachers to integrate computer science into their classrooms. Free online courses covering CS pedagogy, curriculum implementation, and classroom management. Earn badges an",Found: \beducator training; Found: \bfor teachers,HIGH,,Remove
jason_learning_programs.csv,JASON Teacher Training and Professional Development,"Professional development for educators implementing JASON curriculum. While targeting teachers, enhances quality of STEM instruction benefiting students. Training covers inquiry-based learning, digita",Found: \bfor educators,MEDIUM,,Remove
lockheed_martin_programs.csv,Lockheed Martin STEM Teacher Professional Development,"Professional development program for educators teaching STEM subjects. Teachers learn about aerospace engineering, defense technology, and industry careers. Includes curriculum materials, hands-on act",Found: \bteacher professional development; Found: \bfor educators,HIGH,,Remove
