name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Brilliant.org Algebra Fundamentals,"Interactive algebra course covering variables, equations, functions, and graphing. Visual problem-solving approach with immediate feedback. Build intuition through guided explorations. Perfect for beginners learning algebra concepts. Hundreds of interactive problems.",https://brilliant.org/courses/algebra/,Brilliant.org,Online Course,"Mathematics, Algebra",6-10,Free,Online,Self-paced,None,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Geometry,"Visual geometry course exploring shapes, angles, areas, and spatial reasoning. Interactive diagrams and puzzles. Learn proofs and geometric thinking. Covers triangles, circles, polygons, and 3D shapes. Engaging way to master geometry.",https://brilliant.org/courses/geometry/,Brilliant.org,Online Course,"Mathematics, Geometry",7-10,Free,Online,Self-paced,Basic,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Pre-Calculus,"Bridge to calculus covering functions, trigonometry, exponentials, and logarithms. Interactive graphs and visualizations. Develop mathematical reasoning and problem-solving skills. Preparation for AP Calculus or college mathematics.",https://brilliant.org/courses/pre-calculus/,Brilliant.org,Online Course,Mathematics,10-12,Free,Online,Self-paced,Medium,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Calculus,"Interactive calculus course teaching limits, derivatives, and integrals through visual problems. Build calculus intuition with interactive explorations. Applications to physics, engineering, and optimization. Comprehensive coverage of single-variable calculus.",https://brilliant.org/courses/calculus/,Brilliant.org,Online Course,"Mathematics, Calculus",11-12,Free,Online,Self-paced,High,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Computer Science Fundamentals,"Introduction to computer science through interactive puzzles and challenges. Learn algorithms, data structures, and computational thinking. No coding required initially. Visual approach to CS concepts. Great foundation for programming.",https://brilliant.org/courses/computer-science-fundamentals/,Brilliant.org,Online Course,Computer Science,8-12,Free,Online,Self-paced,None,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Python Programming,Learn Python through interactive coding challenges and projects. Start with basics and progress to data structures and algorithms. Immediate feedback on code. Build real programs and games. Perfect for beginners.,https://brilliant.org/courses/programming-python/,Brilliant.org,Online Course,"Computer Science, Programming",9-12,Free,Online,Self-paced,None,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Data Structures and Algorithms,"Advanced computer science covering arrays, trees, graphs, sorting, and searching. Interactive visualizations of algorithms. Problem-solving focus for competitive programming and interviews. Challenging course for motivated students.",https://brilliant.org/courses/algorithms/,Brilliant.org,Online Course,"Computer Science, Algorithms",10-12,Free,Online,Self-paced,Medium,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Physics Fundamentals,"Interactive physics covering motion, forces, energy, and momentum. Visual simulations and interactive experiments. Build physics intuition through problem-solving. Algebra-based mechanics for high school students.",https://brilliant.org/courses/physics/,Brilliant.org,Online Course,Physics,9-12,Free,Online,Self-paced,Basic,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Electricity and Magnetism,"Explore electromagnetism through interactive problems. Learn circuits, fields, and electromagnetic waves. Visual approach to complex concepts. Great for AP Physics preparation. Applications to technology and engineering.",https://brilliant.org/courses/electric-circuits/,Brilliant.org,Online Course,"Physics, Electricity",10-12,Free,Online,Self-paced,Medium,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
Brilliant.org Probability and Statistics,"Interactive probability and statistics course. Learn through games, puzzles, and real-world problems. Covers distributions, inference, and data analysis. Build statistical intuition. Great for AP Statistics preparation.",https://brilliant.org/courses/probability/,Brilliant.org,Online Course,"Mathematics, Statistics",9-12,Free,Online,Self-paced,Basic,Medium,Rolling,None,False,False,None,Freemium,True,True,True,High,True,False,High-speed-required,International,None,True,None
