name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
NSBE Jr. - National Membership Program,"National Society of Black Engineers Junior membership program for Black K-12 students interested in STEM careers. Access to local chapter meetings, workshops, and competitions. Networking with Black engineers and STEM professionals. College preparation resources and mentorship. Leadership development through chapter officer positions. Annual membership provides year-round programming and support. Focus on building pipeline of Black engineers. Access to national conferences and regional events.",https://www.nsbe.org/nsbejr,NSBE Jr.,Membership,"Engineering, Computer Science, Technology, Mathematics, Science",K-12,Paid,Hybrid,Year-round,Beginner,High,Rolling,Low,Available,Optional,Low,$50-$100,True,True,True,High,True,False,Medium,National,Medium,True,Professional
NSBE Jr. - Try-Engineering Competition,"National engineering design competition for NSBE Jr. members in grades 6-12. Teams design and build solutions to real-world engineering challenges. Categories for middle school and high school divisions. Projects judged on creativity, technical execution, and presentation. Winners receive scholarships and recognition at national conference. Emphasis on teamwork and engineering design process. Mentorship from chapter advisors and professional engineers. Virtual submission with potential in-person finals.",https://www.nsbe.org/nsbejr,NSBE Jr.,Competition,"Engineering, Design, Problem Solving, Teamwork",6-12,Paid,Hybrid,3-6 months,Medium,High,February,Low,Prizes-available,Not required,Materials,$100-$500,True,True,True,High,True,False,Required,National,Medium,True,Professional
NSBE Jr. - Torch Awards Competition,"Academic excellence and leadership competition for NSBE Jr. members. Students submit portfolios demonstrating STEM achievement, community service, and leadership. Categories for elementary, middle, and high school. Winners receive scholarships and recognition at national convention. Emphasis on well-rounded excellence. Includes essay, transcript, and recommendation letters. Preparation for college applications. National and regional awards.",https://www.nsbe.org/nsbejr,NSBE Jr.,Competition,"All STEM Fields, Leadership, Academic Excellence",K-12,Paid,Virtual,1-2 months,Medium,High,January,Low,Scholarships-available,Not required,Low,$50-$100,True,True,True,High,True,False,Required,National,Medium,True,Professional
NSBE Jr. - Annual National Convention Youth Track,"Multi-day youth track at NSBE National Convention for K-12 members. Engineering workshops, college fair, career expo, and competitions. Meet Black engineers from Fortune 500 companies. Hands-on STEM activities and team challenges. Leadership development and college preparation sessions. Networking with thousands of Black STEM professionals. Awards ceremonies and scholarship announcements. Typically held in March. Registration includes convention access and materials.",https://www.nsbe.org/nsbejr,NSBE Jr.,Conference,"Engineering, Technology, Career Development, Networking",K-12,Paid,In-person,3-5 days,Beginner,High,February,High,Available,Optional,Travel-Hotel,$500-$1000,True,True,True,High,True,True,Low,National,High,True,Professional
NSBE Jr. - Regional Leadership Conferences,"Regional conferences held throughout the year in NSBE regions. Leadership training, STEM workshops, and team building activities. More affordable and accessible than national convention. Opportunity to meet students from nearby chapters. Engineering challenges and academic competitions. College representatives and career panels. Typically one-day or weekend events. Lower cost alternative to national programming.",https://www.nsbe.org/nsbejr,NSBE Jr.,Conference,"Engineering, Leadership, STEM Education",K-12,Paid,In-person,1-2 days,Beginner,High,Varies,Medium,Available,Optional,Travel,$100-$500,True,True,True,High,True,True,Low,Regional,High,True,Professional
NSBE Jr. - Local Chapter Meetings,"Weekly or monthly chapter meetings at schools or community centers. STEM activities, guest speakers, and college preparation. Homework help and tutoring from high school and college mentors. Field trips to engineering companies and universities. Community service projects applying STEM skills. Leadership opportunities through chapter officer positions. Family-friendly environment welcoming parents. Free or low-cost for members.",https://www.nsbe.org/nsbejr,NSBE Jr.,Program,"All STEM Fields, Tutoring, Mentorship",K-12,Free,In-person,Weekly,Beginner,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,False,True,Low,Local,Medium,True,Professional
NSBE Jr. - Summer Engineering Experience for Kids (SEEK),"Week-long day camp introducing elementary students to engineering. Hands-on projects in different engineering disciplines each day. Build bridges, circuits, robots, and simple machines. Field trips to engineering sites. Age-appropriate activities for grades K-5. Lunch and materials provided. Held at university campuses and community centers. Emphasis on making engineering fun and accessible. Limited financial aid available.",https://www.nsbe.org/nsbejr,NSBE Jr.,Camp,"Engineering, Hands-on Projects, Design",K-5,Paid,In-person,1 week,Beginner,High,May,Medium,Available,Optional,Low,$100-$500,True,True,True,High,False,True,Low,Regional,Medium,True,Professional
NSBE Jr. - College Tours Program,"Organized visits to Historically Black Colleges and Universities (HBCUs) and other top engineering schools. Meet Black engineering students and faculty. Tour campus facilities, labs, and residence halls. Learn about admissions, scholarships, and financial aid. Understand college life and academic expectations. Typically for middle and high school students. May include overnight stays. Build excitement about college STEM pathways.",https://www.nsbe.org/nsbejr,NSBE Jr.,Program,"College Preparation, Career Exploration, Engineering Education",6-12,Paid,In-person,1-3 days,Beginner,High,Varies,Medium,Available,Optional,Travel,$100-$500,True,True,True,High,True,True,Low,Regional,Medium,True,Professional
NSBE Jr. - Mentorship Circles,"Structured mentorship pairing NSBE Jr. members with college students and professional engineers. Monthly virtual or in-person meetings. Academic guidance, career advice, and personal development. Help with college applications and scholarship essays. Exposure to different engineering careers. Long-term relationships building over years. Focus on Black engineering role models. Support navigating challenges as Black student in STEM.",https://www.nsbe.org/nsbejr,NSBE Jr.,Mentorship,"Engineering, Career Development, Academic Support",6-12,Free,Hybrid,Year-round,Beginner,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Medium,National,Low,True,Professional
NSBE Jr. - STEM Saturday Academies,"Monthly Saturday enrichment programs offering advanced STEM instruction. Topics include coding, robotics, 3D design, and engineering principles. Small class sizes with individualized attention. Project-based learning with take-home creations. College students and professionals as instructors. Breakfast and lunch often provided. Academic year program supplementing school curriculum. Free or low-cost for chapter members.",https://www.nsbe.org/nsbejr,NSBE Jr.,Program,"Coding, Robotics, 3D Design, Engineering",6-12,Paid,In-person,Monthly,Beginner,High,Rolling,Low,Available,Optional,Low,$50-$100,True,True,True,High,False,True,Low,Local,Medium,True,Professional
