name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Mathnasium Elementary Math Program (K-5),"Customized math tutoring for elementary students. Build strong foundation in number sense, operations, fractions, and problem-solving. Personalized learning plan based on assessment.",https://www.mathnasium.com/programs,Mathnasium,Tutoring,Mathematics,K-5,Paid,Hybrid,Year-round (2-3 sessions/week),None,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,High,False,Teacher
Mathnasium Middle School Math Program (6-8),"Middle school math tutoring covering pre-algebra, algebra, geometry, and problem-solving. Personalized instruction to close gaps and advance skills. Prepare for high school math.",https://www.mathnasium.com/programs,Mathnasium,Tutoring,"Mathematics, Algebra",6-8,Paid,Hybrid,Year-round (2-3 sessions/week),None,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,High,False,Teacher
Mathnasium High School Math Program (9-12),"High school math tutoring for algebra, geometry, trigonometry, pre-calculus, calculus, and statistics. Test prep for SAT/ACT. College-preparatory math instruction.",https://www.mathnasium.com/programs,Mathnasium,Tutoring,"Mathematics, Algebra, Calculus, Statistics",9-12,Paid,Hybrid,Year-round (2-3 sessions/week),Low,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,Medium,False,Teacher
Mathnasium@Home - Online Math Tutoring,Live online math tutoring with same personalized instruction as in-center. Face-to-face sessions with qualified instructors via video. Flexible scheduling from home.,https://www.mathnasium.com/how-it-works,Mathnasium,Tutoring,Mathematics,K-12,Paid,Online,Year-round (2-3 sessions/week),None,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,True,False,Required,National,High,False,Teacher
Mathnasium Method Assessment,"Free comprehensive math assessment to identify strengths, gaps, and learning needs. Creates customized learning plan. Initial evaluation for all new students.",https://www.mathnasium.com/how-it-works,Mathnasium,Program,"Mathematics, Assessment",K-12,Free,Hybrid,1-2 hours (one-time),None,High,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,False,True,None,Regional,High,False,Teacher
Mathnasium SAT/ACT Math Prep,Specialized test preparation for SAT and ACT math sections. Build test-taking strategies and master key concepts. Increase math scores for college admissions.,https://www.mathnasium.com/programs,Mathnasium,Tutoring,"Mathematics, Test Preparation",10-12,Paid,Hybrid,3-6 months (2-3 sessions/week),Medium,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,Medium,False,Teacher
Mathnasium Summer Math Program,"Summer math enrichment and catch-up program. Prevent summer learning loss, advance skills, or prepare for next grade level. Flexible summer scheduling.",https://www.mathnasium.com/programs,Mathnasium,Tutoring,Mathematics,K-12,Paid,Hybrid,6-12 weeks (2-3 sessions/week),None,High,Summer,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,High,False,Teacher
Mathnasium Advanced Math Enrichment,"Enrichment program for students excelling in math. Go beyond grade-level curriculum, explore advanced topics, and challenge mathematical thinking. Competition preparation.",https://www.mathnasium.com/programs,Mathnasium,Tutoring,"Mathematics, Advanced Math",3-12,Paid,Hybrid,Year-round (2-3 sessions/week),High,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,Medium,False,Teacher
Mathnasium Homework Help,Ongoing support with school math homework and assignments. Ensure understanding of concepts taught in class. Supplement school curriculum with personalized instruction.,https://www.mathnasium.com/how-it-works,Mathnasium,Tutoring,Mathematics,K-12,Paid,Hybrid,As needed (flexible),None,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,High,False,Teacher
Mathnasium Early Childhood Math (Pre-K),"Early math education for preschoolers. Introduction to numbers, counting, patterns, and shapes. Build positive relationship with math from early age.",https://www.mathnasium.com/programs,Mathnasium,Tutoring,"Mathematics, Early Childhood Education",PreK,Paid,Hybrid,Year-round (1-2 sessions/week),None,High,Rolling,High,Limited,Optional,Subscription,$500-$1000,False,True,True,Medium,False,True,Variable,Regional,High,False,Teacher
