name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
TEALS Introduction to Computer Science,"Year-long introductory computer science course bringing industry volunteers into high school classrooms. Learn programming fundamentals, problem-solving, and computational thinking. Microsoft-funded program pairing teachers with tech professionals. No prior CS experience required for students or teachers. Full curriculum and resources provided.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Academic year,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS AP Computer Science A,"College Board-aligned AP Computer Science A course with Java programming. Industry volunteers support teachers in delivering rigorous CS curriculum. Prepare students for AP CS A exam. Full year course with comprehensive curriculum, lesson plans, and assessments. Focus on object-oriented programming and data structures.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,10-12,Free,School-based,Academic year,Basic,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS AP Computer Science Principles,"AP Computer Science Principles course exploring computing foundations, internet, data, algorithms, and societal impacts. Industry mentors team-teach with classroom teachers. Prepares students for AP CS Principles exam. Broader introduction to CS than AP CS A. Focuses on computational thinking and creativity.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Academic year,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS Introduction to Python,Python programming course for high school students. Learn fundamental programming concepts using Python. Industry volunteers support classroom instruction. Hands-on projects and real-world applications. Great for students new to coding. Full curriculum with scaffolded lessons.,https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Semester or year,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS Web Development,"Web development course teaching HTML, CSS, JavaScript, and responsive design. Students build real websites and web applications. Industry mentors share professional web development practices. Project-based learning with portfolio development. Great pathway to tech careers.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Semester or year,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS Cybersecurity,"Introduction to cybersecurity fundamentals including network security, cryptography, and ethical hacking. Industry professionals teach alongside classroom teachers. Hands-on labs and real-world scenarios. Learn about careers in cybersecurity. Addresses growing demand for security professionals.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,"Computer Science, Cybersecurity",10-12,Free,School-based,Semester or year,Basic,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS Data Science,"Introduction to data science and analytics for high school students. Learn data manipulation, visualization, and statistical analysis. Use Python and real datasets. Industry mentors demonstrate professional data science practices. Great for students interested in STEM and business applications.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,"Computer Science, Data Science",10-12,Free,School-based,Semester or year,Basic,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS Remote Program,Virtual TEALS program connecting industry volunteers with classrooms remotely. All TEALS courses available through remote instruction. Expands access to schools without local volunteer base. Live video sessions with industry professionals. Full curriculum and remote teaching support provided.,https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,Hybrid,Academic year,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
TEALS Teacher Professional Development,Professional development program for teachers building computer science teaching capacity. Industry volunteers co-teach to transfer CS knowledge to teachers. Goal is sustainable CS programs after TEALS support ends. Multi-year partnership model. Teachers gain confidence and skills to teach CS independently.,https://www.microsoft.com/en-us/teals,Microsoft TEALS,Teacher Training,Computer Science,9-12,Free,School-based,2-3 years,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
TEALS Computer Science Equity Initiative,"Initiative focused on bringing computer science education to underserved schools and communities. Prioritizes schools with limited CS access, high percentages of underrepresented students, and rural areas. Addresses CS opportunity gap. Provides full support including curriculum, volunteers, and teacher training.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Academic year,None,High,Check TEALS website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
