name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Future City Competition,"Middle school engineering competition where students design cities of the future. Teams work with educator and engineer mentors to plan, design, and build virtual and physical models using SimCity software and recycled materials.",https://www.discovere.org/our-programs/future-city,DiscoverE,Competition,"Engineering, Urban Planning, Design",6-8,Paid,Hybrid,3-4 months (September-January),Low,High,January,Medium,True,Optional,Materials-Travel,$100-$500,False,True,True,Medium,True,True,Required,National,Low,True,Professional
Girl Day,Annual event introducing girls in grades K-12 to engineering through hands-on activities. Local engineers and organizations host events showcasing engineering careers and projects.,https://www.discovere.org/our-programs/girl-day,DiscoverE,Event,"Engineering, All STEM",K-12,Free,In-person,1 day (February),None,High,February,None,Not applicable,Not required,None,Free,True,True,True,High,True,True,None,National,Medium,True,Professional
Engineers Week,"Annual week-long celebration of engineering held in February. Schools, companies, and organizations host events, activities, and programs to raise awareness of engineering careers.",https://www.discovere.org/our-programs,DiscoverE,Event,"Engineering, All STEM",K-12,Free,Hybrid,1 week (February),None,High,February,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,Variable,Helpful,National,Low,True,Professional
Engineering Tomorrow's Teachers,"Professional development program preparing K-12 teachers to integrate engineering concepts into their curriculum. Includes training, resources, and ongoing support.",https://www.discovere.org/our-programs/engineering-tomorrows-teachers,DiscoverE,Professional Development,"Engineering, Education",K-12,Free,Hybrid,Variable (workshops + ongoing),None,High,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,Variable,Required,National,None,True,Professional
DiscoverE Engineering Resources,"Free online engineering activities, lesson plans, and resources for K-12 educators. Includes hands-on projects, career information, and classroom activities.",https://www.discovere.org/our-programs,DiscoverE,Learning Platform,"Engineering, All STEM",K-12,Free,Online,Self-paced,None,Medium,None,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Optional,False,None
Future City Regional Competitions,"Regional Future City competitions held across the US. Teams compete for advancement to national finals with engineering presentations, essay writing, and model judging.",https://www.discovere.org/our-programs/future-city,DiscoverE,Competition,"Engineering, Public Speaking, Design",6-8,Paid,In-person,1 day (January),Medium,High,January,Medium,True,Optional,Travel,$100-$500,False,True,True,Medium,True,True,None,National,Medium,True,Professional
Future City National Finals,National championship for Future City competition winners. Top regional teams compete in Washington DC for national recognition and scholarships.,https://www.discovere.org/our-programs/future-city,DiscoverE,Competition,"Engineering, Design, Innovation",6-8,Paid,In-person,3 days (February),High,High,February,High,True,Optional,Travel-Lodging,$500-$1000,False,True,True,Medium,True,True,None,National,High,True,Professional
Introduce a Girl to Engineering Day,"Girl Day events specifically focused on introducing middle school girls to engineering careers. Hands-on activities, mentorship, and career exploration.",https://www.discovere.org/our-programs/girl-day,DiscoverE,Event,"Engineering, Career Development",6-8,Free,In-person,2-4 hours,None,High,February,None,Not applicable,Not required,None,Free,True,True,True,High,True,True,None,National,Medium,True,Professional
DiscoverE Virtual Programs,"Online engineering activities and events for K-12 students. Virtual workshops, webinars with engineers, and remote learning resources.",https://www.discovere.org/our-programs,DiscoverE,Online Class,"Engineering, Technology",K-12,Free,Online,Variable,None,Medium,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Required,International,Low,True,Professional
Engineering Challenges for Classrooms,"Structured engineering design challenges for K-12 classrooms. Teacher guides, student worksheets, and materials lists for hands-on engineering projects.",https://www.discovere.org/our-programs,DiscoverE,Learning Platform,"Engineering, Design, Problem Solving",K-12,Free,Hybrid,Variable (1-4 weeks),None,Medium,None,Low,Not applicable,Not required,Materials,Free,False,True,True,Medium,True,False,Helpful,International,Optional,True,Teacher
Dream Big Educator Resources,"Curriculum and activities based on Dream Big engineering film. Lesson plans, activities, and resources for teaching engineering concepts.",https://www.discovere.org/our-programs,DiscoverE,Learning Platform,"Engineering, Design Thinking",K-12,Free,Hybrid,Variable,None,Medium,None,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,False,Helpful,International,Optional,False,None
Engineers Week Classroom Activities,Engineering activities and projects designed for Engineers Week celebration. Ready-to-use lessons for elementary through high school.,https://www.discovere.org/our-programs,DiscoverE,Event,"Engineering, Technology, Design",K-12,Free,In-person,1 week,None,Medium,February,Low,Not applicable,Not required,Materials,Free,False,True,True,Medium,True,False,Helpful,National,Optional,True,Teacher
Future City Teacher Workshop,"Professional development workshop for teachers leading Future City teams. Training on competition requirements, engineering mentorship, and classroom integration.",https://www.discovere.org/our-programs/future-city,DiscoverE,Professional Development,"Engineering, Education, Mentorship",6-8,Free,Hybrid,1-2 days,None,High,September,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,Variable,Helpful,National,None,True,Professional
Engineer Mentor Program,"Program connecting practicing engineers with K-12 classrooms and Future City teams. Engineers provide mentorship, career insights, and technical guidance.",https://www.discovere.org/our-programs,DiscoverE,Mentorship,"Engineering, Career Development",K-12,Free,Hybrid,Variable (ongoing),None,High,Rolling,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,Variable,Helpful,National,None,True,Professional
Family Engineering Night,"Community events during Engineers Week where families participate in engineering activities together. Hands-on projects, engineer meet-and-greets, and career exploration.",https://www.discovere.org/our-programs,DiscoverE,Event,"Engineering, Family Education",K-12,Free,In-person,2-3 hours,None,High,February,None,Not applicable,Not required,None,Free,False,True,True,Medium,True,True,None,National,High,True,Professional
