rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Pioneer Academics - Engineering and Robotics,Other,Engineering,High,Online,11-12,0.645,https://pioneeracademics.com/subjects/,"Research in mechanical, electrical, or computer engineering. Work with engineering professor on topics like robotics, control systems, or engineering design. Study automation, sensor systems, or mecha..."
2,Stanford Pre-Collegiate Robotics,Summer Program,Software Engineering,High,Residential,9-12,0.613,https://summerinstitutes.spcs.stanford.edu/,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build and program robots for competitions and challenges. Learn mechanical design, electronics, and contr..."
3,CMU Robotics Academy - Robotics Engineering 1,Workshop/Training,Engineering,Low,Classroom,9-12,0.612,https://www.roboticseducation.org/,"Foundational robotics engineering curriculum covering mechanical design, sensors, actuators, and control systems. Hands-on projects building functional robots. Engineering design process emphasized. T..."
4,Robotics Academy,Summer Program,Software Engineering,High,Residential,10-12,0.564,https://www.cmu.edu/pre-college/,"Hands-on robotics program covering robot design, programming, and autonomous systems. Work with LEGO robotics, VEX systems, and advanced robotics platforms. Learn about sensors, actuators, and control..."
5,High School Mechanical Engineering Scholarship,Scholarship,Engineering,Low,Online,11-12,0.476,https://www.fastweb.com/college-scholarships/mechanical-engineering-hs,"For high school students interested in mechanical engineering. Supporting students in design, manufacturing, and mechanical systems. This Scholarship focuses on Mechanical Engineering, Engineering and..."
6,PLTW Gateway - Automation and Robotics,Other,Software Engineering,Medium,School-based,6-8,0.456,https://www.pltw.org/our-programs/pltw-gateway/gateway-courses/automation-and-robotics,"Students explore mechanical systems, energy transfer, machine automation, and computer control systems while programming VEX Robotics equipment. This Middle School Program focuses on Engineering, Robo..."
7,"Mechanical Engineering Scholarship - $8,000",Scholarship,Engineering,Low,Online,11-12,0.433,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for aspiring mechanical engineers. Portfolio of engineering projects or CAD designs required. This Scholarship focuses on Mechanical Engineering, Engineering, Design and serves grade 11-12..."
8,CMU Robotics Academy - Autonomous Vehicles,Workshop/Training,Robotics,Low,Classroom,10-12,0.418,https://www.cs2n.org/curriculum,"Explore self-driving car technology through robotics. Learn sensors for navigation, path planning algorithms, obstacle avoidance, and decision-making systems. Current real-world applications. This Cur..."
9,SkillsUSA CAD Engineering,Other,Engineering,Low,Regional and national competition sites,9-12,0.415,https://www.skillsusa.org/competitions/skillsusa-championships/,"Engineering design competition using Computer-Aided Design software. Students create detailed engineering drawings, assemblies, and technical documentation. Tests mechanical design principles, geometr..."
10,CMU Robotics Academy - Robotics Engineering 2,Workshop/Training,Engineering,Low,Classroom,9-12,0.406,https://www.roboticseducation.org/,"Advanced robotics engineering with kinematics, dynamics, path planning, and computer vision. Design complex autonomous systems. Prepares students for collegiate-level robotics. This Curriculum focuses..."
11,Polygence - Engineering and Design,Mentorship Program,Engineering,High,Online,8-12,0.390,https://www.polygence.org/programs,"One-on-one mentorship in engineering disciplines and design thinking. Explore mechanical, electrical, chemical, or biomedical engineering. Projects may involve CAD modeling, circuit design, materials ..."
12,CMU Robotics Academy - Robotics Fundamentals,Workshop/Training,Software Engineering,Low,Classroom,6-8,0.380,https://www.roboticseducation.org/,"Foundational robotics course covering robot anatomy, sensors, motors, programming basics, and engineering design. Platform-agnostic concepts applicable to any robotics system. Middle school entry poin..."
13,SkillsUSA Automotive Service Technology,Other,Engineering,Low,Regional and national competition sites,9-12,0.379,https://www.skillsusa.org/competitions/skillsusa-championships/,"Automotive repair competition testing diagnosis and repair of modern vehicles. Students troubleshoot engine, electrical, brake, and suspension systems using diagnostic equipment. Covers hybrid/electri..."
14,Mechanical Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.376,https://www.unigo.com/scholarships/mechanical-eng-hs,"$2,500 scholarship for mechanical engineering students. For students interested in design. This Scholarship focuses on Mechanical Engineering, Engineering, Physics and serves grade 10-12 students. The..."
15,Mechanical Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.373,https://www.chegg.com/scholarships/mechanical-eng-hs,"$2,500 scholarship for mechanical engineering students. For students interested in design and manufacturing. This Scholarship focuses on Mechanical Engineering, Engineering, Physics and serves grade 1..."
16,Mechanical Engineering High School Scholarship,Scholarship,Engineering,Low,Online,11-12,0.367,https://www.petersons.com/mechanical-eng-hs,"$3,000 scholarship for mechanical engineering students. For high school students interested in design, manufacturing, and mechanics. This Scholarship focuses on Mechanical Engineering, Engineering, Ph..."
17,SkillsUSA Mechatronics,Other,Engineering,Low,Regional and national competition sites,9-12,0.361,https://www.skillsusa.org/competitions/skillsusa-championships/,"Integrated systems competition combining mechanics, electronics, and computer programming. Students install, program, and troubleshoot automated manufacturing systems. Covers PLCs, pneumatics, robotic..."
18,Robotics and Automation High School Award,Scholarship,Robotics,Low,Online,11-12,0.348,https://www.scholarships.com/robotics-hs,"$1,500 scholarship for high school students in robotics. For students participating in robotics clubs, competitions, or building robotic systems. This Scholarship focuses on Robotics, Engineering, Com..."
19,Robotics Engineering High School Award,Scholarship,Robotics,Low,Online,11-12,0.345,https://www.petersons.com/robotics-hs,"$4,000 scholarship for robotics students. For high school students in robotics clubs, competitions, or building robotic systems. This Scholarship focuses on Robotics, Engineering, Computer Science and..."
20,Robotics High School Scholarship,Scholarship,Robotics,Low,Online,11-12,0.342,https://www.chegg.com/scholarships/robotics-hs,"$2,000 scholarship for robotics students. For high school students participating in robotics competitions or building robotic systems. This Scholarship focuses on Robotics, Engineering, Computer Scien..."
