name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Wonder Workshop - Dash Robot Introduction (K-2),"Beginner robotics curriculum for Dash robot. Learn basic programming through visual block coding, movement, sounds, and lights. No reading required interface perfect for early elementary.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Robotics, Computer Science, Programming, Engineering",K-2,Free,Classroom,8-12 lessons,None,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher
Wonder Workshop - Dash Intermediate Programming (3-5),"Intermediate Dash curriculum teaching loops, events, variables, and conditionals. Build complex programs controlling robot behavior. CSTA standards-aligned computer science curriculum.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Robotics, Computer Science, Programming, Computational Thinking",3-5,Free,Classroom,15-20 lessons,Low,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher
Wonder Workshop - Cue Robot Advanced Programming (6-8),"Advanced robotics with Cue robot teaching JavaScript programming. Text-based coding, advanced sensors, and AI concepts. Prepare middle schoolers for high school computer science.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Robotics, JavaScript, Computer Science, Artificial Intelligence",6-8,Free,Classroom,20-25 lessons,Medium,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher
Wonder Workshop - Math with Dash (K-5),"Integrate mathematics concepts with robotics. Teach geometry, measurement, patterns, and problem-solving through Dash robot activities. STEM cross-curricular learning.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Mathematics, Robotics, Geometry, Problem Solving",K-5,Free,Classroom,10-15 lessons,None,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher
Wonder Workshop - Science Adventures with Dash (K-5),"Explore science concepts through robotics challenges. Physical science, engineering design, and scientific inquiry. Hands-on NGSS-aligned science curriculum.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Science, Robotics, Engineering, Scientific Inquiry",K-5,Free,Classroom,12-16 lessons,None,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher
Wonder Workshop - Storytelling with Dash (K-5),"Combine literacy and robotics through storytelling projects. Create interactive stories, character development, and narrative structure with robot animation. Arts integration.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Robotics, Literacy, Storytelling, Arts",K-5,Free,Classroom,8-12 lessons,None,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher
Wonder Workshop - Blockly App,Visual block-based programming app for Dash and Dot robots. Drag-and-drop coding interface teaching programming fundamentals. Free app for tablets and computers.,https://www.makewonder.com/apps/,Wonder Workshop,Learning Platform,"Computer Science, Programming, Blockly, Visual Coding",K-8,Free,Home,Self-paced,None,Medium,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Medium,False,Parent
Wonder Workshop - Wonder App,Beginner-friendly app with guided challenges and tutorials. Learn robotics through play-based activities. Perfect for home learning and independent exploration.,https://www.makewonder.com/apps/,Wonder Workshop,Learning Platform,"Robotics, Computer Science, Play-Based Learning",K-5,Free,Home,Self-paced,None,Low,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Medium,False,Parent
Wonder Workshop - Go App,Drive Dash and Dot robots like remote control vehicles. Introduction to robot control and spatial reasoning. Entry point for youngest learners.,https://www.makewonder.com/apps/,Wonder Workshop,Learning Platform,"Robotics, Spatial Reasoning, Motor Skills",PreK-2,Free,Home,Self-paced,None,Low,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,High,False,Parent
Wonder Workshop - Path App,Programming through drawing paths for robots to follow. Visual programming introducing sequencing concepts. Bridge between direct control and block coding.,https://www.makewonder.com/apps/,Wonder Workshop,Learning Platform,"Computer Science, Programming, Sequencing, Visual Learning",K-3,Free,Home,Self-paced,None,Low,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Medium,False,Parent
