name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
High School Senior STEM Scholarship,"Scholarship for high school seniors planning to major in STEM fields. Open to students with strong academic records and demonstrated interest in science, technology, engineering, or mathematics.",https://www.fastweb.com/college-scholarships/hs-stem,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
Women in STEM High School Scholarship,"Supporting female high school students pursuing careers in science, technology, engineering, and mathematics. Promotes gender diversity in STEM fields starting in high school.",https://www.fastweb.com/college-scholarships/women-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,Required,National,Optional,FALSE,None
Minority STEM High School Leaders Scholarship,"Scholarship for underrepresented minority high school students in STEM fields. Supports African American, Hispanic, Native American students pursuing STEM education.",https://www.fastweb.com/college-scholarships/minority-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,Required,National,Optional,FALSE,None
High School Mathematics Excellence Award,Recognizing excellence in mathematics for high school students. For students pursuing pure or applied mathematics studies.,https://www.fastweb.com/college-scholarships/mathematics-hs,Fastweb,Scholarship,"Mathematics, Computer Science",12-Sep,Free,Online,Variable (application),High,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
High School Technology Innovation Scholarship,"For high school students innovating in technology fields including software development, information systems, and data science.",https://www.fastweb.com/college-scholarships/technology-hs,Fastweb,Scholarship,"Computer Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
High School Computer Science Scholarship,Scholarship for high school students pursuing computer science. Applicants must demonstrate passion for technology and programming.,https://www.fastweb.com/college-scholarships/computer-science-hs,Fastweb,Scholarship,"Computer Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
High School Engineering Scholarship,"Merit-based scholarship for high school students interested in engineering. Supports students in all engineering disciplines including mechanical, electrical, civil, and chemical engineering.",https://www.fastweb.com/college-scholarships/engineering-hs,Fastweb,Scholarship,"Engineering, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
High School Science Research Scholarship,For high school students conducting original scientific research. Supports student scientists across all disciplines.,https://www.fastweb.com/college-scholarships/science-hs,Fastweb,Scholarship,"Science, Biology, Chemistry, Physics",12-Sep,Free,Online,Variable (application),High,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
First Generation STEM High School Scholarship,Supporting first-generation high school students in STEM fields. Breaking barriers in STEM education for students whose parents did not attend college.,https://www.fastweb.com/college-scholarships/first-gen-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,Required,National,Optional,FALSE,None
Rural STEM High School Student Scholarship,For STEM students from rural communities. Promoting STEM education access in underserved and rural areas.,https://www.fastweb.com/college-scholarships/rural-stem-hs,Fastweb,Scholarship,"Computer Science, Engineering, Mathematics, Science, Technology",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,TRUE,TRUE,TRUE,High,TRUE,FALSE,Required,National,Optional,FALSE,None
High School Robotics and Automation Scholarship,"Supporting high school students in robotics, automation, and mechatronics. For future robotics engineers and innovators.",https://www.fastweb.com/college-scholarships/robotics-hs,Fastweb,Scholarship,"Engineering, Computer Science, Robotics",12-Sep,Free,Online,Variable (application),Variable,Low,Varies,None,TRUE,Varies by scholarship,None,Free,FALSE,TRUE,TRUE,Medium,TRUE,FALSE,Required,National,Optional,FALSE,None
