name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Tynker Junior - Visual Coding for Pre-Readers,"Visual block-based coding for ages 5-7 using pre-reader friendly interface. Learn sequencing, loops, and problem-solving through interactive games and puzzles.",https://www.tynker.com/k-12/,Tynker,Learning Platform,"Computer Science, Programming, Logic",K-2,Freemium,Online,Self-paced,None,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Block Coding - Grades 2-5,"Drag-and-drop block coding covering fundamental programming concepts. Create games, animations, and interactive stories while learning variables, conditionals, and loops.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Computer Science, Programming, Game Design",2-5,Freemium,Online,Self-paced (30-60 hours),None,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Python Introduction,"Transition from block coding to Python text-based programming. Learn Python syntax, data structures, and algorithms through guided projects and challenges.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Computer Science, Python, Programming",6-8,Freemium,Online,Self-paced (40-80 hours),Low,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker JavaScript Fundamentals,"Learn JavaScript for web development and interactive applications. Build websites, games, and projects while mastering modern web programming.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Computer Science, JavaScript, Web Development",6-8,Freemium,Online,Self-paced (40-80 hours),Low,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Game Design Course,"Comprehensive game design course teaching gameplay mechanics, level design, and programming. Create platformers, adventure games, and multiplayer experiences.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Game Design, Computer Science, Programming",3-8,Freemium,Online,Self-paced (50-100 hours),Low,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Minecraft Coding,"Learn coding through Minecraft modding and world creation. Program custom behaviors, build automated structures, and create mini-games within Minecraft.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Computer Science, Programming, Game Design",3-8,Freemium,Online,Self-paced (30-60 hours),None,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Mobile App Development,"Design and build mobile apps for iOS and Android. Learn UI design, event handling, and data management while creating functional mobile applications.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Computer Science, Mobile Development, App Design",6-12,Freemium,Online,Self-paced (60-120 hours),Medium,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Advanced Python Programming,"Advanced Python course covering object-oriented programming, data structures, algorithms, and libraries. Build complex projects and prepare for AP Computer Science.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Computer Science, Python, Programming",9-12,Freemium,Online,Self-paced (80-150 hours),Medium,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Data Science & AI,"Introduction to data science and artificial intelligence for teens. Learn data analysis, machine learning basics, and build AI-powered projects with Python.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Data Science, Artificial Intelligence, Python",9-12,Freemium,Online,Self-paced (60-120 hours),Medium,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
Tynker Web Development Course,"Full-stack web development covering HTML, CSS, JavaScript, and backend basics. Build responsive websites, web apps, and interactive experiences.",https://www.tynker.com/courses/,Tynker,Learning Platform,"Web Development, Computer Science, Programming",6-12,Freemium,Online,Self-paced (70-140 hours),Low,Low,Rolling,Low,False,Not required,Premium-Features,Free-Tier-Available,False,True,True,Medium,True,False,Required,International,Low,False,None
