name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
FIRST LEGO League Discover (Ages 4-6),Introductory STEM program for PreK-1st grade using LEGO DUPLO. Explore real-world science and engineering challenges through hands-on activities. Introduce Core Values and celebrate discoveries at Discover showcase events. No competition component.,https://www.firstlegoleague.org/season,FIRST LEGO League,Competition,"Robotics, Engineering, Science, Problem Solving",PreK-1,Paid,In-person,3-4 months,None,High,Fall registration,Low,Limited,Optional,Materials,$50-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Explore (Ages 6-10),"Hands-on STEM program for grades 2-4 using LEGO Education sets. Teams research a real-world problem, build motorized LEGO models, create Show Me posters, and practice Core Values. Culminates in Explore showcase festivals celebrating learning.",https://www.firstlegoleague.org/season,FIRST LEGO League,Competition,"Robotics, Engineering, Science, Research, Design",2-4,Paid,In-person,4-5 months,None,High,Fall registration,Medium,Limited,Optional,Equipment-Travel,$100-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Challenge (Ages 9-16),"Premier robotics competition for grades 4-8. Design, build, and program autonomous LEGO robots to complete missions on themed game field. Complete Innovation Project solving real-world problems. Present research, robot design, and demonstrate Core Values to judges. Compete at regional, state, and international championships.",https://www.firstlegoleague.org/season,FIRST LEGO League,Competition,"Robotics, Engineering, Programming, Computer Science, Research",4-8,Paid,In-person,4-6 months,Low,High,Summer-Fall registration,Medium,Limited,Optional,Equipment-Travel,$100-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Challenge - Robot Game,"Competitive robot game component of Challenge level. Teams design, build, and program LEGO SPIKE Prime or MINDSTORMS robots to autonomously complete missions. 2.5 minute matches on themed field. Strategy, precision programming, and iterative design critical for success.",https://www.firstlegoleague.org/challenge,FIRST LEGO League,Competition,"Robotics, Programming, Engineering, Mathematics, Physics",4-8,Paid,In-person,4-6 months,Low,High,Competition season,Medium,Limited,Optional,Equipment-Travel,$100-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Challenge - Innovation Project,"Research and innovation component of Challenge level. Teams identify real-world problem related to season theme, research solutions, design innovative solution, and share findings with others. Develop presentation skills and scientific research methodology.",https://www.firstlegoleague.org/challenge,FIRST LEGO League,Competition,"Research, Science, Engineering, Innovation, Communication",4-8,Paid,In-person,4-6 months,Low,High,Competition season,Medium,Limited,Optional,Equipment-Travel,$100-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Challenge - Robot Design,"Engineering design component of Challenge level. Teams document robot mechanical design, programming strategies, and iterative improvement process. Present engineering portfolio to judges explaining design decisions, testing, and problem-solving.",https://www.firstlegoleague.org/challenge,FIRST LEGO League,Competition,"Engineering, Robotics, Design, Documentation",4-8,Paid,In-person,4-6 months,Low,High,Competition season,Medium,Limited,Optional,Equipment-Travel,$100-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Core Values,"Foundational values across all FIRST LEGO League levels: Discovery, Innovation, Impact, Inclusion, Teamwork, Fun. Teams demonstrate gracious professionalism, coopertition (cooperation+competition), and collaborative problem-solving. Core Values judging component at competitions.",https://www.firstlegoleague.org/explore,FIRST LEGO League,Competition,"Teamwork, Leadership, Ethics, Collaboration",PreK-8,Paid,In-person,4-6 months,None,High,Season-long,Medium,Limited,Optional,Equipment-Travel,$100-$500,True,True,True,High,Variable,True,Basic,International,High,True,Coach
FIRST LEGO League Coach Training and Resources,"Comprehensive training and resources for team coaches and mentors. Online courses, curriculum guides, season materials, engineering notebooks, and community support. Access to global network of FIRST coaches and technical resources.",https://www.firstlegoleague.org/,FIRST LEGO League,Program,"Education, Mentorship, Robotics, STEM Education",PreK-8,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Professional
FIRST LEGO League Team Grants and Financial Aid,"Financial assistance programs for teams facing economic barriers. Team registration grants, kit subsidies, and event fee waivers available through FIRST partnerships and regional programs. Application process for qualifying teams.",https://www.firstlegoleague.org/,FIRST LEGO League,Program,"Financial Aid, Access, Equity",PreK-8,Free,Online,1-2 weeks,None,High,Before season,None,True,Required,None,Free,True,True,True,High,True,False,Required,International,High,False,None
FIRST LEGO League Championship Advancement,"Championship tournament pathway for top-performing Challenge teams. Advance from regional events to state/provincial championships, national events, and international championships. Invitation-based advancement recognizing excellence in all judging categories.",https://www.firstlegoleague.org/season,FIRST LEGO League,Competition,"Robotics, Engineering, Programming, Competition",4-8,Paid,In-person,4-8 months,High,High,Invitation-based,High,Limited,Optional,Travel-Lodging,$500-$1000,True,True,True,High,False,True,Basic,International,High,True,Coach
FIRST LEGO League Volunteer Program,"Volunteer opportunities for community members to support FIRST LEGO League events. Roles include judging, refereeing, event coordination, and technical support. Training provided for all volunteer positions. Critical to expanding program reach.",https://www.firstlegoleague.org/,FIRST LEGO League,Program,"Volunteering, STEM Education, Community Engagement",PreK-8,Free,In-person,1-2 days,None,High,Competition season,None,Not applicable,Not required,None,Free,True,True,True,High,Variable,True,None,International,Low,True,None
FIRST LEGO League Classroom Edition,Curriculum-based version of FIRST LEGO League for in-school implementation. Structured lesson plans aligned to education standards. Teachers guide students through season challenges during class time. Optional participation in showcase events.,https://www.firstlegoleague.org/,FIRST LEGO League,Program,"Robotics, Engineering, Curriculum, Education",4-8,Paid,In-person,Semester,None,High,School year,Medium,Limited,Optional,Equipment,$100-$500,True,True,True,High,True,False,Basic,International,Low,True,Teacher
