name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Botball Educational Robotics Program,"Team-based robotics program for middle and high school students. Build autonomous robots using Botball kit with controllers, motors, sensors, and construction materials. Complete game-based challenges requiring engineering, programming (C/C++), and strategy. Comprehensive curriculum with lessons in mechanical design, programming, and project management. 4-5 month season from training to tournaments. Kit costs $1,000-2,000 with some grant funding available.",https://www.botball.org/,KIPR Botball,Robotics Competition,"Robotics, Engineering, Programming, Computer Science",6-12,1500,School-based,4-5 months,Basic,High,Rolling,Medium,True,False,Equipment,$500-2000,True,True,True,High,True,False,Basic,National,Optional,True,Adult
Botball Regional Tournament,Regional robotics competitions held across the US. Teams compete with autonomous robots in game scenarios that change annually. Double elimination seeding rounds followed by finals. Engineering documentation and presentation judged. Team spirit and sportsmanship awards. Top teams advance to national championship. Hosted at universities and convention centers. Great for teamwork and problem-solving skills.,https://www.botball.org/botball-challenge,KIPR Botball,Regional Competition,"Robotics, Engineering, Competition",6-12,200,Regional,1-2 days,Medium,High,Annual-Spring,Medium,True,False,Equipment,$100-500,True,True,True,High,True,True,Basic,National,Optional,True,Adult
Botball Global Conference on Educational Robotics (GCER),"International championship for top Botball teams worldwide. Multi-day event with double-elimination tournament, workshops, and tech talks. Teams from US, Austria, Egypt, Kuwait, and other countries. University campus setting with educational activities. Awards ceremony and scholarships. All expenses often covered for qualifying teams. Networking with international robotics students. Career exploration in engineering and computer science.",https://www.botball.org/,KIPR Botball,International Championship,"Robotics, Engineering, International Competition",8-12,Free,National,4-5 days,High,High,Invitation-only,None,True,False,Equipment,Free,True,True,True,High,True,True,Basic,National,Optional,True,Adult
Botball Middle School Division,Age-appropriate Botball competition for grades 6-8. Same curriculum and kit as high school but separate competition division. Scaffolded challenges suitable for younger students. Emphasis on learning and teamwork over winning. Introduction to robotics engineering and programming. Many students continue to high school division. Supportive competition environment. Great foundation for STEM careers.,https://www.botball.org/,KIPR Botball,Middle School Program,"Robotics, Engineering, Programming",6-8,1500,School-based,4-5 months,None,High,Rolling,Medium,True,False,Equipment,$500-2000,True,True,True,High,True,False,Basic,National,Optional,True,Adult
Botball High School Division,Advanced robotics competition for grades 9-12. More complex game challenges requiring sophisticated robot designs. Advanced programming in C/C++ with sensor integration and autonomous decision-making. Engineering portfolios and technical presentations. Preparation for college engineering programs. College recruiters attend tournaments. Strong emphasis on documentation and professional skills. Many alumni pursue STEM degrees.,https://www.botball.org/,KIPR Botball,High School Program,"Robotics, Engineering, Advanced Programming",9-12,1500,School-based,4-5 months,Basic,High,Rolling,Medium,True,False,Equipment,$500-2000,True,True,True,High,True,False,Basic,National,Optional,True,Adult
Botball Educator Workshops,"Professional development for teachers and coaches starting Botball programs. Hands-on training with Botball kit and curriculum. Learn robot construction, programming, and game strategy. Receive curriculum materials and implementation guides. Network with experienced Botball educators. Annual workshops at multiple locations. Some workshops provide discounted or free kits. Support for grant writing and fundraising.",https://www.botball.org/,KIPR Botball,Professional Development,"Robotics Education, STEM Teaching",6-12,200,Regional,2-3 days,None,High,Seasonal,Low,True,False,Equipment,$100-500,True,True,True,High,True,True,Basic,National,Optional,True,Adult
Botball Online Resources and Curriculum,Comprehensive online curriculum and resources for Botball teams. Programming tutorials in C/C++ for robotics. Engineering design guides and best practices. Video tutorials for robot construction. Game rules and strategy discussions. Forum for team collaboration and Q&A. Past game archives for practice. Free access to all registered teams. Self-paced learning modules.,https://www.botball.org/resources,KIPR Botball,Online Resources,"Robotics, Programming, Engineering",6-12,Free,Online,Self-paced,None,High,Rolling,None,True,False,Equipment,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Adult
KIPR Grant Programs for Botball,"Grant funding to support Botball participation for underserved schools. Cover costs of kit purchase, registration fees, and travel. Sponsored by KIPR (KISS Institute for Practical Robotics) and partners. Priority for Title I schools and rural areas. Application through Botball coordinators. Equipment grants include full kit plus training. Enables robotics access regardless of school budget.",https://www.botball.org/,KIPR Botball,Grant Program,"Robotics, Educational Access",6-12,Free,Online,Application process,None,High,Rolling,None,True,False,Equipment,Free,True,True,True,High,True,False,Basic,National,Optional,True,Adult
Botball Jr. for Elementary Students,Introduction to robotics for elementary students (grades 3-5). Simplified robotics challenges using modified Botball components. Visual programming interface suitable for young learners. Focus on creativity and basic engineering concepts. No competitions required - exhibitions and demonstrations. Lower cost starter kits available. Preparation for middle school Botball. After-school program friendly.,https://www.botball.org/,KIPR Botball,Elementary Program,"Robotics, Elementary Engineering",3-5,800,School-based,8-12 weeks,None,High,Rolling,Medium,True,False,Equipment,$500-2000,True,True,True,High,True,False,Basic,National,Optional,True,Adult
Botball Alumni Network,Community of Botball alumni pursuing engineering and technology careers. Mentorship for current teams from college students and professionals. Many alumni at top engineering schools and tech companies. Career guidance and internship connections. Annual alumni events at GCER. Success stories to inspire current students. Network spans 25+ years of Botball history. Lifelong robotics community.,https://www.botball.org/,KIPR Botball,Alumni Network,"Robotics, Career Development",10-12,Free,Online,Ongoing,Medium,High,Rolling,None,True,False,Equipment,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
