name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
ASHRAE High School Senior Scholarship,"Scholarship for graduating high school seniors pursuing engineering or related technical degree. Focus on HVAC&R and building systems fields. Award amount $3,000. Must demonstrate interest in heating, ventilation, air conditioning, and refrigeration. Essay and recommendation letters required. Renewable for college if maintain GPA. Great for students interested in sustainable buildings and energy efficiency.",https://www.ashrae.org/communities/student-zone/scholarships,ASHRAE,Scholarship,"Engineering, HVAC, Building Systems, Energy Efficiency",12,Free,Online,Application,Medium,Medium,Annual-Spring,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
ASHRAE Student Member Program,"Free or discounted ASHRAE membership for undergraduate students. Access to technical publications, webinars, and conferences. Network with HVAC professionals and engineers. Attend chapter meetings and technical sessions. Career resources and job board access. Professional development opportunities. Great for students interested in building systems, energy, and sustainability.",https://www.ashrae.org/about/students,ASHRAE,Professional Membership,"Engineering, HVAC, Building Systems",College,Free,Hybrid,Ongoing,None,Medium,Rolling,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
ASHRAE Student Design Competition,Annual design competition for ASHRAE student members. Teams design HVAC systems for real buildings. Apply engineering principles to sustainable building design. Cash prizes and recognition at ASHRAE conferences. Work with faculty advisors and industry mentors. Build portfolio for engineering careers. Categories for undergraduate and graduate students.,https://www.ashrae.org/communities/student-zone,ASHRAE,Design Competition,"Engineering, HVAC Design, Sustainable Buildings",College,Free,Online,Semester project,Medium,Medium,Annual-Spring,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
ASHRAE Student Branch Chapter Participation,"Join ASHRAE student chapters at universities nationwide. Participate in technical presentations, plant tours, and networking events. Leadership opportunities as chapter officers. Connect with local ASHRAE professionals. Attend regional and national conferences. Career fair access and job placement. Community service projects related to energy efficiency.",https://www.ashrae.org/communities/student-zone,ASHRAE,Student Chapter,"Engineering, Professional Development",College,Free,Regional,Monthly meetings,None,Medium,Rolling,None,True,False,None,Free,True,True,True,Medium,True,True,Basic,National,None,True,Professional
ASHRAE Undergraduate Engineering Scholarships,"Multiple scholarship opportunities for engineering students. Awards range from $3,000 to $10,000. Focus on HVAC&R, building automation, and energy systems. Regional and national scholarship programs. Some scholarships for underrepresented groups in engineering. Application requires transcripts, essays, and recommendations. Renewable for multiple years.",https://www.ashrae.org/communities/student-zone/scholarships,ASHRAE,Scholarship,"Engineering, HVAC, Energy Systems",College,Free,Online,Application,Medium,Medium,Annual-Spring,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
ASHRAE Women in ASHRAE Scholarship,"Scholarship specifically for women pursuing HVAC&R engineering degrees. Support for underrepresented gender in engineering field. Award amounts up to $5,000. Mentorship connections with women ASHRAE professionals. Networking at Women in ASHRAE events. Focus on building diversity in building systems industry. Essay on career goals required.",https://www.ashrae.org/communities/student-zone/scholarships,ASHRAE,Diversity Scholarship,"Engineering, HVAC, Women in STEM",College,Free,Online,Application,Medium,Medium,Annual-Spring,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
ASHRAE Student Conference Experience,Attend ASHRAE annual and winter conferences at discounted student rates. Access technical sessions on latest HVAC technology. Expo with industry exhibits and innovations. Student track programming and networking events. Career fair with engineering companies. Scholarship to cover conference costs for select students. Experience professional engineering society.,https://www.ashrae.org/about/students,ASHRAE,Conference,"Engineering, HVAC, Professional Development",College,200,National,3-4 days,None,Medium,Seasonal,Low,True,False,None,$100-500,True,True,True,Medium,True,True,Basic,National,None,True,Professional
ASHRAE Research and Technical Resources,"Access to ASHRAE research database and technical publications. Handbooks on HVAC systems, refrigeration, and building design. Standards and guidelines for engineering practice. Student access to digital library. Research papers on energy efficiency and sustainability. Support for student research projects. Free or discounted for student members.",https://www.ashrae.org/communities/student-zone,ASHRAE,Technical Resources,"Engineering, Research, Building Systems",College,Free,Online,Self-paced,Medium,Medium,Rolling,None,True,False,None,Free,True,True,True,Medium,True,False,High-speed-required,National,None,True,Professional
ASHRAE High School Outreach Program,Introduction to HVAC&R careers for high school students. Virtual and in-person presentations by ASHRAE professionals. Learn about engineering careers in building systems and sustainability. Hands-on demonstrations of HVAC technology. Guidance on college preparation for engineering. Scholarship information for graduating seniors. Connection to local ASHRAE chapters.,https://www.ashrae.org/about/students,ASHRAE,Outreach Program,"Engineering, Career Exploration, HVAC",9-12,Free,Hybrid,Single events,None,Medium,Rolling,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
ASHRAE Mentor Match Program,"Mentorship program connecting students with ASHRAE professionals. One-on-one guidance from experienced engineers. Career advice and industry insights. Support for academic and professional development. Virtual or in-person mentorship options. Help with resume, interviews, and job search. Long-term relationships building throughout college career.",https://www.ashrae.org/communities/student-zone,ASHRAE,Mentorship Program,"Engineering, Career Development",College,Free,Hybrid,Ongoing,None,Medium,Rolling,None,True,False,None,Free,True,True,True,Medium,True,False,Basic,National,None,True,Professional
