name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
NIH - Summer Internship Program in Biomedical Research (SIP),"Competitive 8-week summer research program at the National Institutes of Health for high school students. Students work directly with NIH scientists on cutting-edge biomedical research projects. Program includes weekly seminars, poster presentations, and networking opportunities with leading researchers.",https://www.training.nih.gov/programs/sip,National Institutes of Health,Internship,"Biomedical Research, Biology, Medicine, Health Sciences, Genetics",11-12,Free,In-Person,8 weeks full-time summer,Intermediate-Advanced,High,March 1 annually,Medium,Stipend provided,No,Medium,Free,True,True,True,High,Conditional,Yes,Low,"Bethesda, MD",No,High,High
Stanford Medicine - Summer Research Program for High School Students,Intensive 8-week biomedical research program where high school students work in Stanford Medical School laboratories. Students conduct independent research projects under faculty mentorship and present findings at program symposium.,https://med.stanford.edu/summer-research-program-high-school.html,Stanford University School of Medicine,Internship,"Biomedical Research, Medicine, Molecular Biology, Neuroscience",11-12,Free,In-Person,8 weeks full-time summer,Advanced,High,February 15 annually,Medium,Stipend and housing assistance available,Yes,Medium,Free,True,True,True,High,Conditional,Yes,Low,"Palo Alto, CA",No,High,High
Jackson Laboratory - Summer Student Program,"Hands-on genomics and genetics research experience for high school students at premier biomedical research institution. Students work with world-class scientists on projects involving mammalian genetics, cancer biology, and computational biology.",https://www.jax.org/education-and-learning/high-school-students/summer-student-program,Jackson Laboratory,Internship,"Genetics, Genomics, Cancer Biology, Computational Biology",11-12,Free,In-Person,10 weeks full-time summer,Intermediate-Advanced,High,February 1 annually,Low,"Stipend, housing, and travel assistance provided",Yes,Low,Free,True,True,True,High,Conditional,Yes,Low,"Bar Harbor, ME",No,High,High
Mayo Clinic - High School Summer Research Program,"Prestigious biomedical research internship at Mayo Clinic for motivated high school students. Interns work alongside physician-scientists and researchers on projects in areas like cardiovascular research, oncology, and regenerative medicine.",https://college.mayo.edu/academics/high-school-programs/summer-research-program,Mayo Clinic,Internship,"Biomedical Research, Medicine, Cardiovascular Science, Oncology",11-12,Free,In-Person,8 weeks full-time summer,Advanced,High,March 15 annually,Medium,Stipend provided,No,Medium,Free,True,True,False,Medium,Conditional,Yes,Low,"Rochester, MN",No,High,High
Roswell Park Cancer Institute - High School Summer Research Program,"Cancer research internship for high school students at comprehensive cancer center. Students participate in laboratory research focused on cancer biology, immunology, and treatment development while learning from leading oncology researchers.",https://www.roswellpark.org/education/high-school-summer-internship,Roswell Park Comprehensive Cancer Center,Internship,"Cancer Biology, Immunology, Oncology, Biomedical Research",11-12,Free,In-Person,6 weeks full-time summer,Intermediate,High,April 1 annually,Low,Stipend provided,No,Medium,Free,True,True,True,High,Conditional,Yes,Low,"Buffalo, NY",No,Medium,High
Johns Hopkins School of Medicine - Summer Biomedical Research Program for HS,"Rigorous 8-week research experience at Johns Hopkins for exceptional high school students. Interns work in medical school laboratories conducting research in areas like neuroscience, genetics, public health, and biomedical engineering.",https://www.hopkinsmedicine.org/som/education-programs/high-school-summer-research,Johns Hopkins University School of Medicine,Internship,"Biomedical Research, Neuroscience, Genetics, Public Health",11-12,Free,In-Person,8 weeks full-time summer,Advanced,High,February 28 annually,Medium,Stipend provided,No,Medium,Free,True,True,True,High,Conditional,Yes,Low,"Baltimore, MD",No,High,High
Boston University School of Medicine - RISE Practicum,"Research internship for underrepresented minority high school students interested in biomedical careers. Six-week program includes laboratory research, clinical shadowing, and career development workshops. Strong focus on diversity in medicine.",https://www.bumc.bu.edu/rise/practicum/,Boston University School of Medicine,Internship,"Biomedical Research, Medicine, Clinical Sciences, Health Sciences",11-12,Free,In-Person,6 weeks full-time summer,Intermediate,High,March 1 annually,Low,"Stipend, housing, and meals provided",Yes,Low,Free,True,True,True,High,Conditional,Yes,Low,"Boston, MA",No,High,High
UC San Francisco - High School Biomedical Research Internship,"Summer research program at UCSF for Bay Area high school students interested in biomedical sciences. Students conduct hands-on research in laboratories focused on precision medicine, stem cell research, and drug discovery.",https://graduate.ucsf.edu/high-school-intern-program,University of California San Francisco,Internship,"Biomedical Research, Stem Cell Biology, Pharmacology, Medicine",10-12,Free,In-Person,8 weeks full-time summer,Intermediate,High,March 15 annually,Medium,Stipend provided,No,Medium,Free,True,True,True,High,Conditional,Yes,Low,"San Francisco, CA",No,Medium,High
Memorial Sloan Kettering - Summer Student Program,"Cancer research internship for high school students at world-renowned cancer center. Students work on cutting-edge cancer biology projects, attend research seminars, and present findings at end-of-summer symposium.",https://www.mskcc.org/education-training/high-school/summer-student-program,Memorial Sloan Kettering Cancer Center,Internship,"Cancer Biology, Oncology, Immunotherapy, Biomedical Research",11-12,Free,In-Person,10 weeks full-time summer,Advanced,High,February 1 annually,High,Stipend provided,No,High,Free,True,True,False,Medium,Conditional,Yes,Low,"New York, NY",No,High,High
Cleveland Clinic - Lerner Research Institute Summer Internship,"Biomedical research internship for high school students at Cleveland Clinic. Interns participate in research projects in cardiovascular medicine, cancer biology, inflammation, and translational medicine.",https://www.lerner.ccf.org/education/summer-internship/,Cleveland Clinic Lerner Research Institute,Internship,"Biomedical Research, Cardiovascular Medicine, Cancer Biology, Immunology",11-12,Free,In-Person,8 weeks full-time summer,Intermediate-Advanced,High,March 1 annually,Medium,Stipend provided,No,Medium,Free,True,True,False,Medium,Conditional,Yes,Low,"Cleveland, OH",No,Medium,High
