variation_group_id,program_family,name_1,name_2,source,url,stem_fields_1,stem_fields_2,distinguishing_feature,name_similarity,recommendation,index_1,index_2
VAR_1,AI4ALL,AI4ALL at Stanford University,AI4ALL at Princeton University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Computer Science, Data Science","Subject: Machine Learning; Location: Stanford University; Field: Artificial Intelligence, Computer Science, Machine Learning",77.97%,keep_separate,1,2
VAR_2,AI4ALL,AI4ALL at Stanford University,AI4ALL at UC Berkeley,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Location: Stanford University; Field: Artificial Intelligence, Computer Science, Machine Learning",56.00%,keep_separate,1,3
VAR_3,AI4ALL,AI4ALL at Stanford University,AI4ALL at Boston University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Computer Science, Data Analysis","Subject: Machine Learning; Location: Stanford University; Field: Artificial Intelligence, Computer Science, Machine Learning",85.71%,keep_separate,1,4
VAR_4,AI4ALL,AI4ALL at Stanford University,AI4ALL at University of Michigan,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Machine Learning, Ethics","Subject: Machine Learning; Location: Stanford University; Field: Artificial Intelligence, Computer Science, Machine Learning",65.57%,keep_separate,1,5
VAR_5,AI4ALL,AI4ALL at Stanford University,AI4ALL at Columbia University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Data Science, Urban Technology","Subject: Machine Learning; Location: Stanford University; Field: Artificial Intelligence, Computer Science, Machine Learning",75.86%,keep_separate,1,6
VAR_6,AI4ALL,AI4ALL at Stanford University,AI4ALL Online Programs,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Machine Learning","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Location: Stanford University; Field: Artificial Intelligence, Computer Science, Machine Learning",35.29%,keep_separate,1,7
VAR_7,AI4ALL,AI4ALL at Princeton University,AI4ALL at UC Berkeley,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Location: Princeton University; Field: Artificial Intelligence, Computer Science, Data Science",58.82%,keep_separate,2,3
VAR_8,AI4ALL,AI4ALL at Princeton University,AI4ALL at Boston University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Computer Science, Data Analysis","Subject: Machine Learning; Location: Princeton University; Field: Artificial Intelligence, Computer Science, Data Science",84.21%,keep_separate,2,4
VAR_9,AI4ALL,AI4ALL at Princeton University,AI4ALL at University of Michigan,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Ethics","Subject: Machine Learning; Location: Princeton University; Field: Artificial Intelligence, Computer Science, Data Science",64.52%,keep_separate,2,5
VAR_10,AI4ALL,AI4ALL at Princeton University,AI4ALL at Columbia University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Data Science, Urban Technology","Subject: Machine Learning; Location: Princeton University; Field: Artificial Intelligence, Computer Science, Data Science",74.58%,keep_separate,2,6
VAR_11,AI4ALL,AI4ALL at Princeton University,AI4ALL Online Programs,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Location: Princeton University; Field: Artificial Intelligence, Computer Science, Data Science",50.00%,keep_separate,2,7
VAR_12,AI4ALL,AI4ALL at UC Berkeley,AI4ALL at Boston University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Computer Science, Data Analysis","Subject: Machine Learning; Location: Uc Berkeley; Field: Artificial Intelligence, Machine Learning, Computer Science",58.33%,keep_separate,3,4
VAR_13,AI4ALL,AI4ALL at UC Berkeley,AI4ALL at University of Michigan,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Machine Learning, Ethics","Subject: Machine Learning; Location: Uc Berkeley; Field: Artificial Intelligence, Machine Learning, Computer Science",52.83%,keep_separate,3,5
VAR_14,AI4ALL,AI4ALL at UC Berkeley,AI4ALL at Columbia University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Data Science, Urban Technology","Subject: Machine Learning; Location: Uc Berkeley; Field: Artificial Intelligence, Machine Learning, Computer Science",60.00%,keep_separate,3,6
VAR_15,AI4ALL,AI4ALL at UC Berkeley,AI4ALL Online Programs,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Machine Learning, Computer Science","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Location: Uc Berkeley; Field: Artificial Intelligence, Machine Learning, Computer Science",37.21%,keep_separate,3,7
VAR_16,AI4ALL,AI4ALL at Boston University,AI4ALL at University of Michigan,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Machine Learning, Ethics","Subject: Artificial Intelligence; Subject: Machine Learning; Location: Boston University; Field: Artificial Intelligence, Computer Science, Data Analysis",67.80%,keep_separate,4,5
VAR_17,AI4ALL,AI4ALL at Boston University,AI4ALL at Columbia University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Data Science, Urban Technology","Subject: Artificial Intelligence; Subject: Machine Learning; Location: Boston University; Field: Artificial Intelligence, Computer Science, Data Analysis",78.57%,keep_separate,4,6
VAR_18,AI4ALL,AI4ALL at Boston University,AI4ALL Online Programs,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Computer Science, Data Analysis","Artificial Intelligence, Machine Learning, Computer Science","Subject: Artificial Intelligence; Subject: Machine Learning; Location: Boston University; Field: Artificial Intelligence, Computer Science, Data Analysis",48.98%,keep_separate,4,7
VAR_19,AI4ALL,AI4ALL at University of Michigan,AI4ALL at Columbia University,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Machine Learning, Ethics","Artificial Intelligence, Data Science, Urban Technology","Subject: Machine Learning; Location: University Of Michigan; Field: Artificial Intelligence, Machine Learning, Ethics",65.57%,keep_separate,5,6
VAR_20,AI4ALL,AI4ALL at University of Michigan,AI4ALL Online Programs,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Machine Learning, Ethics","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Location: University Of Michigan; Field: Artificial Intelligence, Machine Learning, Ethics",33.33%,keep_separate,5,7
VAR_21,AI4ALL,AI4ALL at Columbia University,AI4ALL Online Programs,AI4ALL,https://ai-4-all.org/programs/,"Artificial Intelligence, Data Science, Urban Technology","Artificial Intelligence, Machine Learning, Computer Science","Subject: Machine Learning; Subject: Data Science; Location: Columbia University; Field: Artificial Intelligence, Data Science, Urban Technology",39.22%,keep_separate,6,7
VAR_22,Unknown,Bold.org - Black Excellence in STEM Scholarship,Bold.org - First-Generation STEM Scholars,Bold.org,https://bold.org/scholarships/stem/,"All STEM Fields, Science, Technology, Engineering, Mathematics","All STEM Fields, Science, Technology, Engineering, Mathematics","Subject: Mathematics; Subject: Engineering; Field: All STEM Fields, Science, Technology, Engineering, Mathematics",68.18%,keep_separate,92,93
VAR_23,Unknown,Explore Machine Learning,Google Applied Computing Series,Google CS Education,https://edu.google.com/computer-science/,"Computer Science, Artificial Intelligence, Machine Learning",Computer Science,"Subject: Artificial Intelligence; Subject: Machine Learning; Grade: High School; Field: Computer Science, Artificial Intelligence, Machine Learning",29.09%,keep_separate,23,25
VAR_24,Unknown,Scholly - Minority STEM Leaders Scholarship,Scholly - First-Generation STEM Scholars,Scholly,https://myscholly.com/stem-scholarships/,"All STEM Fields, Science, Technology, Engineering, Mathematics","All STEM Fields, Science, Technology, Engineering, Mathematics","Field: All STEM Fields, Science, Technology, Engineering, Mathematics",65.06%,keep_separate,160,161
VAR_25,SSTP,SSTP - Secondary Student Training Program at University of Iowa,UCONN Mentor Connection High School Research Program,Pathways to Science,https://pathwaystoscience.org/programs.aspx,"Biology, Chemistry, Engineering, Physics","General STEM, Biology, Chemistry, Engineering","Location: University Of Iowa; Grade: High School; Field: Biology, Chemistry, Engineering, Physics",33.04%,keep_separate,79,80
VAR_26,SSTP,SSTP - Secondary Student Training Program at University of Iowa,Clark Scholars Program at Texas Tech,Pathways to Science,https://pathwaystoscience.org/programs.aspx,"Biology, Chemistry, Engineering, Physics","General STEM, Biology, Chemistry, Engineering, Physics","Location: University Of Iowa; Grade: High School; Field: Biology, Chemistry, Engineering, Physics",44.44%,keep_separate,79,81
VAR_27,SSTP,SSTP - Secondary Student Training Program at University of Iowa,Fermilab TARGET - Teachers and Researchers Generating Excitement for Technology,Pathways to Science,https://pathwaystoscience.org/programs.aspx,"Biology, Chemistry, Engineering, Physics","Physics, Engineering, Computer Science","Location: University Of Iowa; Grade: High School; Field: Biology, Chemistry, Engineering, Physics",26.76%,keep_separate,79,82
VAR_28,Unknown,UCONN Mentor Connection High School Research Program,Clark Scholars Program at Texas Tech,Pathways to Science,https://pathwaystoscience.org/programs.aspx,"General STEM, Biology, Chemistry, Engineering","General STEM, Biology, Chemistry, Engineering, Physics","Grade: High School; Field: General STEM, Biology, Chemistry, Engineering",40.91%,keep_separate,80,81
VAR_29,Unknown,UCONN Mentor Connection High School Research Program,Fermilab TARGET - Teachers and Researchers Generating Excitement for Technology,Pathways to Science,https://pathwaystoscience.org/programs.aspx,"General STEM, Biology, Chemistry, Engineering","Physics, Engineering, Computer Science","Grade: High School; Field: General STEM, Biology, Chemistry, Engineering",30.53%,keep_separate,80,82
VAR_30,Clark Scholars,Clark Scholars Program at Texas Tech,Fermilab TARGET - Teachers and Researchers Generating Excitement for Technology,Pathways to Science,https://pathwaystoscience.org/programs.aspx,"General STEM, Biology, Chemistry, Engineering, Physics","Physics, Engineering, Computer Science","Location: Texas Tech; Grade: High School; Field: General STEM, Biology, Chemistry, Engineering, Physics",36.52%,keep_separate,81,82
VAR_31,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Biotechnology and Genetic Engineering,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",64.46%,keep_separate,122,123
VAR_32,Pioneer Academics,Pioneer Academics - Artificial Intelligence and Machine Learning,Pioneer Academics - Neuroscience and Cognitive Science,Pioneer Academics,https://pioneeracademics.com/subjects/,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science","Neuroscience, Cognitive Science, Psychology, Biology, Brain Research","Subject: Artificial Intelligence; Subject: Machine Learning; Field: Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",64.41%,keep_separate,122,124
