name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Python Programming for Beginners,"Introduction to Python programming for ages 10-14. Learn variables, loops, functions, and create interactive projects including games and animations.",https://outschool.com/classes/coding,Outschool,Online Class,"Computer Science, Programming, Python",5-8,Paid,Online,8 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Scratch Coding for Kids,"Learn block-based programming with Scratch. Ages 7-11 create games, animations, and interactive stories while learning coding fundamentals.",https://outschool.com/classes/coding,Outschool,Online Class,"Computer Science, Programming, Game Design",2-5,Paid,Online,4 weeks (45 min/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Java Programming Fundamentals,"Comprehensive Java course for ages 13-17. Learn object-oriented programming, data structures, and prepare for AP Computer Science A.",https://outschool.com/classes/coding,Outschool,Online Class,"Computer Science, Programming, Java",8-12,Paid,Online,12 weeks (1.5 hours/week),Low,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
"Web Development - HTML, CSS, JavaScript","Build responsive websites from scratch. Ages 11-16 learn HTML, CSS, JavaScript and create portfolio-ready projects.",https://outschool.com/classes/coding,Outschool,Online Class,"Web Development, Computer Science, Programming",6-10,Paid,Online,10 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Game Development with Unity,"Create 3D games using Unity game engine. Ages 12-17 learn C# programming, game design, and publish playable games.",https://outschool.com/classes/coding,Outschool,Online Class,"Game Design, Computer Science, Programming",7-12,Paid,Online,12 weeks (1.5 hours/week),Low,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Mobile App Development for iOS,"Build iPhone apps using Swift. Ages 13-18 learn iOS development, UI design, and publish apps to App Store.",https://outschool.com/classes/coding,Outschool,Online Class,"Mobile Development, Computer Science, Swift",8-12,Paid,Online,10 weeks (1.5 hours/week),Medium,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Roblox Game Creation,"Design and program Roblox games using Lua. Ages 9-13 learn scripting, 3D modeling, and game mechanics.",https://outschool.com/classes/coding,Outschool,Online Class,"Game Design, Programming, Computer Science",4-8,Paid,Online,6 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Minecraft Coding with Python,Program Minecraft worlds using Python. Ages 10-14 learn coding while building automated structures and custom game modes.,https://outschool.com/classes/coding,Outschool,Online Class,"Programming, Computer Science, Game Design",5-8,Paid,Online,6 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Pre-Algebra Mastery,"Complete pre-algebra course for ages 11-13. Cover integers, fractions, decimals, equations, and problem-solving strategies.",https://outschool.com/classes/math,Outschool,Online Class,Mathematics,6-8,Paid,Online,16 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Algebra 1 Complete Course,"Full Algebra 1 curriculum for ages 12-15. Linear equations, quadratics, polynomials, and real-world applications.",https://outschool.com/classes/math,Outschool,Online Class,"Mathematics, Algebra",7-9,Paid,Online,30 weeks (1.5 hours/week),Low,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Geometry with Proofs,"High school geometry for ages 13-16. Euclidean geometry, proofs, transformations, and coordinate geometry.",https://outschool.com/classes/math,Outschool,Online Class,"Mathematics, Geometry",8-10,Paid,Online,30 weeks (1.5 hours/week),Medium,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Competition Math - AMC Prep,"Prepare for AMC 8/10 competitions. Ages 11-15 learn problem-solving strategies, number theory, and competition techniques.",https://outschool.com/classes/math,Outschool,Online Class,"Mathematics, Problem Solving",6-9,Paid,Online,12 weeks (1.5 hours/week),Medium,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Calculus AB Preparation,"AP Calculus AB course for ages 15-18. Limits, derivatives, integrals, and applications. Full AP exam preparation.",https://outschool.com/classes/math,Outschool,Online Class,"Mathematics, Calculus",10-12,Paid,Online,30 weeks (2 hours/week),High,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Statistics and Probability,"Introduction to statistics for ages 13-17. Data analysis, probability theory, distributions, and hypothesis testing.",https://outschool.com/classes/math,Outschool,Online Class,"Mathematics, Statistics",8-12,Paid,Online,12 weeks (1 hour/week),Medium,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Math Puzzles and Logic,Fun math puzzles and brain teasers for ages 8-12. Develop logical thinking through engaging challenges.,https://outschool.com/classes/math,Outschool,Online Class,"Mathematics, Logic, Problem Solving",3-6,Paid,Online,6 weeks (45 min/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Biology Foundations,"Introduction to biology for ages 12-15. Cells, genetics, evolution, ecology, and body systems.",https://outschool.com/classes/science,Outschool,Online Class,"Biology, Science",7-9,Paid,Online,16 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Chemistry for Teens,"High school chemistry course for ages 14-17. Atoms, molecules, reactions, stoichiometry, and lab demonstrations.",https://outschool.com/classes/science,Outschool,Online Class,"Chemistry, Science",9-12,Paid,Online,30 weeks (1.5 hours/week),Low,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Physics Fundamentals,"Introduction to physics for ages 13-16. Motion, forces, energy, waves, electricity, and magnetism.",https://outschool.com/classes/science,Outschool,Online Class,"Physics, Science",8-10,Paid,Online,20 weeks (1.5 hours/week),Medium,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Environmental Science and Ecology,"Study ecosystems, conservation, and environmental issues. Ages 11-15 explore sustainability and climate science.",https://outschool.com/classes/science,Outschool,Online Class,"Environmental Science, Biology, Ecology",6-9,Paid,Online,10 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Astronomy and Space Science,"Explore the universe for ages 9-14. Solar system, stars, galaxies, and space exploration.",https://outschool.com/classes/science,Outschool,Online Class,"Astronomy, Physics, Space Science",4-8,Paid,Online,8 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Marine Biology,"Study ocean life and ecosystems for ages 10-15. Marine animals, coral reefs, and ocean conservation.",https://outschool.com/classes/science,Outschool,Online Class,"Marine Biology, Biology, Environmental Science",5-9,Paid,Online,6 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Forensic Science,"Crime scene investigation for ages 11-16. Learn evidence collection, DNA analysis, and scientific methods.",https://outschool.com/classes/science,Outschool,Online Class,"Forensic Science, Chemistry, Biology",6-10,Paid,Online,8 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Genetics and DNA,"Learn about heredity and genetic engineering for ages 12-16. DNA structure, inheritance, and biotechnology.",https://outschool.com/classes/science,Outschool,Online Class,"Genetics, Biology, Biotechnology",7-10,Paid,Online,6 weeks (1 hour/week),Low,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
LEGO Robotics for Kids,Build and program LEGO robots for ages 7-11. Learn engineering principles and basic coding.,https://outschool.com/classes/stem,Outschool,Online Class,"Robotics, Engineering, Programming",2-5,Paid,Online,6 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Arduino Robotics and Electronics,"Build electronic projects with Arduino for ages 12-17. Circuit design, sensors, and microcontroller programming.",https://outschool.com/classes/stem,Outschool,Online Class,"Robotics, Engineering, Electronics",7-12,Paid,Online,10 weeks (1.5 hours/week),Low,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
Engineering Design Challenge,"Solve engineering problems for ages 10-14. Design thinking, prototyping, and testing solutions.",https://outschool.com/classes/stem,Outschool,Online Class,"Engineering, Design, Problem Solving",5-8,Paid,Online,6 weeks (1 hour/week),None,High,Rolling,Medium,True,Optional,Per-Class,$50-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher
