name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
MIT Splash,"Weekend educational program at MIT where college students teach classes to middle and high school students. Hundreds of classes covering math, science, humanities, and arts. Students choose from diverse topics ranging from quantum physics to creative writing. Free program providing exposure to college-level thinking and campus experience.",https://esp.mit.edu/learn/Splash/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Math, Science, Engineering, Computer Science, and more)",7-12,Low-cost ($30-50 registration),"MIT campus (Cambridge, MA)",1-2 days (weekend),None,Medium,Registration opens weeks before event (November),Low,Fee waivers available,Financial aid offered,Low,Under-$100,MIT educational equity initiatives,True,True,High,False,True,Basic,Regional (Northeast),Required,True,Peer
Stanford Splash,"Day-long program at Stanford University featuring student-taught classes on diverse topics. Middle and high school students explore subjects not typically offered in school curriculum. Classes include hands-on STEM activities, coding workshops, and academic seminars. Free or low-cost opportunity to experience Stanford campus.",https://stanford.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Computer Science, Biology, Physics, Engineering)",7-12,Free to Low-cost,"Stanford campus (Palo Alto, CA)",1 day (Saturday),None,Medium,Registration typically 2-3 weeks before event,Low,Often free or scholarships available,Financial aid offered,Low,Free,Stanford outreach to local communities,True,True,High,False,True,Basic,Regional (Bay Area),Required,True,Peer
Cornell Splash,"Educational enrichment program at Cornell University where undergraduates teach mini-courses to high school students. Wide variety of classes in science, math, engineering, humanities, and arts. Students sample college-level learning in fun, interactive environment. Opportunity to explore Cornell campus and meet college students.",https://cornell.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Engineering, Life Sciences, Physical Sciences, Math)",9-12,Low-cost ($20-40),"Cornell campus (Ithaca, NY)",1 day (Saturday),None,Medium,Registration opens weeks before event (Spring),Low,Financial aid available,Fee waivers offered,Low,Under-$100,Cornell educational outreach,True,True,High,False,True,Basic,Regional (Upstate NY),Required,True,Peer
Yale Splash,Weekend program at Yale University with student-taught seminars for middle and high school students. Classes cover academic topics from neuroscience to philosophy. Small class sizes allow interactive learning and discussion. Free program introducing students to college academics and Yale campus.,https://yale.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Neuroscience, Chemistry, Computer Science, Mathematics)",7-12,Free,"Yale campus (New Haven, CT)",1-2 days (weekend),None,Medium,Registration opens before event,None,Free program,None,Low,Free,Yale community outreach,True,True,High,False,True,Basic,Regional (Connecticut),Required,True,Peer
Columbia Splash,"Educational day program at Columbia University featuring classes taught by college students. High school students explore topics beyond standard curriculum through interactive seminars and workshops. Classes include STEM subjects, languages, arts, and social sciences. Exposure to NYC university experience.",https://columbia.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Biology, Physics, Computer Science, Mathematics)",9-12,Low-cost ($25-50),"Columbia campus (New York, NY)",1 day (Saturday),None,Medium,Registration typically 2-3 weeks before,Low,Financial aid available,Fee waivers offered,Low,Under-$100,NYC educational equity,True,True,High,False,True,Basic,Regional (NYC area),Required,True,Peer
UC Berkeley Splash,"Weekend educational program at UC Berkeley with student-taught classes. Middle and high school students choose from hundreds of courses in math, science, technology, humanities, and arts. Hands-on learning activities and exposure to research university environment. Low-cost or free access to college-level education.",https://berkeley.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Engineering, Computer Science, Environmental Science, Math)",7-12,Free to Low-cost,"UC Berkeley campus (Berkeley, CA)",1-2 days (weekend),None,Medium,Registration opens weeks before event,Low,Fee waivers available,Financial aid offered,Low,Free,UC Berkeley equity initiatives,True,True,High,False,True,Basic,Regional (Bay Area),Required,True,Peer
UCLA Splash,"Day-long educational program at UCLA where undergraduate students teach mini-courses to local middle and high school students. Classes cover diverse academic subjects including STEM, social sciences, and humanities. Students experience university campus and college-style learning. Free or low-cost program.",https://ucla.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Life Sciences, Physical Sciences, Engineering, Math)",6-12,Free to Low-cost,"UCLA campus (Los Angeles, CA)",1 day (Saturday),None,Medium,Registration typically 2-4 weeks before,Low,Often free or aid available,Financial aid offered,Low,Free,UCLA community outreach,True,True,High,False,True,Basic,Regional (Los Angeles),Required,True,Peer
UChicago Splash,"Educational enrichment program at University of Chicago featuring student-taught seminars. High school students explore advanced topics in small, interactive classes. Courses include theoretical math, experimental science, philosophy, and creative writing. Exposure to rigorous academic environment and UChicago campus.",https://uchicago.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Theoretical Mathematics, Physics, Chemistry, Biology)",9-12,Low-cost ($20-40),"UChicago campus (Chicago, IL)",1-2 days (weekend),None,Medium,Registration opens before event,Low,Financial aid available,Fee waivers offered,Low,Under-$100,Chicago educational outreach,True,True,High,False,True,Basic,Regional (Chicago area),Required,True,Peer
Harvard HSSP (High School Studies Program),Weekend program at Harvard University similar to Splash format. College students teach classes to middle and high school students on diverse academic topics. Students experience Harvard campus and learn from undergraduate instructors. Free or low-cost educational opportunity in Boston area.,https://esp.mit.edu/learn/HSSP/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Computer Science, Molecular Biology, Mathematics, Engineering)",7-12,Low-cost ($30-50),"Harvard campus (Cambridge, MA)",1-2 days (weekend),None,Medium,Registration opens weeks before program,Low,Fee waivers available,Financial aid offered,Low,Under-$100,Harvard educational access,True,True,High,False,True,Basic,Regional (Boston area),Required,True,Peer
Duke Splash,"Day program at Duke University with student-taught classes for local middle and high school students. Wide variety of subjects including STEM, social sciences, and arts. Interactive learning environment with small class sizes. Opportunity to explore Duke campus and meet undergraduate students.",https://duke.learningu.org/,Learning Unlimited/University Splash Programs,Educational Outreach,"All STEM (Biomedical Engineering, Computer Science, Environmental Science)",6-12,Free to Low-cost,"Duke campus (Durham, NC)",1 day (Saturday),None,Medium,Registration typically 2-3 weeks before,Low,Often free or aid available,Financial aid offered,Low,Free,Duke community engagement,True,True,High,False,True,Basic,Regional (North Carolina),Required,True,Peer
