duplicate_type,duplicate_key,name,url,source,file_source,description,index
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL at Stanford University,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,"Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neu",21
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL at Princeton University,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,Residential summer program introducing AI and machine learning at Princeton. Learn from world-renown,23
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL at UC Berkeley,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,"Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and A",24
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL at Boston University,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,Residential AI summer program at Boston University. Fundamentals of artificial intelligence and mach,25
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL at University of Michigan,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,"Two-week residential AI program at University of Michigan. Introduction to machine learning, neural ",26
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL at Columbia University,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,"Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and",28
"Same URL, different names",URL:https://ai-4-all.org/programs/,AI4ALL Online Programs,https://ai-4-all.org/programs/,AI4ALL,ai4all_programs.csv,Virtual AI summer programs for students unable to travel to campus programs. Live online instruction,30
"Same URL, different names",URL:https://bold.org/scholarships/stem/,Bold.org - Black Excellence in STEM Scholarship,https://bold.org/scholarships/stem/,Bold.org,boldorg_stem.csv,"$2,000-$10,000 scholarship specifically for Black students pursuing any STEM field. Recognizing and ",1468
"Same URL, different names",URL:https://bold.org/scholarships/stem/,Bold.org - First-Generation STEM Scholars,https://bold.org/scholarships/stem/,Bold.org,boldorg_stem.csv,"$1,000-$7,500 scholarship for first-generation college students pursuing any STEM degree. Open to st",1473
"Same URL, different names",URL:https://edu.google.com/computer-science/,Explore Machine Learning,https://edu.google.com/computer-science/,Google CS Education,google_cs_edu_programs.csv,Introduction to machine learning and artificial intelligence for middle and high school students. Ha,262
"Same URL, different names",URL:https://edu.google.com/computer-science/,Google Applied Computing Series,https://edu.google.com/computer-science/,Google CS Education,google_cs_edu_programs.csv,Advanced computer science curriculum for high school students with prior coding experience. Topics i,268
"Same URL, different names",URL:https://mites.mit.edu/,MIT THINK Scholars Program,https://mites.mit.edu/,MIT MITES,mit_mites_programs.csv,Project-based program supporting students developing innovative STEM projects addressing real-world ,411
"Same URL, different names",URL:https://mites.mit.edu/,MITES Application Workshops,https://mites.mit.edu/,MIT MITES,mit_mites_programs.csv,"Free workshops helping students prepare strong MITES applications. Cover essay writing, recommendati",415
"Same URL, different names",URL:https://myscholly.com/stem-scholarships/,Scholly - Minority STEM Leaders Scholarship,https://myscholly.com/stem-scholarships/,Scholly,scholly_stem.csv,"$1,500-$7,500 scholarship for underrepresented minority students pursuing STEM degrees. Open to Blac",2205
"Same URL, different names",URL:https://myscholly.com/stem-scholarships/,Scholly - First-Generation STEM Scholars,https://myscholly.com/stem-scholarships/,Scholly,scholly_stem.csv,"$1,000-$5,000 scholarship for first-generation college students pursuing STEM degrees. Open to stude",2206
"Same URL, different names",URL:https://pathwaystoscience.org/programs.aspx,SSTP - Secondary Student Training Program at University of Iowa,https://pathwaystoscience.org/programs.aspx,Pathways to Science,pathways_to_science.csv,Research-based program where high school students conduct independent research projects under facult,1011
"Same URL, different names",URL:https://pathwaystoscience.org/programs.aspx,UCONN Mentor Connection High School Research Program,https://pathwaystoscience.org/programs.aspx,Pathways to Science,pathways_to_science.csv,Academic year research mentorship program connecting high school students with university faculty. S,1018
