name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file
Middle School Chemistry,"Chemistry education resource designed specifically for middle school students and teachers. Provides engaging content, activities, and experiments appropriate for middle school level. Builds foundation for high school chemistry. Interactive and hands-on approach to chemistry learning.",https://www.acs.org/education/students.html,American Chemical Society,Chemistry Program,"Chemistry, Chemical Engineering",6-8,Free,Online,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional,acs_programs
Students & Educators,Promoting excellence in science education and outreach,https://www.acs.org/education/students.html,American Chemical Society,Outreach Program,"Chemistry, Chemical Engineering",K-12,Free,Hybrid,Flexible,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional,acs_programs
inChemistry Magazine,The ACS student member magazine. The ACS clubs for undergraduate students in the U.S. and abroad. Get real-world experience through internships and summer research programs Hone your communication skills and network with professionals at ACS meetings.,https://www.acs.org/education/students.html,American Chemical Society,Research Program,"Chemistry, Chemical Engineering",K-12,Free,School-based,8-10 weeks,Basic,High,Check ACS website,,False,False,,Free,True,True,False,High,False,False,Basic,National,Optional,True,Professional,acs_programs
AI4ALL Alumni Network,Community of AI4ALL program alumni pursuing AI careers and education. Mentorship from college students and professionals. Career guidance and internship opportunities. Annual alumni events and reunions. Access to exclusive resources and scholarships. Network across all university program sites. Support for college applications and AI career paths. Lifelong community of diverse AI leaders.,https://ai-4-all.org/,AI4ALL,Alumni Network,"Artificial Intelligence, Career Development",12-Oct,Free,Online,Ongoing,Medium,High,Rolling,,False,True,,Free,True,True,True,High,True,False,Basic,International,Optional,True,Professional,ai4all_programs
AMC School Registration,Schools register to host AMC competitions for their students. Registration fee covers exam materials for unlimited students. Schools coordinate local administration. Teacher receives competition materials and answer sheets. Registration opens several months before competition dates.,https://www.maa.org/math-competitions,Mathematical Association of America,School Program,Mathematics,6-12,100,School-based,Coordination,,Medium,Annual-October,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,amc_competitions
AMS Undergraduate Scholarship,"Merit-based scholarships for college students majoring in atmospheric science, meteorology, or related fields. Multiple awards available annually. Recipients gain access to AMS conferences, networking opportunities, and professional development resources. Recognizes academic excellence and career commitment to atmospheric sciences.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"Meteorology, Atmospheric Science, Oceanography, Hydrology",College,Free,Online application,3-5 hours (application),Medium,Medium,February (typically early February),,"Scholarship award ($3,000-5,000)",,,Free,AMS diversity initiatives,True,True,High,True,False,Basic,National,,True,Professional,ams_student_programs
AMS Student Conference Travel Grants,"Travel grants for students to attend AMS Annual Meeting and present research. Supports undergraduate and graduate students presenting posters or papers. Grants cover registration, travel, and lodging expenses. Provides networking opportunities with meteorology professionals and exposure to cutting-edge atmospheric science research.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Climate Science",College,Free,Annual conference (varies by year),3-5 days (January conference),Medium,High,Fall (varies by conference),,Travel grant provided,,,Free,Student participation in professional meetings,True,True,High,True,True,Basic,National,,True,Professional,ams_student_programs
AMS Student Chapter Program,"Student-led chapters at universities providing meteorology community and professional development. Chapters organize weather discussions, guest speakers, field trips to National Weather Service offices, and career workshops. Free membership connects students with atmospheric science peers and professionals. Leadership development opportunities.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Weather Forecasting",College,Free,University campus,Ongoing (1-2 hours/week),Basic,Medium,Ongoing enrollment,,,,,Free,Inclusive student community,True,True,High,Limited,False,Basic,National,,True,Peer,ams_student_programs
AMS DataStreme Atmospheric Science Program,"Online professional development for educators teaching atmospheric science. While targeting teachers, enhances quality of meteorology education in classrooms. Provides current weather data, educational resources, and expert instruction. Improved teaching benefits high school students learning about weather and climate.",https://www.ametsoc.org/index.cfm/ams/education-careers/k-12-resources/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Earth Science",9-12,Free,Online (teacher program benefiting students),School year (indirect benefit),,High,N/A (teacher program),,,,,Free,Quality science education for all students,True,True,High,True,False,High-speed-required,National,,False,Adult,ams_student_programs
AMS Graduate Fellowship in History of Science,"Fellowship supporting graduate students researching history of atmospheric sciences and meteorology. Awards fund dissertation research on development of meteorological science, technology, and institutions. Connects students with science historians and meteorology professionals. Interdisciplinary scholarship opportunity.",https://www.ametsoc.org/index.cfm/ams/education-careers/scholarships-and-fellowships/,American Meteorological Society,Scholarship,"History of Science, Meteorology, Science Studies",Graduate,Free,University research,Academic year (dissertation research),High,Medium,February (typically),,"Fellowship award ($15,000)",,,Free,Interdisciplinary scholarship,True,Limited,High,True,False,Basic,National,,True,Professional,ams_student_programs
AMS Student Membership Program,"Discounted professional membership for students ($35/year) providing access to journals, conference discounts, career resources, and networking. Members receive monthly publications, access to job board, and invitations to student events. Gateway to meteorology profession with resume-building credentials and professional development.",https://www.ametsoc.org/index.cfm/ams/education-careers/,American Meteorological Society,Meteorology Program,"Meteorology, Atmospheric Science, Career Development",College,Low-cost ($35/year),Online membership,Ongoing benefits,Basic,Medium,Ongoing enrollment,Low,Discounted student rate,,,Under-$100,Professional development for all students,True,True,High,True,False,Basic,National,,True,Professional,ams_student_programs
