name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
EPA Environmental Justice Video Challenge,"Video competition for middle and high school students to create videos highlighting environmental justice issues and solutions in their communities, promoting awareness and action.",https://www.epa.gov/education/environmental-justice-video-challenge,EPA,Competition Program,"Environmental Science, Environmental Justice",6-12,Free,Virtual,3-4 months,None,High,Spring submission,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
President's Environmental Youth Awards,"Recognition program for K-12 students and youth organizations demonstrating environmental stewardship through projects that promote awareness, conservation, and environmental protection.",https://www.epa.gov/education/presidents-environmental-youth-awards,EPA,Competition Program,"Environmental Science, Conservation",K-12,Free,National,Project duration (varies),None,High,December applications,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Environmental Education Guidelines,"Comprehensive guidelines and curriculum resources for K-12 environmental education, providing framework for quality environmental learning experiences and program development.",https://www.epa.gov/education/national-guidelines-environmental-education,EPA,Educational Program,"Environmental Science, Education",K-12,Free,Online,Self-paced,None,Medium,Open access,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Climate Change Education Resources,"Educational materials, activities, and resources for students to learn about climate science, impacts, and solutions, including interactive tools and lesson plans.",https://www.epa.gov/climate-change-education-resources,EPA,Educational Program,"Environmental Science, Climate Science",K-12,Free,Online,Self-paced learning,None,Medium,Open access,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Water Quality Education Resources,"Water quality monitoring tools, watershed education materials, and aquatic science resources for students to learn about water pollution, conservation, and protection.",https://www.epa.gov/education/water-education-resources,EPA,Educational Program,"Environmental Science, Water Quality",6-12,Free,Field-based,Project-based learning,Basic,High,Open participation,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Student Environmental Internships,Summer internship opportunities for high school and college students to work with EPA scientists and environmental professionals on real-world environmental projects.,https://www.epa.gov/careers/student-internships-epa,EPA,Internship Program,"Environmental Science, Public Policy",11-12,Free,Federal,10-12 weeks (summer),Medium,High,Spring applications,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Environmental Career Exploration,"Career awareness program introducing students to environmental careers, featuring EPA professionals sharing career paths, educational requirements, and job opportunities.",https://www.epa.gov/careers/environmental-careers-students,EPA,Career Program,"Environmental Science, Career Exploration",8-12,Free,Virtual,1-2 hours per session,None,Medium,Scheduled sessions,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Environmental Education Grants,Grant program supporting innovative environmental education projects and programs that increase environmental awareness and stewardship among K-12 students and communities.,https://www.epa.gov/education/environmental-education-ee-grants,EPA,Grant Program,"Environmental Science, Education",K-12,Free,National,1-3 years project,High,High,Annual solicitation,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Citizen Science Projects,"Community-based monitoring and citizen science opportunities for students to collect environmental data, contributing to EPA research while learning scientific methods.",https://www.epa.gov/citizen-science,EPA,Citizen Science,"Environmental Science, Data Science",6-12,Free,Field-based,Ongoing participation,Basic,Medium,Open enrollment,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,True,Professional
EPA Air Quality Monitoring for Students,"Educational program teaching students to monitor and analyze local air quality using EPA tools and data, promoting understanding of air pollution and health impacts.",https://www.epa.gov/education/air-quality-education-students,EPA,Monitoring Program,"Environmental Science, Air Quality",8-12,Free,Local,Semester project,Basic,High,Open participation,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Green Schools Program,"Program helping schools reduce environmental impact through energy conservation, waste reduction, and sustainable practices while providing hands-on learning opportunities.",https://www.epa.gov/education/green-schools-program,EPA,School Program,"Environmental Science, Sustainability",K-12,Free,School-based,School year initiative,None,High,Rolling applications,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,False,Professional
EPA Environmental Justice Community Engagement,Program connecting students with environmental justice communities to learn about environmental health disparities and develop solutions for environmental equity.,https://www.epa.gov/environmentaljustice/environmental-justice-education,EPA,Community Program,"Environmental Science, Environmental Justice",9-12,Free,Community-based,Semester engagement,Basic,High,Partnership dependent,None,False,Any,None,Free,True,True,True,High,False,True,Basic,National,None,True,Professional
