name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Hopscotch - Getting Started Tutorial,"Introduction to block-based coding on iPad. Learn drag-and-drop programming interface, basic commands, and creating first interactive project. Ages 9-14 develop foundational coding skills through guided tutorial.",https://www.gethopscotch.com/,Hopscotch,Learning Platform,"Computer Science, Programming, Computational Thinking, Logic",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Game Creation Projects,"Build interactive games using visual programming blocks. Create platformers, racing games, and puzzles. Learn game mechanics, collision detection, scoring systems, and player controls. Ages 9-14 develop game design skills.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Game Design, Programming, Creativity",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Animation Studio,"Create animated stories and interactive art. Program character movements, scene transitions, and visual effects using code blocks. Ages 9-14 combine storytelling with programming to create animated narratives.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Animation, Art, Storytelling",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Interactive Art Projects,"Code generative art and interactive designs. Use loops, variables, and drawing commands to create mathematical art, patterns, and responsive visuals. Ages 9-14 explore intersection of art and computer science.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Generative Art, Mathematics, Design",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Music and Sound Programming,"Create musical compositions and sound effects using code. Program beats, melodies, and interactive instruments. Ages 9-14 learn sequencing, timing, and audio programming through musical projects.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Music, Audio Programming, Sequencing",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Variables and Math Projects,"Learn programming variables through math games and calculators. Build counting apps, math quizzes, and interactive calculators. Ages 9-14 connect mathematical concepts with coding logic.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Mathematics, Variables, Logic",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Loops and Patterns,"Master loop programming through pattern creation and repetitive tasks. Build spirals, tessellations, and automated behaviors. Ages 9-14 develop computational efficiency and algorithmic thinking.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Algorithms, Loops, Patterns",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Conditionals and Logic,"Learn if-then logic and conditional statements. Create decision-making programs, quizzes, and interactive stories with branching paths. Ages 9-14 develop logical reasoning and conditional thinking.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Logic, Conditionals, Decision Making",4-8,Freemium,Online,Self-paced,Basic coding,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Physics Simulations,"Code physics-based games and simulations. Implement gravity, velocity, acceleration, and collision physics. Ages 9-14 apply physics concepts through game programming.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Physics, Game Physics, Simulation",4-8,Freemium,Online,Self-paced,Basic coding,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Character Design and Sprites,"Create custom characters and sprites using built-in drawing tools. Program character behaviors, animations, and interactions. Ages 9-14 combine art and coding to build unique game assets.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Digital Art, Character Design, Animation",4-8,Freemium,Online,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Community Explore Page,"Browse, play, and remix projects from global community. Discover trending games, featured projects, and learning from peer code. Ages 9-14 engage with collaborative learning and code remixing.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Peer Learning, Code Reading, Collaboration",4-8,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Publishing and Sharing,"Publish projects to community for others to play and remix. Receive feedback, track plays, and build portfolio. Ages 9-14 develop confidence sharing work and receiving constructive feedback.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Digital Citizenship, Portfolio Building, Communication",4-8,Free,Online,Self-paced,Basic coding,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Code Remixing,"Learn by remixing existing projects. View code from community projects, modify logic, and create variations. Ages 9-14 develop code reading skills and learn from examples.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Code Reading, Reverse Engineering, Adaptation",4-8,Free,Online,Self-paced,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Educator Dashboard,"Free classroom management tools for teachers. Create class codes, monitor student progress, view projects, and access curriculum-aligned lesson plans. Support K-8 computer science education.",https://www.gethopscotch.com/educators,Hopscotch,Learning Platform,"Computer Science Education, Classroom Management, Curriculum",4-8,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Hopscotch - Classroom Lesson Plans,"Free downloadable lesson plans aligned to CSTA standards. Step-by-step coding activities, project rubrics, and assessment tools. Support educators teaching grades 4-8 computer science.",https://www.gethopscotch.com/educators,Hopscotch,Learning Platform,"Computer Science Education, Curriculum, Standards-Aligned",4-8,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Hopscotch - Video Tutorials,"Library of step-by-step video tutorials covering coding concepts. Learn loops, variables, conditionals, and game design through guided videos. Ages 9-14 follow along to build projects.",https://www.gethopscotch.com/,Hopscotch,Learning Platform,"Computer Science, Programming, Video Learning, Tutorials",4-8,Freemium,Online,Self-paced,None,Medium,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,False,None
Hopscotch - Premium Subscription,"Optional subscription unlocking advanced features including expanded character library, special effects, cloud saves, and ad-free experience. Ages 9-14 access enhanced creative tools.",https://www.gethopscotch.com/,Hopscotch,Learning Platform,"Computer Science, Programming, Premium Features",4-8,Paid,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - iPad App Interface,"Touch-optimized coding on iPad. Drag-and-drop blocks, real-time preview, and intuitive interface designed for mobile. Ages 9-14 code anywhere with tablet-friendly design.",https://www.gethopscotch.com/,Hopscotch,Learning Platform,"Computer Science, Mobile Learning, User Interface Design",4-8,Freemium,Mobile App,Self-paced,None,Low,Rolling,Low,Limited,Optional,Premium-Features,Free-Tier-Available,True,True,True,Medium,True,False,Required,International,Low,True,Community
Hopscotch - Weekly Challenges,"Community coding challenges with themes and prompts. Participate in weekly projects, showcase creativity, and get featured. Ages 9-14 stay engaged with fresh content and friendly competition.",https://www.gethopscotch.com/explore,Hopscotch,Learning Platform,"Computer Science, Creative Problem Solving, Community Engagement",4-8,Free,Online,Weekly,Basic coding,Low,Weekly,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Community
Hopscotch - Safe Community Moderation,"Kid-safe moderated community with no personal messaging. COPPA-compliant safety features, content filtering, and reporting tools. Ages 9-14 code in protected environment.",https://www.gethopscotch.com/,Hopscotch,Learning Platform,"Digital Citizenship, Online Safety, Community Guidelines",4-8,Free,Feature,Not applicable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Low,True,Community
