name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
codeSpark Academy - The Foos Puzzles,"Interactive coding puzzles using lovable Foos characters. Learn sequencing, loops, and logic through word-free interface. Over 1,000 puzzles teaching programming fundamentals to pre-readers ages 5-9.",https://codespark.com/learn,codeSpark Academy,Learning Platform,"Computer Science, Programming, Logic, Problem Solving",K-4,Freemium,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,False,None
codeSpark Academy - Game Maker,"Create original games using visual programming. Design characters, backgrounds, and game mechanics without reading. Share creations with safe kid-friendly community. Develop creativity and computational thinking.",https://codespark.com/learn,codeSpark Academy,Learning Platform,"Computer Science, Game Design, Programming, Creativity",K-4,Freemium,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,True,None
codeSpark Academy - Story Maker,Build interactive stories with coding blocks. Combine storytelling with programming to create animated narratives. Develop literacy and coding skills simultaneously through creative expression.,https://codespark.com/learn,codeSpark Academy,Learning Platform,"Computer Science, Programming, Storytelling, Literacy",K-4,Freemium,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,True,None
codeSpark Academy - Daily Challenges,New coding challenges every day to maintain engagement and skill development. Progressive difficulty adapting to child's level. Builds coding habit through consistent practice with fresh content.,https://codespark.com/learn,codeSpark Academy,Learning Platform,"Computer Science, Programming, Problem Solving",K-4,Freemium,Online,10-20 minutes daily,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,False,None
codeSpark Academy - Coding Concepts Curriculum,"Structured curriculum teaching sequencing, loops, events, conditionals, and debugging. Research-backed progression aligned to K-5 computer science standards. No-text interface perfect for pre-readers and English language learners.",https://codespark.com/learn,codeSpark Academy,Learning Platform,"Computer Science, Programming, Computational Thinking",K-4,Freemium,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,False,None
codeSpark Academy - Parent Dashboard,"Comprehensive parent dashboard tracking child progress, skill development, and time spent. View completed projects, coding concepts mastered, and areas for growth. Weekly progress reports via email.",https://codespark.com/,codeSpark Academy,Learning Platform,"Educational Technology, Parent Engagement, Progress Tracking",K-4,Freemium,Online,Variable,None,Medium,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,High,False,Parent
codeSpark Academy - Free Trial,"Free trial period to explore full platform features. Access puzzles, game maker, and story maker with no commitment. Test if platform fits child's learning style before subscribing.",https://codespark.com/,codeSpark Academy,Learning Platform,"Computer Science, Programming, Trial Program",K-4,Free,Online,7-14 days,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,Medium,False,None
codeSpark Academy - Offline Mode,Download content for offline play on tablets. Continue learning without internet connection during travel or areas with limited connectivity. Syncs progress when back online.,https://codespark.com/,codeSpark Academy,Learning Platform,"Computer Science, Programming, Offline Learning",K-4,Freemium,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Basic,International,Medium,False,None
codeSpark Academy - Kid-Safe Community,Moderated community where children can share games and stories safely. No chat or personal information sharing. Inspire creativity by playing creations from kids worldwide. COPPA-compliant safety.,https://codespark.com/,codeSpark Academy,Learning Platform,"Computer Science, Community Learning, Digital Citizenship",K-4,Freemium,Online,Self-paced,None,High,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,True,None
codeSpark Academy - Multi-Child Accounts,One subscription supports up to 3 children with individual profiles and progress tracking. Each child has personalized learning path and saves own creations. Family-friendly pricing.,https://codespark.com/,codeSpark Academy,Learning Platform,"Computer Science, Programming, Family Learning",K-4,Freemium,Online,Self-paced,None,Low,Rolling,Medium,Limited,Optional,Subscription,$50-$100,True,True,True,High,True,False,Required,International,Medium,False,None
