name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Roblox Education - Introduction to Roblox Studio,"Beginner course teaching basics of Roblox Studio development environment. Learn interface navigation, building tools, terrain creation, and basic scripting. Create first 3D world and learn fundamental game development concepts.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science, Game Design, 3D Modeling",5-12,Free,Online,2-4 hours,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Coding with Lua Fundamentals,"Learn Lua programming language fundamentals through Roblox Studio. Cover variables, data types, conditional statements, loops, functions, and debugging. Project-based approach creating interactive game elements.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science, Programming, Lua",6-12,Free,Online,6-10 hours,Low,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Game Design and Development Pathway,"Comprehensive learning pathway from beginner to advanced game creator. Multi-course curriculum covering design thinking, prototyping, player experience, monetization, and publishing. Build portfolio of completed games.",https://education.roblox.com/en-us/pathway,Roblox Education,Learning Platform,"Computer Science, Game Design, Programming, Entrepreneurship",6-12,Free,Online,40-60 hours,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - 3D Modeling and Environment Design,"Create 3D assets and immersive environments in Roblox Studio. Learn part manipulation, mesh importing, terrain tools, lighting, and visual effects. Build detailed worlds and game settings.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Game Design, 3D Modeling, Art, Design",5-12,Free,Online,4-8 hours,Low,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Creating an Obby (Obstacle Course),"Popular project-based course building classic Roblox obstacle course game. Learn game mechanics, challenge design, checkpoints, spawning, and player testing. Complete functional game by end of course.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Game Design, Programming, Level Design",5-12,Free,Online,3-5 hours,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Scripting with Events and Functions,"Intermediate Lua scripting focusing on event-driven programming and function creation. Learn player input handling, collision detection, timers, and creating reusable code. Build interactive game mechanics.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science, Programming, Software Engineering",6-12,Free,Online,5-8 hours,Low,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - User Interface (UI) Design,"Design and script graphical user interfaces for Roblox games. Learn GUI objects, screen positioning, buttons, health bars, menus, and player feedback systems. Create polished user experiences.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science, UI/UX Design, Programming",6-12,Free,Online,4-6 hours,Low,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Combat and Weapon Systems,"Create combat mechanics for action games. Learn health systems, damage calculation, weapon tools, projectiles, and combat balancing. Understand game balance and player engagement through combat design.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Game Design, Programming, Mathematics, Systems Thinking",7-12,Free,Online,6-10 hours,Medium,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Multiplayer Game Development,"Learn server-client architecture and multiplayer game programming. Understand remote events, data persistence, player synchronization, and anti-cheat basics. Build games supporting multiple concurrent players.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science, Network Programming, Game Design",8-12,Free,Online,8-12 hours,Medium,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
Roblox Education - Data Stores and Player Progression,"Implement persistent data systems saving player progress across sessions. Learn DataStore service, data serialization, leaderboards, achievements, and player inventory systems. Create engaging progression mechanics.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science, Database Management, Programming",8-12,Free,Online,5-8 hours,Medium,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,True,None
