name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Code Quest,"Annual computer programming competition for high school students. Teams of 2-3 students solve 20-30 challenging problems using JAVA, Python, C#, or C++. Created by Lockheed Martin engineers. Winners eligible for paid high school internships. Includes Code Quest Academy, a free digital practice platform.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Industry Competition,"Computer Science, Programming, Software Engineering",9-12,Free,Hybrid,1 day competition + practice,Medium,Medium,Check website annually,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,True,Professional
CyberQuest,"Annual high school cyber competition featuring a cloud-based, 3-hour team competition. Students solve cybersecurity challenges created by Lockheed Martin cybersecurity engineers. Winners eligible for paid high school internships. Includes CyberQuest Academy, a free digital practice platform.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Industry Competition,"Cybersecurity, Computer Science, Information Technology",9-12,Free,Virtual,3 hours + practice,Medium,Medium,Check website annually,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,True,Professional
Code Quest Academy,"Free digital practice platform for students preparing for Code Quest competition. Features programming challenges, tutorials, and practice problems designed by Lockheed Martin engineers. Supports JAVA, Python, C#, and C++. Available year-round for skill development.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Computer Science, Programming, Software Engineering",9-12,Free,Virtual,Self-paced,Basic,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,False,Professional
CyberQuest Academy,"Free digital practice platform for students learning cybersecurity skills. Features cybersecurity challenges, tutorials, and practice scenarios created by Lockheed Martin cybersecurity professionals. Prepares students for CyberQuest competition and cybersecurity careers.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Cybersecurity, Computer Science, Information Technology",9-12,Free,Virtual,Self-paced,Basic,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,False,Professional
Lockheed Martin STEM Scholarship,"Scholarship program supporting students pursuing postsecondary STEM credentials. Launched in 2019, offers multiple scholarship types for students interested in science, technology, engineering, and mathematics. Focus on inspiring future engineers and scientists.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Scholarship Program,"Engineering, Technology, Mathematics, Science",College,Scholarship-funded,Remote,Application process,High,Medium,Check website annually,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,False,Professional
Lockheed Martin Vocational Scholarship,"Scholarship program for students pursuing vocational and technical STEM credentials. Supports students entering skilled trades and technical careers in aerospace, manufacturing, and defense technology. Part of broader commitment to workforce development.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Scholarship Program,"Manufacturing, Engineering Technology, Technical Trades",College,Scholarship-funded,Remote,Application process,Medium,Medium,Check website annually,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,False,Professional
Lockheed Martin Engineering Design Challenge,"Annual engineering challenge where high school teams design solutions to real aerospace and defense problems. Students receive mentorship from Lockheed Martin engineers, work on authentic challenges, and present solutions. Winners receive recognition and scholarship opportunities.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Engineering, Aerospace, Defense Technology, Design",9-12,Free,Hybrid,3-4 months,Medium,Medium,Check website annually,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,True,Professional
Lockheed Martin Space Mission Challenge,"Challenge program focused on space exploration and aerospace engineering. Students work on mission planning, satellite design, or space systems challenges. Includes virtual mentorship from Lockheed Martin space systems engineers and exposure to cutting-edge aerospace technology.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Aerospace Engineering, Space Systems, Physics, Engineering",9-12,Free,Virtual,2-3 months,Basic,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,True,Professional
Lockheed Martin Advanced Manufacturing Program,"Educational program introducing students to advanced manufacturing techniques used in defense and aerospace production. Students learn about additive manufacturing, precision machining, composite materials, and quality assurance systems through hands-on projects and engineer mentorship.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Industry Program,"Manufacturing Engineering, Materials Science, Engineering",9-12,Free,In-person,1-2 weeks,Basic,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,False,High,True,True,Basic,Select-regions,None,True,Professional
Lockheed Martin AI and Robotics Challenge,"Challenge program focused on artificial intelligence and robotics applications in defense and aerospace. Students design AI algorithms, autonomous systems, or robotic solutions to engineering problems. Includes access to simulation tools and mentorship from Lockheed Martin AI researchers.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Artificial Intelligence, Robotics, Computer Science, Engineering",9-12,Free,Virtual,2-3 months,Medium,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,True,Professional
Lockheed Martin STEM Teacher Professional Development,"Professional development program for educators teaching STEM subjects. Teachers learn about aerospace engineering, defense technology, and industry careers. Includes curriculum materials, hands-on activities, and ongoing support from Lockheed Martin education team.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Professional Development,"Engineering, Technology, Mathematics, Science",Educators,Free,Hybrid,2-3 days,None,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,None,True,Professional
Lockheed Martin Engineering Career Exploration,"Program connecting middle and high school students with Lockheed Martin engineers for career mentorship and exploration. Students learn about engineering careers in aerospace, defense, cybersecurity, and advanced technology through virtual sessions, facility tours, and project-based learning.",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Industry Program,"Engineering, Aerospace, Cybersecurity, Technology",6-12,Free,Hybrid,1 semester,None,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,None,True,Professional
STEM Education,"Advancing science, technology, engineering and mathematics (STEM) education is a critical focus for Lockheed Martin. We know firsthand the importance of educating our young people in these areas. Our future success and our nation’s technological advantage depend on a constant supply of highly trained, highly capable technical talent. We believe strongly that advancing STEM education requires collaboration among industry, educators, policymakers and families. As an industry leader in defense tech",https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,Lockheed Martin,Engineering Challenge,"Engineering, Defense Technology, Aerospace, Cybersecurity",9-12,Free,Virtual,Varies,Medium,Medium,Check Lockheed Martin website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,None,True,Professional
