name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
NOAA Student Internship Program,"Summer internship opportunities for high school and college students to work with NOAA scientists on research projects in ocean, climate, weather, and environmental science fields.",https://www.noaa.gov/office-education/opportunities,NOAA,Internship Program,"Environmental Science, Ocean Science, Climate Science",11-12,Free,Federal,8-10 weeks (summer),Medium,High,February applications,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Climate.gov Educational Resources,"Comprehensive climate science education materials, data tools, and curriculum resources for K-12 students and educators focused on climate change and variability.",https://www.climate.gov/teaching,NOAA,Federal Program,"Environmental Science, Climate Science, Earth Science",K-12,Free,Online,Self-paced,None,Medium,Open access,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Ocean Service Educational Resources,"Ocean and coastal science educational materials, virtual labs, and interactive tools for students to explore marine ecosystems, ocean exploration, and coastal processes.",https://oceanservice.noaa.gov/education/,NOAA,Federal Program,"Environmental Science, Ocean Science, Marine Biology",K-12,Free,Online,Self-paced,None,Medium,Open access,Low,False,Any,None,Free,True,True,False,High,True,False,High-speed-required,National,Optional,False,Professional
National Weather Service Education Resources,"Weather and meteorology education programs including storm spotting, weather safety, and atmospheric science concepts for students and communities.",https://www.weather.gov/education/,NOAA,Federal Program,"Environmental Science, Meteorology, Atmospheric Science",K-12,Free,Online,Self-paced,None,Medium,Open access,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Student Research Partnership,"Collaborative research opportunities for high school students to work on authentic NOAA research projects with scientist mentors, focusing on environmental and climate science.",https://www.noaa.gov/office-education/student-research,NOAA,Science Program,"Environmental Science, Climate Science, Ocean Science",10-12,Free,Hybrid,6-12 months,Medium,High,Fall applications,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Ocean Exploration Student Video Challenge,"Annual video competition where students create educational videos about ocean exploration, marine life, or ocean conservation to promote ocean literacy and awareness.",https://oceanexplorer.noaa.gov/edu/video-challenge/,NOAA,Science Program,"Environmental Science, Ocean Science, Media",6-12,Free,Virtual,2-3 months,Basic,Medium,Spring submission,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Teacher at Sea Program,"Professional development program for educators to join NOAA research expeditions, gaining hands-on experience in ocean and atmospheric science research.",https://www.noaa.gov/office-education/teacher-at-sea,NOAA,Teacher Program,"Environmental Science, Ocean Science, Climate Science",K-12,Free,Federal,1-3 weeks,High,High,Annual applications,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Ocean Guardian School Program,"Recognition program for schools implementing ocean conservation projects and marine stewardship activities, providing resources and curriculum support.",https://sanctuaries.noaa.gov/education/ocean-guardian/,NOAA,School Program,"Environmental Science, Ocean Science, Conservation",K-12,Free,School-based,School year project,None,Medium,Rolling applications,Low,False,Any,None,Free,True,True,True,High,False,True,Basic,National,Required,False,Professional
NOAA Virtual Ocean Exploration,Live and archived virtual ocean exploration experiences where students can participate in real-time deep-sea discoveries with NOAA Ocean Exploration scientists.,https://oceanexplorer.noaa.gov/edu/virtual/,NOAA,Virtual Program,"Environmental Science, Ocean Science, Marine Biology",6-12,Free,Virtual,1-2 hours per session,None,High,Scheduled events,Low,False,Any,None,Free,True,True,False,High,True,False,High-speed-required,National,Optional,False,Professional
NOAA Climate Explorer,"Interactive online tool and educational program for students to explore climate data, create visualizations, and understand climate patterns and trends.",https://toolkit.climate.gov/climate-explorer2/,NOAA,Online Program,"Environmental Science, Climate Science, Data Science",8-12,Free,Online,Self-paced exploration,Basic,Medium,Open access,Low,False,Any,None,Free,True,True,False,High,True,False,High-speed-required,National,Optional,False,Professional
NOAA Educational Partnership Program Scholarships,"Scholarship opportunities for underrepresented students pursuing careers in NOAA mission areas including ocean, atmospheric, and environmental sciences.",https://www.noaa.gov/office-education/epp,NOAA,Scholarship Program,"Environmental Science, Ocean Science, Atmospheric Science",12,Free,National,College support,High,High,Spring applications,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Marine Debris Monitoring Programs,Citizen science programs where students and communities monitor and collect data on marine debris to support NOAA research and conservation efforts.,https://marinedebris.noaa.gov/research/monitoring,NOAA,Citizen Science,"Environmental Science, Ocean Science, Conservation",6-12,Free,Field-based,Ongoing participation,None,Medium,Open enrollment,Low,False,Any,None,Free,True,True,True,High,False,True,Basic,National,Optional,False,Professional
NOAA Weather Observer Programs,Citizen science weather monitoring programs where students learn meteorological observation techniques and contribute data to national weather databases.,https://www.weather.gov/coop/,NOAA,Citizen Science,"Environmental Science, Meteorology, Data Science",8-12,Free,Local,Daily observations,Basic,Medium,Rolling enrollment,Low,False,Any,None,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional
NOAA Science Fair Project Support,"Resources, data access, and mentorship opportunities for students conducting science fair projects related to NOAA mission areas in environmental and ocean sciences.",https://www.noaa.gov/office-education/student-opportunities,NOAA,Science Program,"Environmental Science, Ocean Science, Climate Science",6-12,Free,Virtual,Project duration,Basic,Medium,Open support,Low,False,Any,None,Free,True,True,True,High,False,True,Basic,National,Optional,False,Professional
