name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
iD Tech Coding & AI Camp,"Week-long day camp teaching coding fundamentals and AI concepts. Students learn Python, machine learning basics, and create AI-powered projects.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Artificial Intelligence, Programming",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Game Design Camp,"Intensive game development camp using Unity and Unreal Engine. Students create 3D games while learning programming and design principles.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Game Design, Computer Science, Programming",6-8,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Robotics Engineering Camp,"Hands-on robotics camp with VEX and LEGO platforms. Students build and program robots while learning engineering concepts.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Robotics, Engineering, Programming",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Roblox Game Development,"Create multiplayer games on Roblox platform. Learn Lua programming and game design while building interactive experiences.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Game Design, Programming, Computer Science",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Minecraft Modding Camp,"Learn Java programming through Minecraft modding. Create custom mods and understand game development fundamentals.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Programming, Game Design, Computer Science",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Python Coding & AI,"Advanced Python programming with machine learning applications. Build AI projects including chatbots and image recognition systems.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Artificial Intelligence, Python",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Java Coding Camp,"Comprehensive Java programming course covering object-oriented programming and software development principles.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Programming, Software Engineering",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech C++ Programming Camp,"Learn C++ for game development and systems programming. Build projects while mastering advanced programming concepts.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Programming, Game Development",9-12,Paid,In-person,1 week,Medium,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Mobile App Development,"Create iOS and Android apps using Swift and Kotlin. Learn mobile development from concept to deployment.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Mobile Development, Programming",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech VR/AR Development Camp,"Build virtual and augmented reality experiences using Unity. Learn 3D development and immersive technology design.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Virtual Reality, Computer Science, Game Design",9-12,Paid,In-person,1 week,Medium,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Cybersecurity & Encryption,"Learn ethical hacking and cybersecurity fundamentals. Understand encryption, network security, and digital safety.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Cybersecurity, Computer Science, Technology",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech 3D Modeling & Printing,"Create 3D models using Blender and print designs. Learn CAD software and manufacturing principles.",https://www.idtech.com/summer-camps,iD Tech,Camp,"3D Design, Engineering, Technology",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Video Production & Editing,"Learn professional video editing with Adobe Premiere and After Effects. Create films and understand media production.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Media Production, Technology, Design",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Esports & Game Strategy,"Competitive gaming camp with strategic thinking and teamwork. Learn game analysis and professional esports skills.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Esports, Game Design, Technology",9-12,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Digital Art & Design,"Create digital artwork using Photoshop and Illustrator. Learn graphic design principles and digital illustration.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Digital Art, Design, Technology",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Web Development Camp,"Build responsive websites using HTML, CSS, and JavaScript. Learn full-stack web development fundamentals.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Web Development, Computer Science, Programming",9-12,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Drone Programming,"Program and fly drones while learning aeronautics and robotics. Combine hardware with software skills.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Robotics, Programming, Engineering",6-8,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Music Production & DJing,"Create electronic music using digital audio workstations. Learn music theory and production techniques.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Music Technology, Digital Media, Design",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Fortnite Creative Camp,"Design custom Fortnite maps and game modes. Learn level design and game mechanics.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Game Design, Programming, Technology",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech YouTube Content Creation,"Learn video production, editing, and content strategy for YouTube. Build an online presence and media skills.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Media Production, Digital Marketing, Technology",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Machine Learning & Data Science,"Introduction to data science and machine learning with Python. Analyze datasets and build predictive models.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Data Science, Artificial Intelligence, Programming",9-12,Paid,In-person,1 week,Medium,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Scratch Programming,"Visual programming with Scratch for beginners. Learn coding logic through interactive games and animations.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Programming, Game Design",3-5,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Intro to Engineering,"Hands-on engineering challenges using STEM kits. Build bridges, machines, and learn physics principles.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Engineering, Physics, Design",3-5,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Blockchain & Cryptocurrency,"Understand blockchain technology and cryptocurrency fundamentals. Learn about decentralized systems and digital assets.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Technology, Economics",9-12,Paid,In-person,1 week,Medium,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech AI Ethics & Society,"Explore ethical implications of artificial intelligence. Discuss AI bias, privacy, and responsible technology development.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Artificial Intelligence, Ethics, Computer Science",9-12,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,High,False,True,None,National,High,True,Teacher
iD Tech Advanced Unity Game Dev,"Advanced game development with Unity engine. Create complex 3D games with physics, AI, and multiplayer features.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Game Design, Computer Science, Programming",9-12,Paid,In-person,1 week,High,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Arduino Engineering,"Build electronic projects with Arduino microcontrollers. Learn circuit design and embedded programming.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Engineering, Robotics, Programming",6-8,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Photography & Photoshop,"Learn digital photography and photo editing. Master camera techniques and Adobe Photoshop skills.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Photography, Digital Art, Technology",6-8,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech App Inventor for Beginners,"Create mobile apps without coding using MIT App Inventor. Learn app design and user interface principles.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Mobile Development, Computer Science, Design",3-5,Paid,In-person,1 week,None,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Competitive Programming,"Prepare for coding competitions with algorithm training. Solve complex problems and optimize code efficiency.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Computer Science, Algorithms, Programming",9-12,Paid,In-person,1 week,High,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
iD Tech Game Art & Animation,"Create 2D and 3D game assets using professional tools. Learn character design and animation techniques.",https://www.idtech.com/summer-camps,iD Tech,Camp,"Game Design, Digital Art, Animation",6-8,Paid,In-person,1 week,Low,High,Rolling,High,True,Not required,Travel-Meals,$1000+,False,True,True,Medium,False,True,None,National,High,True,Teacher
