name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Amplify Science K - Needs of Plants and Animals,"Investigate what plants and animals need to survive and grow. Students observe living things, test environmental factors, and design solutions for animal care. Hands-on investigation with digital simulations. 6-8 weeks NGSS-aligned unit.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Life Science, Biology, Ecology, Environmental Science",K,School-Purchase,Classroom,6-8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science K - Pushes and Pulls,Explore forces through investigation and design challenges. Test how pushes and pulls affect object motion. Design and build solutions using force concepts. Includes physical materials and digital modeling. 6-8 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Physics, Forces, Motion, Engineering Design",K,School-Purchase,Classroom,6-8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science K - Sunlight and Weather,"Investigate how sunlight affects Earth and causes weather patterns. Observe sky phenomena, track weather changes, and model seasonal patterns. Combines outdoor observation with digital tools. 6-8 weeks unit.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Earth Science, Weather, Astronomy, Climate",K,School-Purchase,Classroom,6-8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 1 - Light and Sound,"Investigate properties of light and sound through investigation. Design communication devices using light and sound. Study waves, vibration, and transmission. Interactive simulations and hands-on experiments. 8 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Physics, Light, Sound, Waves, Engineering",1,School-Purchase,Classroom,8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 1 - Animal and Plant Defenses,"Explore how organisms use body parts and behaviors to survive. Study camouflage, mimicry, and defense mechanisms. Biomimicry design challenge. Includes observation activities and digital modeling. 8 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Life Science, Biology, Adaptations, Biomimicry",1,School-Purchase,Classroom,8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 1 - Spinning Earth,Investigate patterns in sky including day/night cycle and seasonal changes. Model Earth's rotation and orbit. Study how sunlight affects different locations. Digital simulations and hands-on modeling. 8 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Astronomy, Earth Science, Space Science, Patterns",1,School-Purchase,Classroom,8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 2 - Properties of Materials,Test and compare material properties. Design solutions using appropriate materials for specific purposes. Investigate reversible and irreversible changes. Hands-on testing with digital documentation. 8 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Chemistry, Materials Science, Engineering, Physical Science",2,School-Purchase,Classroom,8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 2 - Plant and Animal Relationships,"Study how plants and animals depend on each other and environment. Investigate pollination, seed dispersal, and interdependence. Design pollinator gardens. Outdoor investigations and digital simulations. 8 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Life Science, Ecology, Biology, Interdependence",2,School-Purchase,Classroom,8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 2 - Changing Landforms,"Investigate how wind, water, and ice shape Earth's surface. Model erosion and weathering processes. Design solutions to prevent erosion. Includes landform mapping and change modeling. 8 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Earth Science, Geology, Erosion, Engineering",2,School-Purchase,Classroom,8 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 3 - Balancing Forces,Investigate balanced and unbalanced forces. Design and test structures for stability. Study magnetic forces and patterns. Engineering challenges with digital force modeling. 8-10 weeks unit.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Physics, Forces, Magnetism, Engineering Design",3,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 3 - Inheritance and Traits,Study how traits pass from parents to offspring. Investigate variation within species and adaptation advantages. Fossil evidence of inherited traits. Includes breeding simulations and data analysis. 8-10 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Life Science, Genetics, Biology, Evolution",3,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 3 - Weather and Climate,Investigate weather patterns and climate differences. Collect and analyze weather data over time. Study how climate affects living things. Digital weather simulations and data graphing. 8-10 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Earth Science, Meteorology, Climate Science, Data Analysis",3,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 3 - Environments and Survival,"Study how organisms survive in different environments. Investigate adaptations, habitat requirements, and environmental changes. Design solutions for habitat protection. Field observations and digital ecosystem modeling. 8-10 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Life Science, Ecology, Adaptations, Conservation",3,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 4 - Energy Conversions,"Investigate how energy transfers and converts between forms. Study collisions, sound, light, and electrical energy. Design energy conversion devices. Hands-on experiments with digital energy modeling. 8-10 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Physics, Energy, Engineering, Physical Science",4,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 4 - Vision and Light,Study how eyes detect light and enable vision. Investigate light behavior including reflection and refraction. Design optical devices. Interactive eye models and light pathway experiments. 8-10 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Physics, Biology, Light, Vision, Engineering",4,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
Amplify Science 4 - Earth's Features,"Investigate how Earth's surface changes through weathering, erosion, and plate tectonics. Model volcanic eruptions and earthquakes. Map geological hazards and design safety solutions. 8-10 weeks.",https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Earth Science, Geology, Plate Tectonics, Natural Hazards",4,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
"Amplify Science 4 - Waves, Energy, and Information",Explore how waves transfer energy and encode information. Design communication devices using light and sound waves. Study wave patterns and digital encoding. Engineering challenges with wave applications. 8-10 weeks.,https://amplify.com/programs/amplify-science,Amplify Science,Curriculum,"Physics, Waves, Communication Technology, Engineering",4,School-Purchase,Classroom,8-10 weeks,None,High,School-Based,None,School-provided,Not required,None,School-Based,True,True,True,High,True,False,Required,National,Low,True,Teacher
