name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
TypingClub - Beginner Typing Course,"Complete beginner typing curriculum teaching home row, proper finger placement, and basic keyboarding. 600+ lessons with games and exercises. K-12 students learn touch typing from scratch. Free access with optional premium features.",https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Digital Literacy, Keyboarding",K-12,Freemium,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,Premium-Features,Free-Tier-Available,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Home Row Mastery,Foundation lessons focusing on ASDF and JKL; home row keys. Learn proper finger positioning and muscle memory development. Interactive feedback on accuracy and speed. Essential first step for touch typing.,https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Motor Skills",K-12,Free,Online,Self-paced,None,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Top Row Keys (QWERTY),"Expand typing skills to top row including Q, W, E, R, T, Y, U, I, O, P. Progressive lessons building on home row foundation. Increase speed while maintaining accuracy. Games reinforce learning.",https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding",K-12,Free,Online,Self-paced,Home row knowledge,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Bottom Row Keys (ZXCVBNM),Master bottom row letters completing full alphabet coverage. Practice finger stretching and coordination. Combine all letter rows for full keyboard proficiency. Achieve 20+ WPM typing speed.,https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding",K-12,Free,Online,Self-paced,Top row knowledge,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Capital Letters and Shift Keys,Learn proper shift key technique for capital letters. Practice both left and right shift keys. Develop capitalization habits for proper writing. Maintain speed while adding shift functionality.,https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Writing",K-12,Free,Online,Self-paced,All letter keys,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Numbers and Number Row,Add number typing to keyboard repertoire. Practice number row keys 1-0 with proper finger placement. Essential for data entry and mathematical typing. Reach 25+ WPM with numbers.,https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Data Entry",K-12,Free,Online,Self-paced,Letter proficiency,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Punctuation and Symbols,"Master punctuation marks including periods, commas, apostrophes, and quotation marks. Practice special symbols like @, #, $, %. Complete keyboard proficiency for writing and coding.",https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Writing",K-12,Free,Online,Self-paced,Numbers proficiency,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Speed Building Exercises,Increase typing speed through timed drills and exercises. Set personal WPM goals and track improvement. Practice common words and phrases. Achieve 30-40 WPM for functional typing.,https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Speed Training",K-12,Free,Online,Self-paced,Full keyboard knowledge,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Accuracy Improvement,Focus on typing accuracy and error reduction. Learn to type without looking at keyboard. Develop muscle memory and proper technique. Maintain 95%+ accuracy at comfortable speeds.,https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Precision",K-12,Free,Online,Self-paced,Basic typing skills,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Typing Games,"Game-based typing practice with interactive challenges. Race cars, pop balloons, and complete missions while typing. Engaging reinforcement of typing skills. Suitable for all ages and skill levels.",https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Gamification",K-12,Free,Online,Self-paced,Any level,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
TypingClub - Advanced Typing Course,"Advanced lessons for experienced typists. Practice complex texts, technical writing, and coding. Reach 50+ WPM with high accuracy. Professional-level keyboarding skills.",https://www.typingclub.com/,TypingClub,Learning Platform,"Computer Skills, Technology, Keyboarding, Professional Skills",6-12,Free,Online,Self-paced,30+ WPM,Low,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,International,None,False,None
