name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Elementary Metric Mastery,Students demonstrate understanding of metric units through measurement activities and conversions. Tests practical application of metric system in real-world scenarios.,https://www.soinc.org/elementary-events-2024,Science Olympiad,Science Competition,Mathematics,K-6,Low-cost,In-person,6-8 months,Basic,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Elementary Solar System,"Students answer questions about the solar system, planets, moons, and space exploration. Includes identification of celestial objects and understanding of astronomical concepts.",https://www.soinc.org/elementary-events-2024,Science Olympiad,Science Competition,"Earth Science, Astronomy",K-6,Low-cost,In-person,6-8 months,Basic,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Elementary Crime Busters,"Students use scientific investigation techniques to solve mock crimes. Involves observation, evidence analysis, and basic forensic science principles.",https://www.soinc.org/elementary-events-2024,Science Olympiad,Science Competition,"Chemistry, Forensic Science",K-6,Low-cost,In-person,6-8 months,Basic,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Anatomy and Physiology,Students demonstrate understanding of human body systems through written tests and practical identification. Covers major organ systems and their functions.,https://www.soinc.org/middle-school-events-2024,Science Olympiad,Science Competition,"Biology, Life Sciences",6-9,Low-cost,In-person,6-8 months,Medium,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Disease Detectives,"Students investigate disease outbreaks, analyze epidemiological data, and understand public health principles. Includes case studies and data interpretation.",https://www.soinc.org/middle-school-events-2024,Science Olympiad,Science Competition,"Biology, Public Health",6-9,Low-cost,In-person,6-8 months,Medium,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Experimental Design,"Students design and conduct experiments to answer scientific questions. Emphasizes scientific method, controls, variables, and data analysis.",https://www.soinc.org/middle-school-events-2024,Science Olympiad,Science Competition,"General Science, Research Methods",6-9,Low-cost,In-person,6-8 months,Medium,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Fossils,"Students identify fossils, understand geological time periods, and interpret paleontological evidence. Includes hands-on fossil identification and evolution concepts.",https://www.soinc.org/middle-school-events-2024,Science Olympiad,Science Competition,"Earth Science, Biology",6-9,Low-cost,In-person,6-8 months,Medium,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Mission Possible,Students build Rube Goldberg-style device to accomplish specific tasks through chain reactions. Tests engineering design and physics principles.,https://www.soinc.org/middle-school-events-2024,Science Olympiad,Science Competition,"Engineering, Physics",6-9,Low-cost,In-person,6-8 months,Medium,High,Regional tournament dates,Low,False,False,Equipment,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Road Scholar,"Students answer questions about maps, navigation, and geographic features. Includes topographic map reading and spatial reasoning skills.",https://www.soinc.org/middle-school-events-2024,Science Olympiad,Science Competition,"Earth Science, Geography",6-9,Low-cost,In-person,6-8 months,Basic,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Astronomy,"Students demonstrate knowledge of stellar evolution, galaxies, cosmology, and astronomical objects. Includes calculations and deep space phenomena.",https://www.soinc.org/high-school-events-2024,Science Olympiad,Science Competition,"Earth Science, Astronomy, Physics",9-12,Low-cost,In-person,6-8 months,High,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Chemistry Lab,"Hands-on chemistry laboratory event testing practical skills in chemical analysis, synthesis, and safety procedures. Includes qualitative and quantitative analysis.",https://www.soinc.org/high-school-events-2024,Science Olympiad,Science Competition,Chemistry,9-12,Low-cost,In-person,6-8 months,High,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Codebusters,"Students solve various types of codes and ciphers, including historical and modern cryptographic methods. Tests pattern recognition and logical thinking.",https://www.soinc.org/high-school-events-2024,Science Olympiad,Science Competition,"Mathematics, Computer Science",9-12,Low-cost,In-person,6-8 months,Medium,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Detector Building,"Students build device to detect and measure electromagnetic radiation. Tests understanding of electronics, sensors, and measurement principles.",https://www.soinc.org/high-school-events-2024,Science Olympiad,Science Competition,"Engineering, Physics",9-12,Low-cost,In-person,6-8 months,High,High,Regional tournament dates,Low,False,False,Equipment,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
Environmental Chemistry,Students analyze environmental samples and understand chemical processes in ecosystems. Includes water quality testing and pollution analysis.,https://www.soinc.org/high-school-events-2024,Science Olympiad,Science Competition,"Chemistry, Environmental Science",9-12,Low-cost,In-person,6-8 months,High,High,Regional tournament dates,Low,False,False,Low,Under-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
