name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Code Ninjas Core Program - CREATE Track,"Year-round coding program for ages 7-14. Progress through color-coded belt system while building games. Learn JavaScript, Lua, C#, and game design. Drop-in format with personalized learning.",https://www.codeninjas.com/programs,Code Ninjas,Afterschool Program,"Computer Science, Game Design, Programming",2-8,Paid,In-person,Year-round (2-3 hours/week),None,High,Rolling,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Code Ninjas JR - Ages 5-7,"Introduction to coding for younger kids ages 5-7. Visual block-based coding with age-appropriate projects. Foundation skills in logic, problem-solving, and computational thinking.",https://www.codeninjas.com/programs,Code Ninjas,Afterschool Program,"Computer Science, Logic, Problem Solving",K-2,Paid,In-person,Year-round (1-2 hours/week),None,High,Rolling,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Code Ninjas Core Program - White Belt Level,Beginner level coding using visual programming. Learn fundamental coding concepts through game creation. Scratch and block-based coding introduction.,https://www.codeninjas.com/programs,Code Ninjas,Afterschool Program,"Computer Science, Programming, Game Design",2-6,Paid,In-person,3-6 months,None,High,Rolling,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,High,True,Teacher
Code Ninjas Core Program - Yellow/Orange Belt,"Intermediate coding with JavaScript and Lua. Create more complex games with advanced mechanics. Learn functions, loops, and variables through game development.",https://www.codeninjas.com/programs,Code Ninjas,Afterschool Program,"Computer Science, JavaScript, Game Design",3-8,Paid,In-person,6-12 months,Low,High,Rolling,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,Medium,True,Teacher
Code Ninjas Core Program - Black Belt Level,Advanced coding mastery with original game development. Create fully functional games from scratch. Portfolio-ready projects and mentorship opportunities.,https://www.codeninjas.com/programs,Code Ninjas,Afterschool Program,"Computer Science, Game Development, Programming",5-8,Paid,In-person,12-24 months total progression,High,High,Rolling,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,Low,True,Teacher
Code Ninjas Summer Camp - Game Building,Week-long summer camp focused on game design and development. Build complete games using various programming languages. Full-day immersive coding experience.,https://www.codeninjas.com/camps,Code Ninjas,Camp,"Computer Science, Game Design, Programming",2-8,Paid,In-person,1 week (full day),None,High,Summer registration,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,Medium,True,Teacher
Code Ninjas Summer Camp - Roblox,"Learn to create Roblox games with Lua programming. Design game worlds, code gameplay mechanics, and publish to Roblox platform. Week-long intensive camp.",https://www.codeninjas.com/camps,Code Ninjas,Camp,"Computer Science, Game Design, Lua Programming",3-8,Paid,In-person,1 week (full day),None,High,Summer registration,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,Required,Regional,Medium,True,Teacher
Code Ninjas Summer Camp - Minecraft,"Code in Minecraft using JavaScript. Create mods, custom game modes, and automated builds. Combine gaming with programming education.",https://www.codeninjas.com/camps,Code Ninjas,Camp,"Computer Science, Programming, Game Design",2-7,Paid,In-person,1 week (full day),None,High,Summer registration,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,Required,Regional,Medium,True,Teacher
Code Ninjas Summer Camp - Robotics,"Build and program robots using VEX or LEGO platforms. Learn mechanical engineering, sensors, and automation. Hands-on robotics challenges.",https://www.codeninjas.com/camps,Code Ninjas,Camp,"Robotics, Engineering, Programming",3-8,Paid,In-person,1 week (full day),None,High,Summer registration,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,Medium,True,Teacher
Code Ninjas Camps - School Break Sessions,"Winter break, spring break, and holiday coding camps. Themed coding projects during school vacations. Multi-day intensive learning experiences.",https://www.codeninjas.com/camps,Code Ninjas,Camp,"Computer Science, Game Design, Programming",2-8,Paid,In-person,2-5 days (full day),None,High,Break session dates,High,Limited,Optional,Materials,$500-$1000,False,True,True,Medium,False,True,None,Regional,Medium,True,Teacher
