name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Astronaut Scholarship Foundation - Undergraduate STEM Scholarship,"$15,000 scholarship for outstanding college sophomores and juniors pursuing degrees in STEM fields. Established by Mercury 7 astronauts to support future leaders in science and technology. Recipients join prestigious network of astronaut scholars.",https://www.astronautscholarship.org/scholarships.html,Astronaut Scholarship Foundation,Scholarship,"Aerospace Engineering, Engineering, Physical Sciences, Computer Science",College Sophomore-Junior,Free to apply,Virtual,1-2 hours application,Advanced,High,Nominated by participating universities,None,N/A - This is financial aid,No,None,Free,False,True,False,Medium,True,No,High,Participating universities only,No,High,High
Astronaut Scholarship Foundation - High School STEM Recognition Award,Recognition program for exceptional high school seniors demonstrating outstanding achievement in STEM. Winners receive certificates and recognition from astronaut scholars. Encourages pursuit of STEM careers.,https://www.astronautscholarship.org/high-school-recognition.html,Astronaut Scholarship Foundation,Program,"Aerospace, Engineering, Physical Sciences, Mathematics",12,Free,Virtual,Application only,Advanced,Medium,March 1 annually,None,N/A,No,None,Free,False,True,False,Medium,True,No,High,National,No,Low,Low
Astronaut Scholarship Foundation - STEM Excellence Award,"$5,000 one-time scholarship for high school seniors planning to major in aerospace engineering, physical sciences, or related STEM fields. Must demonstrate exceptional academic achievement and passion for space exploration.",https://www.astronautscholarship.org/stem-excellence.html,Astronaut Scholarship Foundation,Scholarship,"Aerospace Engineering, Physics, Astronomy, Engineering",12,Free to apply,Virtual,1-2 hours application,Advanced,Medium,February 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,False,Medium,True,No,High,National,No,Medium,Medium
Astronaut Scholarship Foundation - Annual Scholar Summit,"Multi-day summit bringing together astronaut scholars, high school students, and space industry professionals. Features workshops, networking, astronaut speakers, and facility tours. Opportunity to learn from spaceflight legends.",https://www.astronautscholarship.org/scholar-summit.html,Astronaut Scholarship Foundation,Program,"Aerospace, Engineering, Space Science, Technology",11-12,$200-$400 registration,In-Person,3 days,Intermediate-Advanced,High,June 1 annually,Medium,Limited scholarships available,Yes,Medium,$100-$500,False,True,True,Medium,Conditional,Yes,Low,"Kennedy Space Center, FL",No,High,High
Astronaut Scholarship Foundation - Innovators Program,Year-long mentorship and project program for high school students interested in aerospace innovation. Participants develop space-related projects with guidance from engineers and astronaut scholars.,https://www.astronautscholarship.org/innovators-program.html,Astronaut Scholarship Foundation,Program,"Aerospace Engineering, Innovation, Space Technology",10-12,Free,Virtual,5-10 hours per month for school year,Intermediate-Advanced,High,September 15 annually,None,N/A,No,None,Free,False,True,True,Medium,True,No,High,National - Virtual,No,High,High
Astronaut Scholarship Foundation - Space Exploration Essay Contest,"Annual essay competition for high school students on topics related to space exploration, aerospace engineering, and STEM careers. Winners receive scholarships and recognition. Essays judged by astronauts and scientists.",https://www.astronautscholarship.org/essay-contest.html,Astronaut Scholarship Foundation,Competition,"Aerospace, Space Science, STEM Communication",9-12,Free to enter,Virtual,10-20 hours essay development,Intermediate,Low,January 31 annually,None,Prize scholarships for winners,No,None,Free,False,True,False,Medium,True,No,High,National,No,Low,None
Astronaut Scholarship Foundation - Women in Aerospace Scholarship,"$3,000 scholarship for female high school seniors planning to pursue aerospace engineering or space sciences. Encourages women to enter aerospace field. Recipients invited to special networking events.",https://www.astronautscholarship.org/women-aerospace.html,Astronaut Scholarship Foundation,Scholarship,"Aerospace Engineering, Space Sciences, Astronomy",12,Free to apply,Virtual,1-2 hours application,Advanced,High,February 15 annually,None,N/A - This is financial aid,No,None,Free,True,True,False,Medium,True,No,High,National,No,High,High
Astronaut Scholarship Foundation - Future Space Leaders Program,"Leadership development program for high school students interested in space careers. Includes virtual workshops, guest speakers from NASA and space industry, and capstone project presentations.",https://www.astronautscholarship.org/future-leaders.html,Astronaut Scholarship Foundation,Program,"Aerospace, Space Science, Leadership, Engineering",10-12,Free,Virtual,"6 months, 2 hours per week",Intermediate,High,August 31 annually,None,N/A,No,None,Free,False,True,True,Medium,True,No,High,National - Virtual,No,High,High
Astronaut Scholarship Foundation - STEM Research Grant for High School,"$1,000 research grant for high school students conducting independent STEM research related to aerospace, physics, or engineering. Includes mentorship from university researchers.",https://www.astronautscholarship.org/research-grant.html,Astronaut Scholarship Foundation,Scholarship,"Aerospace, Physics, Engineering, Research",11-12,Free to apply,Virtual,6-12 months research,Advanced,High,October 1 annually,None,N/A - This is financial aid,No,None,Free,False,True,True,Medium,True,No,Moderate,National,No,Medium,High
Astronaut Scholarship Foundation - Kennedy Space Center Experience,"One-week immersive program at Kennedy Space Center for high school students. Includes behind-the-scenes tours, meetings with engineers, astronaut Q&A, and hands-on engineering challenges.",https://www.astronautscholarship.org/ksc-experience.html,Astronaut Scholarship Foundation,Program,"Aerospace, Space Exploration, Engineering",10-12,"$800-$1,200",In-Person,1 week residential summer,Intermediate,High,April 1 annually,Medium,Need-based scholarships available,Yes,Medium,$500-$1000,False,True,True,Medium,Conditional,Yes,Low,"Kennedy Space Center, FL",No,High,High
