name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
VEX IQ Competition,"Elementary and middle school robotics competition for ages 8-14. Teams design and build robots using VEX IQ system to compete in game-based challenges. Includes teamwork, robot skills, and STEM research project components.",https://www.vexrobotics.com/vexiq/competition,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",4-8,300-800,In-person,4-6 months,None,High,August-May (competition season),Medium,False,False,Travel,$300-800,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX Robotics Competition (VRC),"High school robotics competition for ages 14-18. Teams build robots using VEX V5 system to compete in strategic game challenges. Features alliance matches, skills challenges, and design awards at local, regional, and world championship levels.",https://www.vexrobotics.com/v5/competition/vrc-competition,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",9-12,800-2000,In-person,6-8 months,Basic,High,August-May (competition season),Medium,False,False,Travel,$800-2000,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX U Competition,University-level robotics competition for college students. Teams design custom robots with fewer restrictions than high school competition. Emphasizes advanced engineering design and autonomous programming capabilities.,https://www.vexrobotics.com/competition/vexu,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",College,1000-2500,In-person,6-8 months,Medium,High,August-May (competition season),Medium,False,False,Travel,$1000-2500,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX IQ Cooperative Competition,"Modified VEX IQ competition format emphasizing collaboration over competition. Teams work together to achieve common goals, promoting STEM learning and teamwork for younger students aged 6-11.",https://www.vexrobotics.com/vexiq/competition,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",K-5,200-500,In-person,3-4 months,None,High,August-May (competition season),Medium,False,False,Travel,$200-500,True,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX Robotics World Championship,"Premier international robotics competition bringing together top VEX teams from around the world. Features VEX IQ, VRC, and VEX U divisions with over 1,600 teams competing in Louisville, Kentucky.",https://www.vexrobotics.com/competition/worlds,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",4-12,2000-5000,In-person,8+ months,High,High,August-May (competition season),Medium,False,False,High-travel,$2000-5000,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX Robotics Skills Challenge,Individual team skills competition component of VEX competitions. Teams compete in driver skills and autonomous skills challenges to qualify for championship events and earn recognition.,https://www.vexrobotics.com/competition,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",4-12,0-100,In-person,2-3 months,Basic,High,August-May (competition season),Medium,False,False,Travel,Free-$100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX IQ STEM Research Project,"Research component of VEX IQ competition where teams investigate real-world STEM problems related to the game theme. Teams present their findings to judges, developing presentation and research skills.",https://www.vexrobotics.com/vexiq/competition,VEX Robotics,Robotics Competition,"Research, Communication, STEM Investigation",4-8,50-200,In-person,2-4 months,None,High,August-May (competition season),Medium,False,False,Travel,$50-200,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX Robotics Design Award Competition,"Engineering design documentation and presentation competition within VEX events. Teams maintain engineering notebooks and present their design process to judges, emphasizing STEM learning over robot performance.",https://www.vexrobotics.com/competition,VEX Robotics,Robotics Competition,"Engineering Design, Documentation, Communication",4-12,25-100,In-person,4-6 months,Basic,High,August-May (competition season),Medium,False,False,Travel,$25-100,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX Girls Powered Program,"Initiative to encourage girls participation in VEX Robotics through mentorship, all-girls teams, and special recognition. Provides resources and support for female students in STEM robotics.",https://www.vexrobotics.com/girls-powered,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",4-12,0-50,In-person,1-2 months,None,High,August-May (competition season),Medium,True,False,Travel,Free-$50,True,True,True,Medium,True,True,Basic,National,Optional,True,Adult
VEX Robotics Signature Events,"Premium regional competitions with enhanced awards, recognition, and qualification opportunities for VEX Worlds. Features top-tier competition experience with additional STEM activities and networking.",https://www.vexrobotics.com/competition/signature-events,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",6-12,500-1500,In-person,6-8 months,Medium,High,August-May (competition season),Medium,False,False,Travel,$500-1500,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult
