name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Learn Python 3,"Learn the basics of Python 3, one of the most powerful, versatile, and in-demand programming languages today. Build foundational programming skills through interactive lessons and projects.",https://www.codecademy.com/learn/learn-python-3,Codecademy,Online Course,"Computer Science, Programming",9-12,Free,Online,25 hours,None,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn Java,Learn Java programming fundamentals including object-oriented programming concepts. Java is widely used in enterprise applications and Android development.,https://www.codecademy.com/learn/learn-java,Codecademy,Online Course,"Computer Science, Programming",9-12,Free,Online,25 hours,None,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn JavaScript,Learn JavaScript fundamentals and start building interactive web applications. JavaScript is essential for modern web development and used across the tech industry.,https://www.codecademy.com/learn/introduction-to-javascript,Codecademy,Online Course,"Computer Science, Web Development",9-12,Free,Online,20 hours,None,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn HTML & CSS,Learn the fundamentals of web development with HTML and CSS. Create and style your own websites from scratch using the building blocks of the web.,https://www.codecademy.com/learn/learn-html,Codecademy,Online Course,"Computer Science, Web Development",8-12,Free,Online,15 hours,None,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn SQL,Learn SQL to communicate with databases and analyze data. SQL is essential for data analysis and used by virtually every company that stores data.,https://www.codecademy.com/learn/learn-sql,Codecademy,Online Course,"Computer Science, Data Science",10-12,Free,Online,20 hours,None,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn R,"Learn R programming for statistical analysis and data visualization. R is widely used in data science, research, and statistical computing.",https://www.codecademy.com/learn/learn-r,Codecademy,Online Course,"Computer Science, Data Science",10-12,Free,Online,20 hours,Basic,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Data Scientist Career Path,"Learn Python, SQL, statistics, and machine learning to become a data scientist. Build a portfolio of data science projects and gain job-ready skills through hands-on practice.",https://www.codecademy.com/learn/paths/data-science,Codecademy,Programming Course,"Computer Science, Data Science",College,Paid,Online,6 months,Basic,High,Self-paced,Low,False,Any,None,$100-500,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Web Development Career Path,"Learn front-end and back-end web development skills including HTML, CSS, JavaScript, React, Node.js, and databases. Build full-stack web applications.",https://www.codecademy.com/learn/paths/web-development,Codecademy,Programming Course,"Computer Science, Web Development",10-12,Paid,Online,5-7 months,None,High,Self-paced,Low,False,Any,None,$100-500,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Computer Science Career Path,"Learn fundamental computer science concepts including algorithms, data structures, and programming principles. Build a strong foundation for advanced CS studies.",https://www.codecademy.com/learn/paths/computer-science,Codecademy,Programming Course,"Computer Science, Programming",10-12,Paid,Online,6-8 months,Basic,High,Self-paced,Low,False,Any,None,$100-500,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn React,"Learn React, a powerful JavaScript library for building user interfaces. Create dynamic and interactive web applications with component-based architecture.",https://www.codecademy.com/learn/react-101,Codecademy,Online Course,"Computer Science, Web Development",10-12,Paid,Online,20 hours,Medium,Medium,Self-paced,Low,False,Any,None,$100-500,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn Git & GitHub,Learn version control with Git and collaborative coding with GitHub. Essential skills for any programmer working on projects individually or in teams.,https://www.codecademy.com/learn/learn-git,Codecademy,Online Course,"Computer Science, Programming",9-12,Free,Online,10 hours,Basic,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn Machine Learning,"Introduction to machine learning concepts using Python. Learn supervised learning, data preprocessing, and model evaluation techniques for beginners.",https://www.codecademy.com/learn/machine-learning,Codecademy,Online Course,"Computer Science, Data Science",11-12,Paid,Online,15 hours,Medium,Medium,Self-paced,Low,False,Any,None,$100-500,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Learn Command Line,"Master the command line interface to navigate file systems, manage files, and run programs efficiently. Essential skill for all programmers and developers.",https://www.codecademy.com/learn/learn-the-command-line,Codecademy,Online Course,"Computer Science, Programming",9-12,Free,Online,8 hours,None,Medium,Self-paced,None,False,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
"Build a Website with HTML, CSS, and GitHub Pages","Hands-on project course where students build and deploy a personal website using HTML, CSS, and GitHub Pages. Learn web development through practical application.",https://www.codecademy.com/learn/make-a-website,Codecademy,Online Course,"Computer Science, Web Development",8-12,Free,Online,4 hours,None,Medium,Self-paced,None,True,Any,None,Free,False,True,True,Low,True,False,High-speed-required,National,None,False,None
Create Interactive Websites with JavaScript,Build interactive websites using JavaScript DOM manipulation. Learn to create dynamic web pages that respond to user interactions and events.,https://www.codecademy.com/learn/build-interactive-websites,Codecademy,Online Course,"Computer Science, Web Development",9-12,Paid,Online,15 hours,Basic,Medium,Self-paced,Low,False,Any,None,$100-500,False,True,True,Low,True,False,High-speed-required,National,None,False,None
