name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Gizmos - Fraction Garden,"Interactive simulation exploring fraction concepts through visual garden plots. Plant flowers representing fractions, compare sizes, and find equivalent fractions. Grades 3-5 develop fraction sense through hands-on virtual manipulation.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Fractions, Visual Math, Number Sense",3-5,Paid,Online,Per-Lesson,Basic arithmetic,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Area and Perimeter,Build and measure rectangles to explore area and perimeter relationships. Interactive grid for creating shapes and calculating dimensions. Grades 3-5 develop spatial reasoning and measurement skills.,https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Geometry, Measurement, Spatial Reasoning",3-5,Paid,Online,Per-Lesson,Basic multiplication,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Solving Linear Equations,Interactive algebra tiles for solving one and two-step equations. Visual representation of equation solving with balance method. Grades 6-8 develop algebraic thinking and equation solving strategies.,https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Algebra, Equations, Problem Solving",6-8,Paid,Online,Per-Lesson,Basic arithmetic,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Graphing Linear Functions,Explore slope-intercept form by manipulating graphs and equations. Interactive coordinate plane for visualizing linear relationships. Grades 7-9 connect algebraic and graphical representations.,https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Algebra, Graphing, Functions",7-9,Paid,Online,Per-Lesson,Pre-algebra,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Pythagorean Theorem,Visual proof and application of Pythagorean theorem. Build right triangles and calculate missing sides. Grades 7-9 develop geometric reasoning and measurement skills.,https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Geometry, Pythagorean Theorem, Measurement",7-9,Paid,Online,Per-Lesson,Basic geometry,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Probability and Statistics,"Simulate probability experiments and analyze statistical data. Roll dice, spin spinners, and collect data for analysis. Grades 6-8 develop data literacy and probabilistic thinking.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Statistics, Probability, Data Analysis",6-8,Paid,Online,Per-Lesson,Basic arithmetic,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Quadratic Functions,"Explore parabolas by manipulating coefficients in quadratic equations. Visualize vertex form, intercepts, and transformations. Grades 9-11 develop understanding of quadratic relationships.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Algebra II, Quadratics, Functions",9-11,Paid,Online,Per-Lesson,Algebra I,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Trigonometric Functions,"Interactive unit circle and trig function graphs. Explore sine, cosine, and tangent relationships. Grades 10-12 develop trigonometric reasoning and function analysis.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Trigonometry, Functions, Geometry",10-12,Paid,Online,Per-Lesson,Algebra II,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Exponential Growth and Decay,"Model exponential functions in real-world contexts. Simulate population growth, radioactive decay, and compound interest. Grades 9-12 apply exponential functions to authentic problems.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Algebra II, Exponentials, Modeling",9-12,Paid,Online,Per-Lesson,Algebra I,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Calculus: Limits and Derivatives,"Interactive exploration of limit concepts and derivative calculations. Visualize tangent lines, rates of change, and function behavior. Grades 11-12 develop calculus foundations.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Mathematics, Calculus, Derivatives, Limits",11-12,Paid,Online,Per-Lesson,Pre-calculus,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Cell Structure,Explore plant and animal cell organelles through interactive 3D models. Identify structures and learn functions. Grades 6-8 develop cellular biology understanding.,https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Life Science, Biology, Cell Biology, Anatomy",6-8,Paid,Online,Per-Lesson,None,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Photosynthesis Lab,"Simulate photosynthesis experiments varying light, CO2, and temperature. Measure oxygen production and plant growth. Grades 7-10 investigate factors affecting photosynthesis.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Life Science, Biology, Photosynthesis, Experimental Design",7-10,Paid,Online,Per-Lesson,Basic biology,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
Gizmos - Heredity and Genetics,"Model genetic crosses using Punnett squares and pedigrees. Explore dominant, recessive, and sex-linked traits. Grades 7-10 develop genetics problem-solving skills.",https://gizmos.explorelearning.com/,ExploreLearning Gizmos,Learning Platform,"Life Science, Genetics, Heredity, Punnett Squares",7-10,Paid,Online,Per-Lesson,Basic biology,High,Rolling,Medium,School-based,Optional,Subscription,$100-$500,True,True,True,Medium,True,False,Required,International,Low,False,Teacher
