name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
Kode With Klossy Virtual Web Development Camp,"Free 2-week virtual coding camp for girls ages 13-18 teaching HTML, CSS, and JavaScript. Build websites and web applications through project-based learning with experienced instructors. Daily live instruction, hands-on coding projects, and peer collaboration. No prior coding experience required.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, HTML, CSS, JavaScript",7-12,Free,Virtual,2 weeks (approximately 3-4 hours/day),None,High,Rolling admissions (typically March-April),None,Fully funded scholarship,None,None,Free,Girls in technology,True,True,High,True,False,High-speed-required,National,Parental consent required,True,Professional
Kode With Klossy Virtual Mobile App Development Camp,"Free 2-week virtual coding camp teaching Swift programming for iOS app development. Girls ages 13-18 learn to design and build mobile applications for iPhone and iPad. Covers user interface design, coding fundamentals, and app deployment. All materials and software provided.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Mobile Development, Swift, iOS Development",7-12,Free,Virtual,2 weeks (approximately 3-4 hours/day),None,High,Rolling admissions (typically March-April),None,Fully funded scholarship,None,None,Free,Girls in technology,True,True,High,True,False,High-speed-required,National,Parental consent required,True,Professional
Kode With Klossy New York City In-Person Coding Camp,"Free 2-week intensive in-person coding camp in New York City for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,Northeastern,Parental consent required,True,Professional
Kode With Klossy Los Angeles In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Los Angeles for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,Western,Parental consent required,True,Professional
Kode With Klossy Chicago In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Chicago for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,Midwest,Parental consent required,True,Professional
Kode With Klossy San Francisco In-Person Coding Camp,"Free 2-week intensive in-person coding camp in San Francisco for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,Western,Parental consent required,True,Professional
Kode With Klossy Austin In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Austin for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,South,Parental consent required,True,Professional
Kode With Klossy Miami In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Miami for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,South,Parental consent required,True,Professional
Kode With Klossy Seattle In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Seattle for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,Western,Parental consent required,True,Professional
Kode With Klossy Boston In-Person Coding Camp,"Free 2-week intensive in-person coding camp in Boston for girls ages 13-18. Choose from web development (HTML/CSS/JavaScript) or mobile app development (Swift) tracks. Hands-on instruction from industry professionals, collaborative projects, field trips to tech companies, and networking with women in tech. Includes all meals, materials, and local activities.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, Mobile Development, Swift, JavaScript",7-12,Free,In-person residential or day camp,"2 weeks (full-day, 9am-5pm)",None,High,Rolling admissions (typically March-April),None,Fully funded scholarship including meals,None,Low,Free,Girls in technology,True,True,High,False,True,Basic,Northeastern,Parental consent required,True,Professional
