name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
MIT Engineering Summer Camp for High School,"Intensive 4-week residential program at MIT for high school students. Hands-on engineering projects in electrical, mechanical, and computer engineering. Work with MIT students and faculty on real engineering challenges.",https://summer.mit.edu/high-school-engineering,Massachusetts Institute of Technology,Camp,"Engineering, Electrical Engineering, Mechanical Engineering, Computer Engineering",10-12,"$4,500-$6,000",In-Person,4 weeks residential summer,Intermediate-Advanced,High,March 15 annually,High,Need-based scholarships available,Yes,Medium,$1000+,True,True,True,High,Conditional,Yes,Low,"Cambridge, MA",No,High,High
Stanford Pre-Collegiate Summer Engineering Academy,"Three-week residential program introducing high school students to engineering disciplines. Design projects, lab work, campus tours, and college prep. Led by Stanford faculty and graduate students.",https://spcs.stanford.edu/engineering-academy,Stanford University,Camp,"Engineering, Design, Technology, Innovation",9-11,"$5,000-$7,000",In-Person,3 weeks residential summer,Intermediate,High,April 1 annually,High,Limited scholarships available,Yes,Medium,$1000+,True,True,True,High,Conditional,Yes,Low,"Palo Alto, CA",No,High,High
Carnegie Mellon Robotics Academy Summer Camp,"One-week day camp for middle school students focused on robotics and programming. Build and program robots, learn engineering design process. Multiple sessions throughout summer.",https://www.cmu.edu/robotics-academy/summer-camps/,Carnegie Mellon University,Camp,"Robotics, Engineering, Programming, Design",6-8,"$800-$1,200",In-Person,1 week day camp,Beginner,High,May 1 annually,Medium,Scholarships available,Yes,Low,$500-$1000,True,True,True,High,Conditional,Yes,Low,"Pittsburgh, PA",Medium,High,High
Georgia Tech Engineering Summer Camps,"Week-long residential and day camps for different age groups. Topics include aerospace, biomedical, civil, and computer engineering. Hands-on projects and facility tours.",https://ce.gatech.edu/summer-camps,Georgia Institute of Technology,Camp,"Aerospace Engineering, Biomedical Engineering, Civil Engineering, Computer Engineering",9-12,"$1,000-$1,800",In-Person,1 week,Beginner-Intermediate,High,April 15 annually,Medium,Limited aid available,Yes,Medium,$1000+,True,True,True,High,Conditional,Yes,Low,"Atlanta, GA",Low,High,High
iD Tech Engineering and Robotics Camps,"Week-long camps at university locations nationwide. Engineering and robotics courses for ages 7-18. Small class sizes, personalized instruction. Day and overnight options available.",https://www.idtech.com/engineering-camps,iD Tech,Camp,"Engineering, Robotics, Design, Programming",K-12,"$1,200-$2,000 per week",In-Person,1 week,Beginner-Intermediate,High,Rolling admissions,High,Scholarships available,Yes,Medium,$1000+,True,True,True,Medium,Conditional,Yes,Low,Multiple locations nationwide,Low,High,High
UC Berkeley Engineering Summer Academy,"Two-week residential program for high school students exploring engineering fields. Laboratory experiences, design projects, and guest speakers from industry. Emphasis on diversity in engineering.",https://engineering.berkeley.edu/summer-programs,UC Berkeley College of Engineering,Camp,"Engineering, All Engineering Disciplines, Design",10-12,"$3,000-$4,500",In-Person,2 weeks residential,Intermediate,High,March 31 annually,High,Need-based aid available,Yes,Medium,$1000+,True,True,True,High,Conditional,Yes,Low,"Berkeley, CA",No,High,High
Purdue Engineering Summer Camps,"Week-long camps for grades 6-12 covering various engineering disciplines. Hands-on projects, lab tours, and college preparation. Multiple camp options by age and interest.",https://engineering.purdue.edu/Engr/Summer,Purdue University,Camp,"Engineering, Mechanical Engineering, Electrical Engineering, Civil Engineering",6-12,"$600-$1,200",In-Person,1 week,Beginner-Intermediate,High,May 1 annually,Medium,Limited scholarships,Yes,Medium,$500-$1000,True,True,True,High,Conditional,Yes,Low,"West Lafayette, IN",Low,High,High
Engineering For Kids - Summer Camps,"Franchise-based engineering camps for ages 4-14 in communities nationwide. Week-long programs covering different engineering themes. LEGO engineering, robotics, and design challenges.",https://www.engineeringforkids.com/summer-camps,Engineering For Kids,Camp,"Engineering, Robotics, Design, LEGO Engineering",K-8,$300-$500 per week,In-Person,1 week day camp,Beginner,High,Rolling admissions,Medium,Varies by location,Varies,Low,$100-$500,False,True,False,Medium,True,Yes,Low,Multiple locations nationwide,Medium,Medium,Medium
UT Austin Engineering Summer Academy,"Two-week residential program introducing high school students to engineering at UT Austin. Design projects, laboratory experiences, and presentations. Explore mechanical, electrical, and chemical engineering.",https://www.engr.utexas.edu/summer-academy,University of Texas at Austin,Camp,"Mechanical Engineering, Electrical Engineering, Chemical Engineering",10-12,"$2,500-$3,500",In-Person,2 weeks residential,Intermediate,High,April 1 annually,High,Need-based scholarships,Yes,Medium,$1000+,True,True,True,High,Conditional,Yes,Low,"Austin, TX",No,High,High
Michigan Tech Summer Youth Programs - Engineering,"Week-long engineering camps for middle and high school students. Topics include civil engineering, mechanical engineering, and robotics. Hands-on projects in university labs.",https://www.mtu.edu/syp/programs/engineering/,Michigan Technological University,Camp,"Civil Engineering, Mechanical Engineering, Robotics, Engineering",6-12,$500-$900,In-Person,1 week,Beginner-Intermediate,High,May 15 annually,Medium,Scholarships available,Yes,Medium,$500-$1000,True,True,True,Medium,Conditional,Yes,Low,"Houghton, MI",Low,High,High
