name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
SWENext,"Free program for students ages 5-18 to join the SWE engineering and technology community. Inspire creativity and curiosity in STEM. Networking opportunities with peers and professionals. Diverse, welcoming community open to all genders. Connect with role models and gain engineering exposure.",https://swe.org/k-12-outreach/,Society of Women Engineers,Engineering Program,"Engineering, Technology",K-12,Free,Hybrid,Flexible,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
SWENext Clubs,"Local student clubs connecting communities of students, advocates, and SWE members. School-based or community clubs providing engineering activities, mentorship, and peer support. Led by students with guidance from adult advocates. Build engineering skills and leadership. Access SWE resources and programs.",https://swe.org/k-12-outreach/,Society of Women Engineers,Student Organization,"Engineering, Technology",K-12,Free,In-person,Academic year,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,False,True,Basic,National,Optional,True,Professional
SWENext Influencers,"Leadership development program for students to share STEM passion and gain leadership experience. Opportunities to advocate for engineering, inspire peers, and develop public speaking skills. Build confidence and communication abilities. Connect with other student leaders nationwide.",https://swe.org/k-12-outreach/,Society of Women Engineers,Leadership Program,"Engineering, Technology",6-12,Free,Hybrid,Flexible,Medium,High,Check SWE website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional
SWENext Awards,"Recognition program celebrating students making impact in local STEM communities. Awards for leadership, innovation, community service, and engineering projects. Highlights student achievements and contributions. Encourages continued STEM involvement and leadership.",https://swe.org/k-12-outreach/,Society of Women Engineers,Recognition Program,"Engineering, Technology",K-12,Free,Online,Application,Medium,High,Check SWE website,None,False,False,None,Free,True,True,False,High,True,False,High-speed-required,National,Optional,True,Professional
SWENext High School Leadership Academy (SHLA),"Virtual year-round program for high school students building self-confidence and resilience. Leadership development, skill-building workshops, and peer networking. Application opens annually in July, closes in August. Interactive sessions with women engineers. Personal growth and leadership training.",https://swe.org/k-12-outreach/,Society of Women Engineers,Leadership Program,"Engineering, Technology",9-12,Free,Online,Year-round,Medium,High,Annual-August,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
SWENext Connect,"Program connecting students with peers, local SWE members, and industry experts. Mentoring sessions, engagement challenges, and networking opportunities. Build professional connections and gain career insights. Access to women engineers as mentors. Virtual and in-person networking events.",https://swe.org/k-12-outreach/,Society of Women Engineers,Mentorship Program,"Engineering, Technology",K-12,Free,Hybrid,Flexible,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional
STEM Pathways,"Online library exploring engineering disciplines with digital workbook and career profiles. Self-paced learning about various engineering fields. Includes videos, activities, and professional profiles. Helps students explore engineering career options. Free digital resource.",https://swe.org/k-12-outreach/,Society of Women Engineers,Educational Resource,"Engineering, Technology",K-12,Free,Online,Self-paced,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
Constance and Nano Comics,Free downloadable educational comics demonstrating engineering problem-solving. Engaging stories featuring diverse characters solving real-world problems with engineering. Available in multiple languages. Makes engineering accessible and fun. Suitable for classroom or individual reading.,https://swe.org/k-12-outreach/,Society of Women Engineers,Educational Resource,"Engineering, Technology",K-8,Free,Online,Self-paced,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
SWE Emerging First Year Scholars Scholarship,Scholarship for high school seniors entering first year of undergraduate engineering studies. Part of SWE $1+ million annual scholarship program. Competitive application process through SWE online portal. Supports women pursuing engineering degrees. Application opens annually.,https://swe.org/scholarships/,Society of Women Engineers,Scholarship,"Engineering, Technology",12,Scholarship-funded,Online,Application,High,High,Check SWE website,None,True,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
SWENext Summer Engineering Programs,"Summer engineering camps and workshops organized by local SWE sections nationwide. Hands-on engineering activities, lab tours, and mentorship. Duration and format vary by location. Connect with women engineers and explore engineering careers. Application through local SWE sections.",https://swe.org/k-12-outreach/,Society of Women Engineers,Engineering Program,"Engineering, Technology",6-12,Varies,In-person,1-2 weeks,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,False,True,Basic,National,Optional,True,Professional
SWE WE Local Outreach Events,"Community outreach events organized by local SWE sections including Girls in Engineering Day, STEM fairs, and school presentations. Introduce students to engineering through hands-on activities. Meet women engineers and learn about careers. Free community events throughout year.",https://swe.org/k-12-outreach/,Society of Women Engineers,Outreach Program,"Engineering, Technology",K-12,Free,In-person,1 day,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,False,True,Basic,National,Optional,True,Professional
SWENext Engineering Design Challenges,"Engineering design competitions and challenges for students. Team-based problem-solving using engineering design process. Virtual and in-person options. Develop creativity, critical thinking, and teamwork. Gain hands-on engineering experience through authentic challenges.",https://swe.org/k-12-outreach/,Society of Women Engineers,Engineering Competition,"Engineering, Technology",6-12,Free,Hybrid,Competition period,Basic,High,Check SWE website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional
SWE Career Guidance for Young Women,"Career counseling and guidance program connecting students with women engineers. Learn about engineering career pathways, college preparation, and professional development. Virtual mentoring sessions and career exploration activities. Resume building and interview preparation support.",https://swe.org/k-12-outreach/,Society of Women Engineers,Career Development,"Engineering, Technology",9-12,Free,Online,Flexible,None,High,Check SWE website,None,False,False,None,Free,True,True,True,High,True,False,High-speed-required,National,Optional,True,Professional
SWENext — Inspiring STEM Stars,"Other SWE Properties SWENext is afree programthat allows students ages 5 through 18 to join the SWE engineering and technology community. The Society of Women Engineers SWENext program inspires creativity and curiosity in science, technology, engineering, and math (STEM) and shows you how a career in STEM can become a reality. You’ll enjoy numerous opportunities throughout the year to learn, network, and connect with peers, role models, and industry professionals. Plus, this diverse, welcoming, ",https://swe.org/k-12-outreach/,Society of Women Engineers,Student Organization,"Engineering, Technology",K-12,Free,In-person,Academic year,None,High,Check SWE website,None,False,False,None,Free,True,True,False,High,False,True,Basic,National,Optional,True,Professional
Let SWE Help Fund Your College Education,"For 65 years, SWE scholarships have empowered students pursuing undergraduate and graduate degrees in engineering, engineering technology, and related fields. Open to students entering their first year of undergraduate study (including current high school seniors) CLOSED for the 2025-2026 Academic Year Open to undergraduates entering their sophomore, junior, or senior year and new or continuing graduate students",https://swe.org/scholarships/,Society of Women Engineers,Scholarship,"Engineering, Technology",9-12,Scholarship,Hybrid,Flexible,High,High,Check SWE website,None,False,False,None,Free,True,True,False,High,True,False,Basic,National,Optional,True,Professional
