name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level
CyberStart America - Assess Phase,Free introductory cybersecurity challenges for high school students. Complete series of puzzles and challenges to learn cybersecurity basics. Entry point to CyberStart competition.,https://www.cyberstartamerica.org/students/,CyberStart America,Competition,"Cybersecurity, Computer Science, Information Security",9-12,Free,Online,4-8 weeks (self-paced),None,Medium,Fall registration,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Optional
CyberStart America - Game Phase,Advanced cybersecurity training game for qualifying students. Learn offensive and defensive security techniques through interactive challenges. Free comprehensive training program.,https://www.cyberstartamerica.org/students/,CyberStart America,Competition,"Cybersecurity, Ethical Hacking, Network Security",9-12,Free,Online,8-12 weeks (self-paced),Low,Medium,Winter season,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Optional
CyberStart America - Elite Competition,National cybersecurity competition for top-performing students. Advanced challenges testing real-world security skills. Compete for scholarships and recognition.,https://www.cyberstartamerica.org/students/,CyberStart America,Competition,"Cybersecurity, Penetration Testing, Digital Forensics",9-12,Free,Online,4-6 weeks,High,Medium,Spring competition,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Professional
CyberStart America - Girls Competition Track,Dedicated competition track encouraging girls in cybersecurity. Same challenges as main competition with additional support and community. Free participation.,https://www.cyberstartamerica.org/students/,CyberStart America,Competition,"Cybersecurity, Computer Science",9-12,Free,Online,4-8 months,None,High,Fall registration,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Teacher
CyberStart America - Scholarship Program,Scholarship opportunities for top-performing Elite competitors. Awards for college cybersecurity education. Recognition from industry partners and universities.,https://www.cyberstartamerica.org/,CyberStart America,Scholarship,"Cybersecurity, Computer Science",9-12,Free,Online,Competition season,High,Medium,Spring,None,True,Not required,None,Free,True,True,True,High,True,False,Required,National,None,False,Professional
CyberStart America - Career Pathways,Exposure to cybersecurity career opportunities through challenges and industry connections. Learn about various security roles and certifications. College and career guidance.,https://www.cyberstartamerica.org/,CyberStart America,Program,"Cybersecurity, Career Development",9-12,Free,Online,Ongoing,None,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Professional
CyberStart America - Hands-On Challenges,"Interactive cybersecurity challenges covering cryptography, web security, forensics, and network analysis. Real-world scenarios and tools. Progressive difficulty levels.",https://www.cyberstartamerica.org/programs/,CyberStart America,Program,"Cybersecurity, Cryptography, Network Security",9-12,Free,Online,Self-paced,Low,Medium,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Optional
CyberStart America - Teacher Support Program,"Resources for educators to integrate cybersecurity into curriculum. Professional development, lesson plans, and classroom management tools. Free teacher training.",https://www.cyberstartamerica.org/,CyberStart America,Professional Development,"Cybersecurity, Education, Teaching",9-12,Free,Online,Variable,None,High,Rolling,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Professional
CyberStart America - State and Regional Programs,"State-specific cybersecurity programs and competitions. Local events, meetups, and networking opportunities. Connect with nearby students interested in cybersecurity.",https://www.cyberstartamerica.org/,CyberStart America,Program,"Cybersecurity, Community",9-12,Free,Hybrid,Variable,None,Medium,State-specific,None,Not applicable,Not required,None,Free,True,True,True,High,True,Variable,Required,Regional,None,True,Community
CyberStart America - Summer Intensive,Accelerated summer cybersecurity program for motivated students. Deep dive into advanced security topics. Prepare for elite competitions and certifications.,https://www.cyberstartamerica.org/students/,CyberStart America,Program,"Cybersecurity, Ethical Hacking, Security Operations",9-12,Free,Online,6-8 weeks (intensive),Medium,High,Summer,None,Not applicable,Not required,None,Free,True,True,True,High,True,False,Required,National,None,True,Professional
